,PM10 Cumulative Hazard Index PAC2
BLOCK 1030,7.547133911206648e-25
BLOCK 1033,4.74802065673977e-22
BLOCK 1035,1.1416621298885875e-20
BLOCK 1037,2.1179468501591343e-20
BLOCK 1038,4.612884799878544e-22
BLOCK 2009,1.1607357227347128e-27
BLOCK 2013,7.341085125561327e-21
BLOCK 2008,1.783236844675821e-25
BLOCK 1009,2.2842689833699505e-43
BLOCK 1016,2.925394707667967e-19
BLOCK 1020,5.065009497837299e-28
BLOCK 1026,1.0155348875418253e-27
BLOCK 1027,7.066775004342439e-22
BLOCK 1028,2.6819994602788e-24
BLOCK 1029,1.680079938636401e-26
BLOCK 1039,6.88951623493699e-23
BLOCK 1040,2.3171949487120935e-23
BLOCK 1052,1.2812206861005722e-19
BLOCK 1054,2.1119549890289508e-19
BLOCK 2025,4.730449753765688e-22
BLOCK 2028,5.300159606676954e-23
BLOCK 2029,1.7011379015499485e-22
BLOCK 1005,1.9302895150940792e-38
BLOCK 1006,4.1741272673982625e-40
BLOCK 1007,4.152940154244947e-45
BLOCK 1008,2.2150470297149852e-51
BLOCK 1011,5.8473279364717095e-37
BLOCK 1024,5.31604797279455e-28
BLOCK 1025,8.072397946537165e-26
BLOCK 3010,5.603693743146368e-57
BLOCK 3011,6.731904397803518e-56
BLOCK 3012,3.489120318241297e-51
BLOCK 3013,6.500108992996124e-51
BLOCK 3014,3.898466211558528e-45
BLOCK 3015,9.0108494352776e-47
BLOCK 3017,3.3684373310151244e-41
BLOCK 3025,8.628159068388358e-49
BLOCK 3026,1.7182198596441533e-51
BLOCK 3027,1.9201422118263366e-65
BLOCK 3028,5.15444221321557e-70
BLOCK 3030,4.4667405085559214e-59
BLOCK 3031,3.195512821949928e-72
BLOCK 4047,8.173878453078001e-48
BLOCK 4057,1.2352347743354884e-42
BLOCK 4000,1.0444844252488363e-72
BLOCK 4001,5.371965590850253e-64
BLOCK 1000,8.756588568711795e-31
BLOCK 1001,4.836060161140735e-32
BLOCK 1002,6.260945871438742e-33
BLOCK 1003,3.526873727157407e-33
BLOCK 1004,2.0492983838385558e-19
BLOCK 1010,1.1092486903162453e-19
BLOCK 1017,5.290758585353506e-26
BLOCK 1018,6.735927114685785e-29
BLOCK 1019,1.8498624003486653e-28
BLOCK 2000,1.1128111982851877e-19
BLOCK 2001,1.289975204836351e-19
BLOCK 2002,1.2674195326667687e-19
BLOCK 2003,1.1511439475664837e-19
BLOCK 2004,1.652565368317343e-27
BLOCK 2005,7.365689247306936e-31
BLOCK 2006,2.5571577753518845e-31
BLOCK 2007,5.479769534018085e-31
BLOCK 2010,3.1062965872075105e-29
BLOCK 2011,9.130282014829796e-20
BLOCK 2012,7.697129032262142e-21
BLOCK 2026,1.3813519910565575e-23
BLOCK 2027,3.2054179695552823e-24
BLOCK 2051,1.4939850685078488e-19
BLOCK 2054,1.3532935641308615e-19
BLOCK 2055,3.410021914349381e-21
BLOCK 2056,3.075880907978536e-20
BLOCK 5030,6.501811241691262e-71
BLOCK 5031,5.453608350260782e-59
BLOCK 1012,3.6144397264720886e-19
BLOCK 1013,7.861267232744177e-84
BLOCK 1014,1.9074304665527952e-151
BLOCK 1015,2.7315052014644846e-19
BLOCK 1021,6.201254979539832e-29
BLOCK 1022,8.030565840354222e-29
BLOCK 1023,2.242433571036308e-23
BLOCK 1031,1.4744580813481826e-23
BLOCK 1032,2.815432127258292e-23
BLOCK 1034,2.683948929431686e-26
BLOCK 1036,3.588332386488948e-20
BLOCK 1048,1.3102632840256641e-19
BLOCK 1049,5.326316290757128e-26
BLOCK 1050,1.87855319075888e-23
BLOCK 1051,1.79782985519512e-19
BLOCK 1053,2.7745124517423285e-19
BLOCK 1055,6.258906700771074e-62
BLOCK 1056,1.1997328757064184e-58
BLOCK 1057,1.7012021302566074e-69
BLOCK 1058,3.0642036020390423e-19
BLOCK 1059,1.9359383159221356e-20
BLOCK 1060,1.1528131697990264e-29
BLOCK 1061,2.8702035070203864e-24
BLOCK 1062,2.0552337896881205e-25
BLOCK 1063,3.8720253443368104e-23
BLOCK 1064,4.470147715566076e-22
BLOCK 1065,3.0560008059005068e-40
BLOCK 1066,1.6495528317101282e-30
BLOCK 1067,7.820837261816712e-44
BLOCK 3039,1.5523308649222526e-28
BLOCK 3040,1.8335845596865728e-28
BLOCK 3041,9.97861643949225e-29
BLOCK 3042,2.9821649828587286e-28
BLOCK 3043,7.023138657904141e-28
BLOCK 3044,3.9740689384260416e-29
BLOCK 3045,5.157254546335936e-31
BLOCK 3046,9.822375382870507e-32
BLOCK 3047,4.336420607763222e-33
BLOCK 3048,1.7284753198315504e-28
BLOCK 3049,7.445801047859676e-27
BLOCK 3050,4.779830709664929e-30
BLOCK 2059,6.2285193994371464e-21
BLOCK 2060,9.237296829081296e-21
BLOCK 2061,1.2414211072001614e-21
BLOCK 2064,4.093523548960194e-22
BLOCK 2014,2.281255630034951e-23
BLOCK 2015,1.035793877903291e-21
BLOCK 2016,3.898308007402362e-27
BLOCK 2017,3.8839981327854387e-31
BLOCK 2018,1.7873947915001973e-28
BLOCK 2019,7.463120083686998e-84
BLOCK 2020,0.0
BLOCK 2021,1.3837674896236978e-25
BLOCK 2022,2.1856370222262246e-34
BLOCK 2023,3.2753826117590786e-35
BLOCK 2024,7.913471684617656e-36
BLOCK 3001,1.6501354457029595e-40
BLOCK 3002,1.157565730226513e-40
BLOCK 3003,2.4816628810378943e-42
BLOCK 3004,4.929851489273324e-45
BLOCK 3005,1.1903038877239464e-42
BLOCK 3006,1.7735117410480118e-43
BLOCK 3007,6.222325926018948e-47
BLOCK 3008,4.7485557867460734e-58
BLOCK 3009,2.0009818836331117e-56
BLOCK 3018,5.262938933789959e-41
BLOCK 3019,2.9767829987205093e-59
BLOCK 3020,2.7923546461153736e-52
BLOCK 3021,2.3863369486452004e-49
BLOCK 3022,1.2398825896331382e-47
BLOCK 3023,3.015470790855404e-45
BLOCK 3024,6.38996016617634e-50
BLOCK 3029,1.0737208819789708e-53
BLOCK 2030,1.5169412675707693e-38
BLOCK 3000,5.2019976327710304e-40
BLOCK 3016,1.953700390994289e-42
BLOCK 3032,7.535706037059508e-78
BLOCK 3033,8.420860205734806e-100
BLOCK 3034,1.0302920504867602e-50
BLOCK 3035,7.753569912903641e-60
BLOCK 3036,5.558663428893681e-266
BLOCK 3037,1.6027510261609755e-284
BLOCK 3038,2.642237105734284e-27
BLOCK 4002,1.2858800159507324e-59
BLOCK 4003,1.2681007791990954e-37
BLOCK 4004,5.307176709945989e-38
BLOCK 4005,3.557189983928645e-55
BLOCK 4006,2.0241914127901442e-56
BLOCK 4007,4.4936900429571284e-51
BLOCK 4008,6.927121289952092e-36
BLOCK 4009,1.8286963514205654e-37
BLOCK 4010,6.911697088842267e-38
BLOCK 4011,2.8089925084014148e-39
BLOCK 4012,8.454077661381348e-39
BLOCK 4013,4.8703817845270235e-36
BLOCK 4014,2.750888472856476e-37
BLOCK 4015,6.534652373922039e-37
BLOCK 4016,7.939174818723505e-170
BLOCK 4017,1.02859675533487e-37
BLOCK 4018,2.863812030388639e-46
BLOCK 4019,7.347644679372146e-38
BLOCK 4020,1.990833393091491e-40
