,butyl_acryl Cumulative Hazard Index PAC1
BLOCK 1030,1.4526811993690122e-05
BLOCK 1033,7.274059753997052e-06
BLOCK 1035,5.361474336638034e-06
BLOCK 1037,5.379431262763817e-06
BLOCK 1038,6.897683284251492e-06
BLOCK 2009,1.457086386364056e-05
BLOCK 2013,6.949411392671462e-05
BLOCK 2008,1.4668789919565792e-05
BLOCK 1009,4.656883474348765e-05
BLOCK 1016,4.7528843710622535e-05
BLOCK 1020,1.498679627626656e-05
BLOCK 1026,1.467201332103928e-05
BLOCK 1027,8.739073452264357e-06
BLOCK 1028,1.8943308416834526e-05
BLOCK 1029,3.147319568061741e-05
BLOCK 1039,8.948086071130183e-06
BLOCK 1040,1.3792918106999013e-05
BLOCK 1052,2.64556951495684e-05
BLOCK 1054,3.398665442350447e-05
BLOCK 2025,6.603574513228749e-06
BLOCK 2028,3.018536663803947e-05
BLOCK 2029,3.161741171495695e-05
BLOCK 1005,2.917016938875821e-05
BLOCK 1006,6.464981478447849e-05
BLOCK 1007,5.6765469493854516e-05
BLOCK 1008,6.646392941252668e-05
BLOCK 1011,2.474709292455477e-05
BLOCK 1024,1.4849054270735161e-05
BLOCK 1025,1.612669542100314e-05
BLOCK 3010,0.0001571925030893426
BLOCK 3011,0.0001503956637912033
BLOCK 3012,8.862054056375954e-05
BLOCK 3013,3.7100854634508135e-05
BLOCK 3014,3.7365168022954164e-05
BLOCK 3015,1.051853479259878e-05
BLOCK 3017,1.434815631607512e-05
BLOCK 3025,2.8718978558108068e-05
BLOCK 3026,7.468109669320908e-06
BLOCK 3027,2.979426721834299e-05
BLOCK 3028,0.00016946253176958526
BLOCK 3030,9.854727513328652e-06
BLOCK 3031,1.8670465167199345e-05
BLOCK 4047,3.610208326456029e-05
BLOCK 4057,3.653320030949276e-05
BLOCK 4000,2.0047137349264226e-12
BLOCK 4001,3.89111535131422e-05
BLOCK 1000,1.0636881794411996e-05
BLOCK 1001,1.0508798719635251e-05
BLOCK 1002,1.4022260292708911e-05
BLOCK 1003,1.8209472898912606e-05
BLOCK 1004,3.684580436520918e-05
BLOCK 1010,5.886454569204211e-05
BLOCK 1017,2.4651157531283064e-05
BLOCK 1018,1.701318709148555e-05
BLOCK 1019,1.4722642042867231e-05
BLOCK 2000,2.2936211272593555e-05
BLOCK 2001,2.8881774925710975e-05
BLOCK 2002,3.0444273421054517e-05
BLOCK 2003,2.84202699408217e-05
BLOCK 2004,1.4222762067904754e-05
BLOCK 2005,9.672387283830785e-06
BLOCK 2006,9.122879119915843e-06
BLOCK 2007,9.637471028729204e-06
BLOCK 2010,1.2288310327795597e-05
BLOCK 2011,2.912006009964156e-05
BLOCK 2012,5.008222710812437e-05
BLOCK 2026,1.06438555430024e-05
BLOCK 2027,1.2366792579558313e-05
BLOCK 2051,3.498703301106358e-05
BLOCK 2054,3.54686735717068e-05
BLOCK 2055,7.078983848371691e-05
BLOCK 2056,6.7770315521497e-05
BLOCK 5030,2.4881727156921437e-14
BLOCK 5031,1.580707535366649e-11
BLOCK 1012,4.6153328906750065e-05
BLOCK 1013,0.0001577422008125145
BLOCK 1014,3.0421400325006155e-05
BLOCK 1015,4.937848231438626e-05
BLOCK 1021,1.3415580458206773e-05
BLOCK 1022,1.333097911873174e-05
BLOCK 1023,1.245250737009825e-05
BLOCK 1031,1.1074332343145957e-05
BLOCK 1032,1.0642360547211065e-05
BLOCK 1034,1.94159151029792e-05
BLOCK 1036,6.059181225630352e-06
BLOCK 1048,1.9002485579173718e-05
BLOCK 1049,1.692220856857458e-05
BLOCK 1050,1.16604732302914e-05
BLOCK 1051,3.490975140812724e-05
BLOCK 1053,3.162179755547001e-05
BLOCK 1055,1.2016442307891962e-14
BLOCK 1056,4.315254451971373e-17
BLOCK 1057,3.440324497477101e-17
BLOCK 1058,3.3708176793986063e-05
BLOCK 1059,5.27627779392801e-06
BLOCK 1060,5.833160921162793e-05
BLOCK 1061,7.28905634767849e-05
BLOCK 1062,0.00012081221214636046
BLOCK 1063,4.64751899835088e-05
BLOCK 1064,4.226337659525543e-05
BLOCK 1065,2.2155032733377228e-05
BLOCK 1066,6.722867146940574e-05
BLOCK 1067,1.6434302043236365e-05
BLOCK 3039,9.496737805406815e-05
BLOCK 3040,6.713427039482383e-05
BLOCK 3041,6.06949847798777e-05
BLOCK 3042,7.530856054503238e-05
BLOCK 3043,8.912131039156484e-05
BLOCK 3044,5.540111255078651e-05
BLOCK 3045,7.585121264298634e-05
BLOCK 3046,7.795969559680385e-05
BLOCK 3047,4.860764283201403e-05
BLOCK 3048,5.993555876561331e-05
BLOCK 3049,0.00013175015023233734
BLOCK 3050,6.049044183956158e-05
BLOCK 2059,7.960013629945716e-05
BLOCK 2060,0.00011440463209771515
BLOCK 2061,3.8633460699067424e-05
BLOCK 2064,9.976972431971219e-05
BLOCK 2014,5.9938189226481606e-05
BLOCK 2015,7.198891794125654e-05
BLOCK 2016,2.9701094358856865e-05
BLOCK 2017,3.408337886644108e-05
BLOCK 2018,8.472152672453124e-05
BLOCK 2019,0.00018198239563192674
BLOCK 2020,0.00012260745024793076
BLOCK 2021,6.0109363429351205e-05
BLOCK 2022,0.00024771881605352186
BLOCK 2023,1.0355962680590524e-05
BLOCK 2024,4.650465422989333e-06
BLOCK 3001,3.3392660982586856e-05
BLOCK 3002,3.574194763694153e-05
BLOCK 3003,4.238151095728271e-05
BLOCK 3004,0.00011826786091751441
BLOCK 3005,6.92142057420449e-05
BLOCK 3006,7.699479286070793e-05
BLOCK 3007,8.837185954741557e-05
BLOCK 3008,0.00015713355042983924
BLOCK 3009,0.00016356006035415645
BLOCK 3018,1.261527227774885e-05
BLOCK 3019,2.428652641186588e-05
BLOCK 3020,5.680854397125555e-06
BLOCK 3021,4.954265964013694e-06
BLOCK 3022,4.609571452890322e-06
BLOCK 3023,5.2675655128753e-06
BLOCK 3024,1.8072279566649845e-05
BLOCK 3029,1.1033456351331626e-05
BLOCK 2030,4.991747801372703e-06
BLOCK 3000,1.9521146132371796e-05
BLOCK 3016,1.9801384394305393e-05
BLOCK 3032,1.984705209868112e-05
BLOCK 3033,0.00010370700126775561
BLOCK 3034,1.8325798248016506e-05
BLOCK 3035,3.34997356429556e-05
BLOCK 3036,1.4830117033695857e-06
BLOCK 3037,2.0037327946295235e-06
BLOCK 3038,7.493094676355495e-05
BLOCK 4002,1.0934388155294292e-05
BLOCK 4003,1.022124090647939e-05
BLOCK 4004,1.6261100262112603e-05
BLOCK 4005,7.094478206690961e-13
BLOCK 4006,5.2360385459611755e-17
BLOCK 4007,1.2820593234585667e-15
BLOCK 4008,2.4046496539325683e-06
BLOCK 4009,2.651101933856765e-06
BLOCK 4010,2.63823175435812e-06
BLOCK 4011,4.59928145118403e-06
BLOCK 4012,2.8891589741604508e-06
BLOCK 4013,6.219119802725568e-06
BLOCK 4014,3.1370949968280243e-06
BLOCK 4015,2.8944694333224874e-06
BLOCK 4016,9.521496121352187e-08
BLOCK 4017,3.0682643033777853e-06
BLOCK 4018,8.176486938559995e-11
BLOCK 4019,1.163021056240569e-05
