,Total HCl 100% Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.5349253076375766e-221
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,2.3326928897012682e-303
BLOCK 1006,0.0
BLOCK 1007,7.64e-321
BLOCK 1008,9.97276218436553e-199
BLOCK 1011,1.1748903774687992e-26
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.7338878274694964e-43
BLOCK 3011,2.124567062853916e-42
BLOCK 3012,4.942274984801806e-38
BLOCK 3013,2.5817797650398244e-40
BLOCK 3014,5.6028616731838274e-33
BLOCK 3015,1.6254005333970882e-45
BLOCK 3017,8.422891731103639e-39
BLOCK 3025,1.4650391754989507e-134
BLOCK 3026,6.539958539814423e-95
BLOCK 3027,1.5006839895177582e-60
BLOCK 3028,9.587831923815666e-57
BLOCK 3030,4.493304842044033e-104
BLOCK 3031,3.324371366527841e-64
BLOCK 4047,1.126576341127244e-163
BLOCK 4057,8.910539896551278e-203
BLOCK 4000,3.703902196761562e-167
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,3.012357103987015e-181
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,4.4393355016167226e-99
BLOCK 1056,2.3000973146092484e-103
BLOCK 1057,2.1208105402283447e-106
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,9.480372384055532e-30
BLOCK 2024,3.732676563027072e-27
BLOCK 3001,1.1295380360872887e-29
BLOCK 3002,7.664216163904837e-29
BLOCK 3003,4.731734527466566e-31
BLOCK 3004,1.2320791670596944e-31
BLOCK 3005,4.3683323704139084e-29
BLOCK 3006,4.1329803299382394e-30
BLOCK 3007,2.02994102808601e-33
BLOCK 3008,1.0092477424469034e-44
BLOCK 3009,5.365924189044502e-43
BLOCK 3018,6.38635586235431e-39
BLOCK 3019,2.6832247272439614e-63
BLOCK 3020,7.554489742884754e-80
BLOCK 3021,8.997377219710174e-69
BLOCK 3022,1.0594863943456172e-72
BLOCK 3023,2.507638542833666e-86
BLOCK 3024,4.268843147557656e-116
BLOCK 3029,3.1509964664600516e-105
BLOCK 2030,3.7266294302065034e-30
BLOCK 3000,3.193261181044675e-35
BLOCK 3016,4.2331378409831397e-47
BLOCK 3032,2.3130879549276965e-94
BLOCK 3033,1.1680058091510315e-88
BLOCK 3034,1.4914481117835523e-116
BLOCK 3035,1.2522466529547598e-138
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,8.683269913476033e-41
BLOCK 4004,1.407246548976014e-48
BLOCK 4005,1.4646604232711176e-161
BLOCK 4006,2.581330049548033e-141
BLOCK 4007,1.5830925973717008e-153
BLOCK 4008,8.769848417746235e-67
BLOCK 4009,2.402939595751689e-65
BLOCK 4010,2.3726522488781952e-59
BLOCK 4011,4.517015588032645e-55
BLOCK 4012,1.2216035680114256e-65
BLOCK 4013,4.3725378258385e-98
BLOCK 4014,2.3014562726559054e-79
BLOCK 4015,1.4255588630360678e-76
BLOCK 4016,0.0
BLOCK 4017,6.490363469409055e-77
BLOCK 4018,2.8448969676019665e-190
BLOCK 4019,1.929856334674298e-110
BLOCK 4020,9.141933142990946e-65
BLOCK 4021,1.2653846420156864e-104
BLOCK 4022,0.0
BLOCK 4023,1.3523540460259632e-177
BLOCK 4024,1.7493555908836585e-183
BLOCK 4025,8.690209456957509e-203
BLOCK 4026,1.7758511704146087e-190
BLOCK 4027,3.629174787216095e-190
BLOCK 4028,3.209665701182816e-181
BLOCK 4029,1.4591333749386068e-155
BLOCK 4030,9.731442783347907e-173
BLOCK 4031,2.8416239008873407e-159
BLOCK 4032,1.5137462864399605e-215
BLOCK 4033,2.3830772504128306e-173
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,4.908968687316215e-211
BLOCK 4035,6.24644044715121e-213
BLOCK 4036,5.558256936047e-208
BLOCK 4037,1.4209769193621263e-213
BLOCK 4038,7.835173761173616e-255
BLOCK 4039,6.229648245810549e-260
BLOCK 4040,2.1674132426968285e-303
BLOCK 4041,3.2385958189302254e-224
BLOCK 4042,4.061118548924767e-253
BLOCK 4043,1.2015042640860963e-230
BLOCK 4044,7.525385937372167e-203
BLOCK 4045,9.513136518922146e-188
BLOCK 4046,1.1021605632120614e-179
BLOCK 4048,2.588810317000611e-140
BLOCK 4049,1.6845343021574404e-145
BLOCK 4050,4.9806806590519434e-138
BLOCK 4051,1.6354561985816977e-175
BLOCK 4052,6.066941905955621e-180
BLOCK 4053,4.070511680972434e-181
BLOCK 4054,9.151816041005773e-186
BLOCK 4055,8.852847538624348e-189
BLOCK 4056,2.143689466247997e-210
BLOCK 4058,2.3372360167946214e-191
BLOCK 4059,6.014329586125257e-190
BLOCK 4061,1.0239801579483172e-235
BLOCK 4062,1.4328075709076952e-228
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,9.467479034314106e-26
BLOCK 2032,7.499538316773233e-24
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,5.585909467280046e-37
BLOCK 2058,2.2150406303135528e-27
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.3639802615945033e-224
BLOCK 4064,1.1067676075485244e-215
BLOCK 4065,2.568734510731391e-302
