,Total HCl 20% Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,5.069832801038439e-222
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,4.665369386358056e-304
BLOCK 1006,0.0
BLOCK 1007,1.53e-321
BLOCK 1008,1.9945454284951582e-199
BLOCK 1011,2.3497724983727065e-27
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,3.4677634700086893e-44
BLOCK 3011,4.249119195271634e-43
BLOCK 3012,9.8845152376704e-39
BLOCK 3013,5.163541386572326e-41
BLOCK 3014,1.1205683972148684e-33
BLOCK 3015,3.2507896442604337e-46
BLOCK 3017,1.684572427017244e-39
BLOCK 3025,2.9300680554067086e-135
BLOCK 3026,1.3079871119943491e-95
BLOCK 3027,3.001357432949703e-61
BLOCK 3028,1.917559646895672e-57
BLOCK 3030,8.986578107301227e-105
BLOCK 3031,6.64871937097149e-65
BLOCK 4047,2.2531447652174226e-164
BLOCK 4057,1.7821017174110782e-203
BLOCK 4000,7.407778364278671e-168
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,6.024693038576116e-182
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,8.878639805717194e-100
BLOCK 1056,4.6001784652400535e-104
BLOCK 1057,4.241606176419525e-107
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.8960678144610446e-30
BLOCK 2024,7.465326894597273e-28
BLOCK 3001,2.2590681343241426e-30
BLOCK 3002,1.532837846738208e-29
BLOCK 3003,9.463435802577061e-32
BLOCK 3004,2.4641496756591695e-32
BLOCK 3005,8.736634042287444e-30
BLOCK 3006,8.265931615277132e-31
BLOCK 3007,4.059867790722114e-34
BLOCK 3008,2.0184883923857413e-45
BLOCK 3009,1.0731810668952795e-43
BLOCK 3018,1.2772666844469058e-39
BLOCK 3019,5.3664305980741614e-64
BLOCK 3020,1.510892639644647e-80
BLOCK 3021,1.7994691210177604e-69
BLOCK 3022,2.11896534313007e-73
BLOCK 3023,5.015259463188885e-87
BLOCK 3024,8.53765629573738e-117
BLOCK 3029,6.301970789231382e-106
BLOCK 2030,7.453232671452476e-31
BLOCK 3000,6.386499921384528e-36
BLOCK 3016,8.466245933508082e-48
BLOCK 3032,4.626159654584972e-95
BLOCK 3033,2.3360034101186078e-89
BLOCK 3034,2.9828857423866013e-117
BLOCK 3035,2.504484505721902e-139
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.73664788051045e-41
BLOCK 4004,2.8144832084996387e-49
BLOCK 4005,2.9293105536127314e-162
BLOCK 4006,5.162641958749128e-142
BLOCK 4007,3.1661740695295e-154
BLOCK 4008,1.7539635205212794e-67
BLOCK 4009,4.805862304798809e-66
BLOCK 4010,4.7452878238967393e-60
BLOCK 4011,9.033999432650723e-56
BLOCK 4012,2.4431985511801074e-66
BLOCK 4013,8.745044923582709e-99
BLOCK 4014,4.602896371783264e-80
BLOCK 4015,2.8511077079296042e-77
BLOCK 4016,0.0
BLOCK 4017,1.298068132766307e-77
BLOCK 4018,5.68977394263537e-191
BLOCK 4019,3.859699107245812e-111
BLOCK 4020,1.82838020408696e-65
BLOCK 4021,2.5307603915162835e-105
BLOCK 4022,0.0
BLOCK 4023,2.7046985883576667e-178
BLOCK 4024,3.4986988881370063e-184
BLOCK 4025,1.738035784329968e-203
BLOCK 4026,3.551689861000708e-191
BLOCK 4027,7.258324070336054e-191
BLOCK 4028,6.419308846377726e-182
BLOCK 4029,2.9182564957891485e-156
BLOCK 4030,1.9462817178793102e-173
BLOCK 4031,5.683227832207659e-160
BLOCK 4032,3.027481934998564e-216
BLOCK 4033,4.7661377537041105e-174
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,9.817902876759865e-212
BLOCK 4035,1.249283699732115e-213
BLOCK 4036,1.1116474811335689e-208
BLOCK 4037,2.8419438527814185e-214
BLOCK 4038,1.5670292460511811e-255
BLOCK 4039,1.2459252712647345e-260
BLOCK 4040,4.334811253855098e-304
BLOCK 4041,6.477168878565583e-225
BLOCK 4042,8.122208558260244e-254
BLOCK 4043,2.4030000845776962e-231
BLOCK 4044,1.5050718989948846e-203
BLOCK 4045,1.9026206184093083e-188
BLOCK 4046,2.2043133809694094e-180
BLOCK 4048,5.177602441086558e-141
BLOCK 4049,3.3690567662174334e-146
BLOCK 4050,9.96132631627405e-139
BLOCK 4051,3.270900903963271e-176
BLOCK 4052,1.2133841176359448e-180
BLOCK 4053,8.140994756345158e-182
BLOCK 4054,1.8303567767446996e-186
BLOCK 4055,1.7705632863691088e-189
BLOCK 4056,4.287363867676733e-211
BLOCK 4058,4.67445560861785e-192
BLOCK 4059,1.2028616906432814e-190
BLOCK 4061,2.047953119856234e-236
BLOCK 4062,2.865605072732424e-229
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.8934891535735859e-26
BLOCK 2032,1.4999023930395638e-24
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,1.1171779679473077e-37
BLOCK 2058,4.43006569438616e-28
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,4.727943910271914e-225
BLOCK 4064,2.2135274372662425e-216
BLOCK 4065,5.137450969631237e-303
