,ethyl_acryl_50 Cumulative Hazard Index PAC1
BLOCK 1030,2.7605421854746448e-06
BLOCK 1033,1.3968049179279577e-06
BLOCK 1035,1.0376237995962412e-06
BLOCK 1037,1.0417308982930255e-06
BLOCK 1038,1.3218957297015185e-06
BLOCK 2009,2.7795338592297945e-06
BLOCK 2013,1.3550303527000879e-05
BLOCK 2008,2.7858353892496384e-06
BLOCK 1009,9.052547963958831e-06
BLOCK 1016,9.180767760240102e-06
BLOCK 1020,2.864636620744312e-06
BLOCK 1026,2.7999111591530262e-06
BLOCK 1027,1.6956840986574295e-06
BLOCK 1028,3.6547150216308973e-06
BLOCK 1029,6.0789084420459865e-06
BLOCK 1039,1.7052692340620994e-06
BLOCK 1040,2.684905773849264e-06
BLOCK 1052,5.1349182642924025e-06
BLOCK 1054,6.588732813501038e-06
BLOCK 2025,1.2640283183807505e-06
BLOCK 2028,5.869773878577609e-06
BLOCK 2029,6.145765293051186e-06
BLOCK 1005,5.683917316181704e-06
BLOCK 1006,1.2652669877903363e-05
BLOCK 1007,1.1097606712079142e-05
BLOCK 1008,1.293792686132654e-05
BLOCK 1011,4.556466313250907e-06
BLOCK 1024,2.837451276768767e-06
BLOCK 1025,3.0708888158055185e-06
BLOCK 3010,2.8759567693453844e-05
BLOCK 3011,2.748422328664145e-05
BLOCK 3012,1.6360017698348313e-05
BLOCK 3013,6.91277850105275e-06
BLOCK 3014,6.976700129836047e-06
BLOCK 3015,1.9855211460007493e-06
BLOCK 3017,2.651127500966501e-06
BLOCK 3025,5.533925661209709e-06
BLOCK 3026,1.4428257430881023e-06
BLOCK 3027,5.6912003762343625e-06
BLOCK 3028,3.1846458681630234e-05
BLOCK 3030,1.91083093757255e-06
BLOCK 3031,3.621749416097879e-06
BLOCK 4047,6.9699619936361495e-06
BLOCK 4057,7.07658808309653e-06
BLOCK 4000,3.774331264500821e-13
BLOCK 4001,7.235241907847267e-06
BLOCK 1000,2.0401725364306547e-06
BLOCK 1001,2.0240124480199187e-06
BLOCK 1002,2.715233384972699e-06
BLOCK 1003,3.535506071258595e-06
BLOCK 1004,7.143785617719387e-06
BLOCK 1010,1.1409618246074023e-05
BLOCK 1017,4.739393345245209e-06
BLOCK 1018,3.2705131232131924e-06
BLOCK 1019,2.81758581748732e-06
BLOCK 2000,4.45260585878493e-06
BLOCK 2001,5.606380254955281e-06
BLOCK 2002,5.9103687763729745e-06
BLOCK 2003,5.518403962266422e-06
BLOCK 2004,2.7099086600450805e-06
BLOCK 2005,1.8513262675321752e-06
BLOCK 2006,1.7472876272895407e-06
BLOCK 2007,1.8456298985586644e-06
BLOCK 2010,2.3487782997659935e-06
BLOCK 2011,5.657804924170747e-06
BLOCK 2012,9.772506559174124e-06
BLOCK 2026,2.0203236924694446e-06
BLOCK 2027,2.345465004779556e-06
