,Total HCl 20% Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.1153632162284565e-222
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.0263812649987724e-304
BLOCK 1006,0.0
BLOCK 1007,3.36e-322
BLOCK 1008,4.387999942689348e-200
BLOCK 1011,5.169499496419954e-28
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,7.629079634019116e-45
BLOCK 3011,9.348062229597593e-44
BLOCK 3012,2.174593352287488e-39
BLOCK 3013,1.1359791050459118e-41
BLOCK 3014,2.4652504738727104e-34
BLOCK 3015,7.151737217372954e-47
BLOCK 3017,3.706059339437936e-40
BLOCK 3025,6.446149721894759e-136
BLOCK 3026,2.877571646387568e-96
BLOCK 3027,6.602986352489347e-62
BLOCK 3028,4.2186312231704784e-58
BLOCK 3030,1.97704718360627e-105
BLOCK 3031,1.462718261613728e-65
BLOCK 4047,4.95691848347833e-165
BLOCK 4057,3.920623778304372e-204
BLOCK 4000,1.6297112401413077e-168
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,1.3254324684867456e-182
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.9533007572577826e-100
BLOCK 1056,1.0120392623528118e-104
BLOCK 1057,9.331533588122956e-108
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,4.171349191814298e-31
BLOCK 2024,1.6423719168114e-28
BLOCK 3001,4.969949895513114e-31
BLOCK 3002,3.372243262824058e-30
BLOCK 3003,2.0819558765669534e-32
BLOCK 3004,5.421129286450173e-33
BLOCK 3005,1.9220594893032376e-30
BLOCK 3006,1.818504955360969e-31
BLOCK 3007,8.931709139588652e-35
BLOCK 3008,4.440674463248631e-46
BLOCK 3009,2.360998347169615e-44
BLOCK 3018,2.809986705783193e-40
BLOCK 3019,1.1806147315763154e-64
BLOCK 3020,3.323963807218223e-81
BLOCK 3021,3.958832066239073e-70
BLOCK 3022,4.6617237548861536e-74
BLOCK 3023,1.1033570819015547e-87
BLOCK 3024,1.8782843850622235e-117
BLOCK 3029,1.386433573630904e-106
BLOCK 2030,1.6397111877195448e-31
BLOCK 3000,1.405029982704596e-36
BLOCK 3016,1.8625741053717783e-48
BLOCK 3032,1.0177551240086939e-95
BLOCK 3033,5.139207502260938e-90
BLOCK 3034,6.562348633250523e-118
BLOCK 3035,5.509865912588184e-140
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,3.82062533712299e-42
BLOCK 4004,6.191863058699205e-50
BLOCK 4005,6.444483217948009e-163
BLOCK 4006,1.135781230924808e-142
BLOCK 4007,6.965582952964901e-155
BLOCK 4008,3.858719745146815e-68
BLOCK 4009,1.0572897070557382e-66
BLOCK 4010,1.0439633212572825e-60
BLOCK 4011,1.9874798751831592e-56
BLOCK 4012,5.3750368125962363e-67
BLOCK 4013,1.923909883188196e-99
BLOCK 4014,1.0126372017923179e-80
BLOCK 4015,6.272436957445129e-78
BLOCK 4016,0.0
BLOCK 4017,2.8557498920858756e-78
BLOCK 4018,1.2517502673797814e-191
BLOCK 4019,8.491338035940785e-112
BLOCK 4020,4.0224364489913115e-66
BLOCK 4021,5.567672861335824e-106
BLOCK 4022,0.0
BLOCK 4023,5.9503368943868665e-179
BLOCK 4024,7.697137553901414e-185
BLOCK 4025,3.8236787255259295e-204
BLOCK 4026,7.813717694201559e-192
BLOCK 4027,1.5968312954739318e-191
BLOCK 4028,1.4122479462030997e-182
BLOCK 4029,6.420164290736127e-157
BLOCK 4030,4.281819779334483e-174
BLOCK 4031,1.250310123085685e-160
BLOCK 4032,6.660460256996839e-217
BLOCK 4033,1.0485503058149043e-174
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,2.1599386328871702e-212
BLOCK 4035,2.748424139410653e-214
BLOCK 4036,2.4456244584938515e-209
BLOCK 4037,6.252276476119122e-215
BLOCK 4038,3.447464341312599e-256
BLOCK 4039,2.7410355967824158e-261
BLOCK 4040,9.536584758481215e-305
BLOCK 4041,1.4249771532844282e-225
BLOCK 4042,1.786885882817254e-254
BLOCK 4043,5.2866001860709315e-232
BLOCK 4044,3.311158177788746e-204
BLOCK 4045,4.185765360500478e-189
BLOCK 4046,4.8494894381327e-181
BLOCK 4048,1.1390725370390428e-141
BLOCK 4049,7.411924885678354e-147
BLOCK 4050,2.191491789580291e-139
BLOCK 4051,7.1959819887191975e-177
BLOCK 4052,2.669445058799079e-181
BLOCK 4053,1.7910188463959348e-182
BLOCK 4054,4.026784908838339e-187
BLOCK 4055,3.8952392300120396e-190
BLOCK 4056,9.432200508888814e-212
BLOCK 4058,1.0283802338959269e-192
BLOCK 4059,2.646295719415219e-191
BLOCK 4061,4.505496863683715e-237
BLOCK 4062,6.304331160011333e-230
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,4.165676137861889e-27
BLOCK 2032,3.2997852646870405e-25
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.457791529484077e-38
BLOCK 2058,9.74614452764955e-29
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.040147660259821e-225
BLOCK 4064,4.869760361985733e-217
BLOCK 4065,1.1302392133188721e-303
