,PM10 Cumulative Hazard Index PAC1
BLOCK 1030,9.433917389008304e-25
BLOCK 1033,5.935025820924712e-22
BLOCK 1035,1.4270776623607342e-20
BLOCK 1037,2.647433562698918e-20
BLOCK 1038,5.766105999848179e-22
BLOCK 2009,1.4509196534183914e-27
BLOCK 2013,9.17635640695166e-21
BLOCK 2008,2.229046055844775e-25
BLOCK 1009,2.855336229212438e-43
BLOCK 1016,3.656743384584959e-19
BLOCK 1020,6.331261872296623e-28
BLOCK 1026,1.269418609427282e-27
BLOCK 1027,8.833468755428048e-22
BLOCK 1028,3.3524993253485e-24
BLOCK 1029,2.1000999232955013e-26
BLOCK 1039,8.611895293671241e-23
BLOCK 1040,2.896493685890116e-23
BLOCK 1052,1.6015258576257154e-19
BLOCK 1054,2.639943736286188e-19
BLOCK 2025,5.913062192207111e-22
BLOCK 2028,6.625199508346192e-23
BLOCK 2029,2.126422376937436e-22
BLOCK 1005,2.4128618938675986e-38
BLOCK 1006,5.217659084247828e-40
BLOCK 1007,5.1911751928061833e-45
BLOCK 1008,2.768808787143732e-51
BLOCK 1011,7.30915992058964e-37
BLOCK 1024,6.645059965993188e-28
BLOCK 1025,1.0090497433171456e-25
BLOCK 3010,7.004617178932965e-57
BLOCK 3011,8.414880497254403e-56
BLOCK 3012,4.361400397801622e-51
BLOCK 3013,8.125136241245156e-51
BLOCK 3014,4.87308276444816e-45
BLOCK 3015,1.1263561794097e-46
BLOCK 3017,4.210546663768905e-41
BLOCK 3025,1.078519883548545e-48
BLOCK 3026,2.1477748245551915e-51
BLOCK 3027,2.4001777647829206e-65
BLOCK 3028,6.443052766519462e-70
BLOCK 3030,5.583425635694903e-59
BLOCK 3031,3.9943910274374123e-72
BLOCK 4047,1.0217348066347503e-47
BLOCK 4057,1.5440434679193595e-42
BLOCK 4000,1.3056055315610455e-72
BLOCK 4001,6.714956988562816e-64
BLOCK 1000,1.0945735710889743e-30
BLOCK 1001,6.04507520142592e-32
BLOCK 1002,7.826182339298421e-33
BLOCK 1003,4.408592158946758e-33
BLOCK 1004,2.5616229797981946e-19
BLOCK 1010,1.3865608628953065e-19
BLOCK 1017,6.613448231691883e-26
BLOCK 1018,8.419908893357229e-29
BLOCK 1019,2.3123280004358317e-28
BLOCK 2000,1.3910139978564843e-19
BLOCK 2001,1.6124690060454387e-19
BLOCK 2002,1.584274415833461e-19
BLOCK 2003,1.4389299344581047e-19
BLOCK 2004,2.065706710396678e-27
BLOCK 2005,9.207111559133671e-31
BLOCK 2006,3.1964472191898544e-31
BLOCK 2007,6.849711917522609e-31
BLOCK 2010,3.8828707340093886e-29
BLOCK 2011,1.1412852518537246e-19
BLOCK 2012,9.621411290327677e-21
BLOCK 2026,1.726689988820697e-23
BLOCK 2027,4.006772461944101e-24
BLOCK 2051,1.8674813356348106e-19
BLOCK 2054,1.6916169551635768e-19
BLOCK 2055,4.262527392936727e-21
BLOCK 2056,3.84485113497317e-20
BLOCK 5030,8.127264052114077e-71
BLOCK 5031,6.817010437825978e-59
BLOCK 1012,4.518049658090109e-19
BLOCK 1013,9.826584040930221e-84
BLOCK 1014,2.384288083190994e-151
BLOCK 1015,3.4143815018306055e-19
BLOCK 1021,7.751568724424787e-29
BLOCK 1022,1.0038207300442776e-28
BLOCK 1023,2.803041963795385e-23
BLOCK 1031,1.8430726016852274e-23
BLOCK 1032,3.5192901590728646e-23
BLOCK 1034,3.354936161789607e-26
BLOCK 1036,4.485415483111185e-20
BLOCK 1048,1.6378291050320803e-19
BLOCK 1049,6.657895363446411e-26
BLOCK 1050,2.3481914884486e-23
BLOCK 1051,2.2472873189939e-19
BLOCK 1053,3.468140564677911e-19
BLOCK 1055,7.82363337596384e-62
BLOCK 1056,1.4996660946330231e-58
BLOCK 1057,2.1265026628207593e-69
BLOCK 1058,3.830254502548803e-19
BLOCK 1059,2.4199228949026694e-20
BLOCK 1060,1.4410164622487827e-29
BLOCK 1061,3.587754383775484e-24
BLOCK 1062,2.56904223711015e-25
BLOCK 1063,4.840031680421012e-23
BLOCK 1064,5.587684644457595e-22
BLOCK 1065,3.820001007375633e-40
BLOCK 1066,2.0619410396376604e-30
BLOCK 1067,9.776046577270888e-44
BLOCK 3039,1.940413581152815e-28
BLOCK 3040,2.2919806996082164e-28
BLOCK 3041,1.2473270549365312e-28
BLOCK 3042,3.727706228573409e-28
BLOCK 3043,8.778923322380175e-28
BLOCK 3044,4.9675861730325527e-29
BLOCK 3045,6.446568182919921e-31
BLOCK 3046,1.2277969228588136e-31
BLOCK 3047,5.4205257597040264e-33
BLOCK 3048,2.1605941497894374e-28
BLOCK 3049,9.307251309824594e-27
BLOCK 3050,5.974788387081162e-30
BLOCK 2059,7.78564924929643e-21
BLOCK 2060,1.1546621036351621e-20
BLOCK 2061,1.5517763840002024e-21
BLOCK 2064,5.116904436200242e-22
BLOCK 2014,2.851569537543689e-23
BLOCK 2015,1.2947423473791136e-21
BLOCK 2016,4.8728850092529525e-27
BLOCK 2017,4.854997665981799e-31
BLOCK 2018,2.2342434893752463e-28
BLOCK 2019,9.328900104608746e-84
BLOCK 2020,0.0
BLOCK 2021,1.7297093620296223e-25
BLOCK 2022,2.7320462777827805e-34
BLOCK 2023,4.0942282646988477e-35
BLOCK 2024,9.891839605772071e-36
BLOCK 3001,2.0626693071286994e-40
BLOCK 3002,1.446957162783141e-40
BLOCK 3003,3.102078601297367e-42
BLOCK 3004,6.162314361591656e-45
BLOCK 3005,1.4878798596549335e-42
BLOCK 3006,2.216889676310015e-43
BLOCK 3007,7.777907407523684e-47
BLOCK 3008,5.9356947334325944e-58
BLOCK 3009,2.50122735454139e-56
BLOCK 3018,6.578673667237449e-41
BLOCK 3019,3.7209787484006352e-59
BLOCK 3020,3.490443307644217e-52
BLOCK 3021,2.982921185806501e-49
BLOCK 3022,1.5498532370414222e-47
BLOCK 3023,3.7693384885692544e-45
BLOCK 3024,7.987450207720427e-50
BLOCK 3029,1.342151102473714e-53
BLOCK 2030,1.8961765844634627e-38
BLOCK 3000,6.502497040963786e-40
BLOCK 3016,2.442125488742862e-42
BLOCK 3032,9.419632546324384e-78
BLOCK 3033,1.0526075257168512e-99
BLOCK 3034,1.2878650631084505e-50
BLOCK 3035,9.691962391129549e-60
BLOCK 3036,6.948329286117101e-266
BLOCK 3037,2.003438782701219e-284
BLOCK 3038,3.302796382167856e-27
BLOCK 4002,1.6073500199384156e-59
BLOCK 4003,1.585125973998869e-37
BLOCK 4004,6.633970887432487e-38
BLOCK 4005,4.4464874799108066e-55
BLOCK 4006,2.53023926598768e-56
BLOCK 4007,5.617112553696411e-51
BLOCK 4008,8.658901612440115e-36
BLOCK 4009,2.2858704392757064e-37
BLOCK 4010,8.639621361052832e-38
BLOCK 4011,3.511240635501767e-39
BLOCK 4012,1.0567597076726686e-38
BLOCK 4013,6.08797723065878e-36
BLOCK 4014,3.4386105910705954e-37
BLOCK 4015,8.16831546740255e-37
BLOCK 4016,9.923968523404382e-170
BLOCK 4017,1.2857459441685874e-37
BLOCK 4018,3.579765037985799e-46
BLOCK 4019,9.184555849215182e-38
BLOCK 4020,2.4885417413643644e-40
BLOCK 4021,1.857107669550068e-41
BLOCK 4022,6.556973347250043e-301
BLOCK 4023,2.816575144506972e-35
BLOCK 4024,9.870059848241212e-36
BLOCK 4025,5.212872085721376e-37
BLOCK 4026,9.729186633992844e-39
BLOCK 4027,1.4516459222742224e-40
