,PM10 Cumulative Hazard Index PAC1
BLOCK 4028,8.302191610253836e-40
BLOCK 4029,7.847926249932915e-40
BLOCK 4030,2.64638684618942e-37
BLOCK 4031,2.9866718272686577e-44
BLOCK 4032,9.508874591297926e-40
BLOCK 4033,2.3817547893202948e-45
BLOCK 5000,8.219651852808054e-142
BLOCK 5001,1.9601457758260667e-133
BLOCK 5002,1.6923888596524157e-125
BLOCK 5003,6.658806995175086e-119
BLOCK 5004,5.766202028535774e-109
BLOCK 5005,5.28394924004323e-124
BLOCK 5006,7.698399051363092e-121
BLOCK 5007,4.642863785450786e-149
BLOCK 5008,1.1597168899571932e-148
BLOCK 5009,1.0237989002297431e-139
BLOCK 5010,5.066293685085917e-133
BLOCK 5011,1.8003753964751957e-125
BLOCK 5012,1.6786462224334638e-117
BLOCK 5013,5.232100979997306e-119
BLOCK 5014,2.506106246180192e-145
BLOCK 5015,6.3345453959107574e-149
BLOCK 5016,2.1174246016837942e-114
BLOCK 5017,4.804446438199333e-142
BLOCK 5018,9.713604862634224e-151
BLOCK 5019,7.334398689276019e-141
BLOCK 5020,1.5008504798405097e-94
BLOCK 5021,3.6674334334168935e-78
BLOCK 5022,3.615295179951985e-96
BLOCK 5023,4.639863405020123e-102
BLOCK 5024,5.849788867399704e-127
BLOCK 5025,3.315143389186762e-188
BLOCK 5026,1.4157382880816642e-105
BLOCK 5027,9.57588538171703e-56
BLOCK 5028,2.7678157524551225e-47
BLOCK 5029,1.3367858981294442e-82
BLOCK 5032,8.467592672309771e-97
BLOCK 5033,2.968585869931748e-74
BLOCK 5034,1.369503601372351e-56
BLOCK 5035,7.3524201337869405e-146
BLOCK 2063,1.816712643647026e-24
BLOCK 4034,2.096996177001613e-40
BLOCK 4035,6.083630099089805e-40
BLOCK 4036,2.0425416388132403e-40
BLOCK 4037,8.667738739092764e-40
BLOCK 4038,1.2930958583275502e-36
BLOCK 4039,1.9958283684253047e-36
BLOCK 4040,2.1244643425220175e-34
BLOCK 4041,3.034790872561136e-39
BLOCK 4042,7.801391557447102e-37
BLOCK 4043,4.432392890741184e-39
BLOCK 4044,8.892609879003345e-42
BLOCK 4045,4.124673140640256e-44
BLOCK 4046,1.3198517992183074e-44
BLOCK 4048,1.998589953252094e-48
BLOCK 4049,1.5258991525575898e-49
BLOCK 4050,9.518271612889232e-51
BLOCK 4051,4.4875455715158125e-47
BLOCK 4052,1.4532135659815067e-45
BLOCK 4053,4.0207324274441805e-45
BLOCK 4054,4.1962151716475657e-44
BLOCK 4055,9.496768671920497e-44
BLOCK 4056,5.916847565872179e-42
BLOCK 4058,5.8153016654556e-44
BLOCK 4059,5.218399650528882e-44
BLOCK 4061,3.0909685128524803e-39
BLOCK 4062,7.690420417639934e-40
BLOCK 2035,4.57108996370066e-22
BLOCK 2037,3.912690322572446e-23
BLOCK 2038,6.309343556190626e-24
BLOCK 2040,3.623838325763923e-23
BLOCK 2041,9.79946026012919e-20
BLOCK 2042,1.0839784548744813e-19
BLOCK 2043,1.504490310328577e-19
BLOCK 2044,1.6525885838044037e-19
BLOCK 1045,7.908762036624903e-20
BLOCK 1047,1.0466775800717659e-20
BLOCK 1041,8.097017894506729e-23
BLOCK 1042,6.32924276528443e-21
BLOCK 1043,1.3980483368729986e-20
BLOCK 1044,9.700008331235557e-20
BLOCK 1046,1.1373198292766748e-19
BLOCK 2033,9.180911332226289e-21
BLOCK 2045,1.374010256077854e-19
BLOCK 2046,1.3688683336905706e-19
BLOCK 2047,1.5520785814553343e-19
BLOCK 2048,1.7339114305474195e-19
BLOCK 2049,1.7784893099689358e-19
BLOCK 2050,1.821788701776112e-19
BLOCK 2052,1.7082537038651368e-19
BLOCK 2062,2.0423664630125794e-22
BLOCK 2031,1.2795544410995024e-36
BLOCK 2032,3.2845739065327035e-35
BLOCK 2034,6.914944819133342e-23
BLOCK 2036,8.004592280926135e-23
BLOCK 2039,2.7162193802298407e-21
BLOCK 2053,1.825025771715607e-19
BLOCK 2057,1.2765571963174435e-36
BLOCK 2058,1.6487154909897094e-37
BLOCK 2065,3.0517889306871753e-20
BLOCK 2066,4.888407694756752e-20
BLOCK 2067,4.793394788689335e-24
BLOCK 4063,2.1069545999163472e-40
BLOCK 4064,1.1782942208009305e-41
BLOCK 4065,1.804319416939442e-34
