,Total Dioxin 20% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,3.064608540788653e-223
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,2.3071190557437477e-305
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,1.1258178192972908e-200
BLOCK 1011,1.3184803274023995e-29
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.554845352817271e-45
BLOCK 3011,1.8416953562068605e-44
BLOCK 3012,8.619907721843225e-40
BLOCK 3013,5.1226920969205565e-42
BLOCK 3014,1.1786721829814906e-34
BLOCK 3015,3.312913016131907e-47
BLOCK 3017,1.846539010320859e-40
BLOCK 3025,2.397766943392389e-136
BLOCK 3026,1.1334012823451692e-96
BLOCK 3027,2.543809301522853e-62
BLOCK 3028,1.3384623780004697e-58
BLOCK 3030,7.066940585642584e-106
BLOCK 3031,5.352837201775157e-66
BLOCK 4047,1.754655144024697e-165
BLOCK 4057,1.2540860026058622e-204
BLOCK 4000,4.28316093100227e-302
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,2.3432842080603734e-183
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,2.8965036060800146e-110
BLOCK 1056,1.4678277617049318e-113
BLOCK 1057,2.9048223814850646e-131
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,2.2838287857138144e-31
BLOCK 2024,8.937714817577105e-29
BLOCK 3001,2.5302255801670503e-31
BLOCK 3002,1.708796299019897e-30
BLOCK 3003,1.0350395265853067e-32
BLOCK 3004,1.5258120983812238e-33
BLOCK 3005,1.99447193086066e-31
BLOCK 3006,6.772891698798943e-33
BLOCK 3007,4.304902113141328e-36
BLOCK 3008,1.3880184827668104e-46
BLOCK 3009,5.911934822048394e-45
BLOCK 3018,1.402809161916519e-40
BLOCK 3019,4.702697768129536e-65
BLOCK 3020,1.3452074911125373e-81
BLOCK 3021,1.6928645663892408e-70
BLOCK 3022,2.0113427987625794e-74
BLOCK 3023,4.754630885655068e-88
BLOCK 3024,7.167016625772561e-118
BLOCK 3029,5.206680340636028e-107
BLOCK 2030,8.568495564202696e-32
BLOCK 3000,7.1499528400934605e-37
BLOCK 3016,8.992315214264907e-49
BLOCK 3032,3.2645866532662147e-96
BLOCK 3033,1.5212694560924583e-90
BLOCK 3034,2.4783322619158477e-118
BLOCK 3035,1.7884926715710014e-140
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.981629194033348e-42
BLOCK 4004,3.149196104055009e-50
BLOCK 4005,5.01115033585203e-289
BLOCK 4006,4.6228676842032965e-216
BLOCK 4007,1.2602408600842177e-244
BLOCK 4008,1.9635965143069027e-68
BLOCK 4009,5.2614519434320905e-67
BLOCK 4010,5.216324129532534e-61
BLOCK 4011,9.81692812487797e-57
BLOCK 4012,2.6218111477753755e-67
BLOCK 4013,9.27050948652853e-100
BLOCK 4014,4.937103315268815e-81
BLOCK 4015,3.0906466402988075e-78
BLOCK 4016,0.0
BLOCK 4017,1.3886452072532765e-78
BLOCK 4018,0.0
BLOCK 4019,3.8793307084757365e-112
BLOCK 4020,1.9217462657600572e-66
BLOCK 4021,2.427592420408366e-106
BLOCK 4022,0.0
BLOCK 4023,2.595266677069142e-179
BLOCK 4024,3.3022696960459596e-185
BLOCK 4025,1.562513449876436e-204
BLOCK 4026,3.1241326273866154e-192
BLOCK 4027,6.163183280643654e-192
BLOCK 4028,5.5958704298034765e-183
BLOCK 4029,2.635945498518127e-157
BLOCK 4030,1.8009680928057693e-174
BLOCK 4031,4.739251026796728e-161
BLOCK 4032,2.376179673461617e-217
BLOCK 4033,3.7801347611865286e-175
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,7.491141980262991e-213
BLOCK 4035,9.976810678972917e-215
BLOCK 4036,8.968082574142217e-210
BLOCK 4037,2.331511269856975e-215
BLOCK 4038,1.2503235748879285e-256
BLOCK 4039,1.0588815657278133e-261
BLOCK 4040,3.614539953893306e-305
BLOCK 4041,4.8066746618137226e-226
BLOCK 4042,6.04104176225698e-255
BLOCK 4043,1.6978418379247856e-232
BLOCK 4044,1.1097570662208006e-204
BLOCK 4045,1.4008612986458036e-189
BLOCK 4046,1.713328423547339e-181
BLOCK 4048,4.2036526205579455e-142
BLOCK 4049,2.6674714685556985e-147
BLOCK 4050,7.88381638186719e-140
BLOCK 4051,2.355862748484338e-177
BLOCK 4052,8.93384535229668e-182
BLOCK 4053,6.05401907691374e-183
BLOCK 4054,1.374166852470127e-187
BLOCK 4055,1.317294967644603e-190
BLOCK 4056,2.934119704445268e-212
BLOCK 4058,3.359574047457843e-193
BLOCK 4059,8.729742133116404e-192
BLOCK 4061,1.3724353162158266e-237
BLOCK 4062,1.941764252720004e-230
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,2.2349515852723846e-27
BLOCK 2032,1.8071015856830655e-25
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,1.2998731233764316e-38
BLOCK 2058,5.164403229155024e-29
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,3.1880477854501778e-226
BLOCK 4064,1.4809780913371884e-217
BLOCK 4065,4.305515633357847e-304
