,ethyl_acryl_20 Cumulative Hazard Index PAC1
BLOCK 1030,1.1043371068634392e-06
BLOCK 1033,5.587828036223115e-07
BLOCK 1035,4.150947125126947e-07
BLOCK 1037,4.1673773087201357e-07
BLOCK 1038,5.288158657364302e-07
BLOCK 2009,1.1119346035289915e-06
BLOCK 2013,5.420711580814585e-06
BLOCK 2008,1.1144554899938097e-06
BLOCK 1009,3.621413460320635e-06
BLOCK 1016,3.6727069633190413e-06
BLOCK 1020,1.1459794147010659e-06
BLOCK 1026,1.1200864110113465e-06
BLOCK 1027,6.783474933000211e-07
BLOCK 1028,1.4620451861358774e-06
BLOCK 1029,2.431828137639041e-06
BLOCK 1039,6.821819649329426e-07
BLOCK 1040,1.0740792479444885e-06
BLOCK 1052,2.054190951982828e-06
BLOCK 1054,2.6357800911152855e-06
BLOCK 2025,5.05666380850487e-07
BLOCK 2028,2.3481652036034516e-06
BLOCK 2029,2.4585737899248725e-06
BLOCK 1005,2.2738144838470773e-06
BLOCK 1006,5.061619025633376e-06
BLOCK 1007,4.4395260300717236e-06
BLOCK 1008,5.17573424308729e-06
BLOCK 1011,1.8227849776659214e-06
BLOCK 1024,1.1351040930801866e-06
BLOCK 1025,1.2284892758350897e-06
BLOCK 3010,1.1505079671793269e-05
BLOCK 3011,1.0994886362709124e-05
BLOCK 3012,6.54471962366416e-06
BLOCK 3013,2.7654124796241048e-06
BLOCK 3014,2.790983915180489e-06
BLOCK 3015,7.942949358021285e-07
BLOCK 3017,1.0605664676122526e-06
BLOCK 3025,2.2138112891206925e-06
BLOCK 3026,5.771931380777094e-07
BLOCK 3027,2.276728025074591e-06
BLOCK 3028,1.2739970513535427e-05
BLOCK 3030,7.644155993729905e-07
BLOCK 3031,1.448857508138458e-06
BLOCK 4047,2.7882883672276984e-06
BLOCK 4057,2.830943447005295e-06
BLOCK 4000,1.5098968930505228e-13
BLOCK 4001,2.8944118869153774e-06
BLOCK 1000,8.161578722611301e-07
BLOCK 1001,8.096931330602322e-07
BLOCK 1002,1.086211613282848e-06
BLOCK 1003,1.4143564139595e-06
BLOCK 1004,2.8578253875763312e-06
BLOCK 1010,4.564344233022206e-06
BLOCK 1017,1.8959637576688692e-06
BLOCK 1018,1.3083476932366338e-06
BLOCK 1019,1.1271570441472567e-06
BLOCK 2000,1.7812362723405736e-06
BLOCK 2001,2.2427962823068036e-06
BLOCK 2002,2.364404930792061e-06
BLOCK 2003,2.2076019335111937e-06
BLOCK 2004,1.0840814913986948e-06
BLOCK 2005,7.406111396900273e-07
BLOCK 2006,6.989911522933113e-07
BLOCK 2007,7.383323440009279e-07
BLOCK 2010,9.396136186128328e-07
BLOCK 2011,2.2633683897433906e-06
BLOCK 2012,3.90942825548843e-06
BLOCK 2026,8.082174701799576e-07
BLOCK 2027,9.382881563109845e-07
BLOCK 2051,2.71637265808956e-06
BLOCK 2054,2.7545690592849787e-06
BLOCK 2055,5.528008195169266e-06
BLOCK 2056,5.27210586613452e-06
BLOCK 5030,1.866336337954592e-15
BLOCK 5031,1.1731500725584213e-12
BLOCK 1012,3.560279126177228e-06
BLOCK 1013,1.2371067810451535e-05
BLOCK 1014,2.379701331094288e-06
BLOCK 1015,3.814376255227747e-06
BLOCK 1021,1.0267677218188953e-06
BLOCK 1022,1.019646233696505e-06
BLOCK 1023,9.537519192510968e-07
BLOCK 1031,8.422513780032665e-07
BLOCK 1032,8.113054061076674e-07
BLOCK 1034,1.4864115071977197e-06
BLOCK 1036,4.6971848120282256e-07
BLOCK 1048,1.4745382754858177e-06
BLOCK 1049,1.2908852486334407e-06
BLOCK 1050,8.895996752280845e-07
BLOCK 1051,2.7088587383241943e-06
BLOCK 1053,2.4497384506007784e-06
BLOCK 1055,9.38094917918963e-16
BLOCK 1056,3.361956129571032e-18
BLOCK 1057,2.616517466871845e-18
BLOCK 1058,2.6103070839342945e-06
BLOCK 1059,4.0864207894236757e-07
BLOCK 1060,4.458804848760533e-06
BLOCK 1061,5.612823251081405e-06
BLOCK 1062,9.334226525617699e-06
BLOCK 1063,3.6017961643252996e-06
BLOCK 1064,3.2669573304167023e-06
BLOCK 1065,1.6271145555109576e-06
BLOCK 1066,5.130794246531044e-06
BLOCK 1067,1.2302852861588817e-06
BLOCK 3039,7.344040036555314e-06
BLOCK 3040,5.177165503462143e-06
BLOCK 3041,4.680471712857305e-06
BLOCK 3042,5.809382800928028e-06
BLOCK 3043,6.878197486922737e-06
BLOCK 3044,4.273146382990248e-06
BLOCK 3045,5.840694591383353e-06
BLOCK 3046,5.996287038804756e-06
BLOCK 3047,3.7349256878285733e-06
BLOCK 3048,4.618340752964176e-06
BLOCK 3049,1.0187785999064873e-05
BLOCK 3050,4.661317699019012e-06
BLOCK 2059,6.14700931505085e-06
BLOCK 2060,8.867444285598723e-06
BLOCK 2061,3.010483939793013e-06
BLOCK 2064,7.731320589110315e-06
BLOCK 2014,4.6969716795778945e-06
BLOCK 2015,5.62897373955779e-06
BLOCK 2016,2.3309537990560495e-06
BLOCK 2017,2.6737577172072516e-06
BLOCK 2018,6.657211932061267e-06
BLOCK 2019,1.4132299030835387e-05
BLOCK 2020,3.1779524374823684e-06
BLOCK 2021,4.703266695880118e-06
BLOCK 2022,1.9475295999013232e-05
BLOCK 2023,7.493675540181715e-07
BLOCK 2024,3.4926484151179793e-07
BLOCK 3001,2.4090379441961666e-06
BLOCK 3002,2.606755515590341e-06
BLOCK 3003,3.0776957648371668e-06
BLOCK 3004,8.299774113162538e-06
BLOCK 3005,4.994981815238694e-06
BLOCK 3006,5.510535843917216e-06
BLOCK 3007,6.413271078267346e-06
BLOCK 3008,1.1516623760765317e-05
BLOCK 3009,1.191139685300674e-05
BLOCK 3018,9.335481205044203e-07
BLOCK 3019,1.8678240993704696e-06
BLOCK 3020,4.405167895576734e-07
BLOCK 3021,3.83669038414578e-07
BLOCK 3022,3.566562423826751e-07
BLOCK 3023,4.0549408425213874e-07
BLOCK 3024,1.3929576449228817e-06
BLOCK 3029,8.528852053946115e-07
BLOCK 2030,3.78590408375541e-07
BLOCK 3000,1.4325399216425748e-06
BLOCK 3016,1.4939646372005352e-06
BLOCK 3032,1.5407209268215244e-06
BLOCK 3033,8.028712342483777e-06
BLOCK 3034,1.4132504562374347e-06
BLOCK 3035,2.5963873370986988e-06
BLOCK 3036,9.787203743624657e-15
BLOCK 3037,2.5934286872127747e-14
BLOCK 3038,5.843548996847906e-06
BLOCK 4002,8.132969620023494e-07
BLOCK 4003,7.662640703647455e-07
BLOCK 4004,1.2092587085427966e-06
BLOCK 4005,5.215405876459449e-14
BLOCK 4006,3.822931707768122e-18
BLOCK 4007,9.248418035745731e-17
BLOCK 4008,1.8360712539876306e-07
BLOCK 4009,2.0306328547409964e-07
BLOCK 4010,2.0241659633375446e-07
BLOCK 4011,3.487381368806225e-07
BLOCK 4012,2.217350734995115e-07
BLOCK 4013,4.7133671690359927e-07
BLOCK 4014,2.3927481730927423e-07
BLOCK 4015,2.2080734100954166e-07
BLOCK 4016,2.3370624834804004e-11
BLOCK 4017,2.3437503871327462e-07
BLOCK 4018,5.898296042893374e-12
BLOCK 4019,8.847627083864416e-07
BLOCK 4020,2.422332753798359e-07
BLOCK 4021,8.173833313993363e-07
BLOCK 4022,1.3281568038536689e-13
BLOCK 4023,1.3729402303023972e-06
BLOCK 4024,1.3833061370814076e-06
BLOCK 4025,1.3070769694720453e-06
BLOCK 4026,1.6194439838864167e-06
BLOCK 4027,1.816388529848973e-06
BLOCK 4028,1.819485607246171e-06
BLOCK 4029,1.8538475681482698e-06
BLOCK 4030,1.5992370628796067e-06
BLOCK 4031,2.338936604467189e-06
BLOCK 4032,1.6971364949984395e-06
BLOCK 4033,2.5585111609780444e-06
BLOCK 5000,4.100156102846676e-07
BLOCK 5001,3.8959940840075095e-07
BLOCK 5002,3.939357199482784e-07
BLOCK 5003,3.9565268854367666e-07
BLOCK 5004,3.626093329612936e-07
BLOCK 5005,1.2680326113127083e-07
BLOCK 5006,2.240441369310275e-08
BLOCK 5007,7.619108298492e-09
BLOCK 5008,1.140996522535383e-09
BLOCK 5009,1.395577365315495e-09
BLOCK 5010,4.5656488272800345e-10
BLOCK 5011,1.1658748781214102e-09
BLOCK 5012,2.157631066522429e-09
BLOCK 5013,3.297821270738389e-10
BLOCK 5014,1.2908852749625487e-18
BLOCK 5015,2.950323253464856e-12
BLOCK 5016,2.6646650468186886e-12
BLOCK 5017,3.702132897923091e-11
BLOCK 5018,5.417170658182744e-11
BLOCK 5019,2.2685847308742247e-10
BLOCK 5020,1.1175056804973082e-13
BLOCK 5021,1.437112327642934e-12
BLOCK 5022,1.2846165017857365e-22
BLOCK 5023,4.737461099882785e-19
BLOCK 5024,4.187586402269468e-20
BLOCK 5025,1.987717131284397e-19
BLOCK 5026,2.456977140056876e-13
BLOCK 5027,1.9412422032841093e-07
BLOCK 5028,2.0095194914249374e-06
BLOCK 5029,1.2344617371081754e-08
BLOCK 5032,1.2543224648570344e-29
BLOCK 5033,4.5686401470762724e-15
BLOCK 5034,5.419041003648405e-08
BLOCK 5035,5.041629498282557e-14
