,PM2.5 Cumulative Hazard Index PAC3
BLOCK 1030,1.712201589957731e-24
BLOCK 1033,1.0772710551843436e-21
BLOCK 1035,2.5879150854388708e-20
BLOCK 1037,4.7988321907939524e-20
BLOCK 1038,1.0455999173146258e-21
BLOCK 2009,2.633604421197588e-27
BLOCK 2013,1.6818879525629478e-20
BLOCK 2008,4.043163941459359e-25
BLOCK 1009,5.337295331839153e-43
BLOCK 1016,6.625389362348775e-19
BLOCK 1020,1.1503192986412644e-27
BLOCK 1026,2.304580644329441e-27
BLOCK 1027,1.612245065401866e-21
BLOCK 1028,6.151064195341208e-24
BLOCK 1029,3.866882999512886e-26
BLOCK 1039,1.5621516966716067e-22
BLOCK 1040,5.330982666763789e-23
BLOCK 1052,2.906577712523431e-19
BLOCK 1054,4.787886582915411e-19
BLOCK 2025,1.0715664666750161e-21
BLOCK 2028,1.2223358051401595e-22
BLOCK 2029,3.8986554822175797e-22
BLOCK 1005,4.511051614770095e-38
BLOCK 1006,9.988276995444094e-40
BLOCK 1007,9.89932926081975e-45
BLOCK 1008,5.247878037659774e-51
BLOCK 1011,4.363994558099154e-36
BLOCK 1024,1.2071144020666537e-27
BLOCK 1025,1.8324696873876812e-25
BLOCK 3010,6.441382242069809e-56
BLOCK 3011,7.79466110626805e-55
BLOCK 3012,3.2764204519630616e-50
BLOCK 3013,4.390738321178483e-50
BLOCK 3014,2.9166759062131636e-44
BLOCK 3015,4.6031194373682224e-46
BLOCK 3017,1.736316371761922e-40
BLOCK 3025,5.665722260094238e-48
BLOCK 3026,1.0434724040578609e-50
BLOCK 3027,1.1134107821044375e-64
BLOCK 3028,5.286220821444025e-69
BLOCK 3030,2.7665709319563734e-58
BLOCK 3031,2.1103543192004944e-71
BLOCK 4047,2.727983061819488e-47
BLOCK 4057,2.861350400914628e-42
BLOCK 4000,5.353150256317866e-71
BLOCK 4001,2.7147429588499213e-62
BLOCK 1000,1.9903078132984524e-30
BLOCK 1001,1.1028258258530237e-31
BLOCK 1002,1.4377307228056144e-32
BLOCK 1003,8.141762929951532e-33
BLOCK 1004,4.647922418400439e-19
BLOCK 1010,2.520769000268803e-19
BLOCK 1017,1.2103313848654702e-25
BLOCK 1018,1.535726785748073e-28
BLOCK 1019,4.203326166085847e-28
BLOCK 2000,2.5246005901766073e-19
BLOCK 2001,2.9270977472785354e-19
BLOCK 2002,2.8764971936564027e-19
BLOCK 2003,2.6128301114343574e-19
BLOCK 2004,3.74744121686186e-27
BLOCK 2005,1.6716654706837163e-30
BLOCK 2006,5.805277760565766e-31
BLOCK 2007,1.244035817165925e-30
BLOCK 2010,7.048789400556299e-29
BLOCK 2011,2.0738938353007836e-19
BLOCK 2012,1.761977411059934e-20
BLOCK 2026,3.130542523687285e-23
BLOCK 2027,7.265010941518562e-24
BLOCK 2051,3.3905554179718825e-19
BLOCK 2054,3.072250305396748e-19
BLOCK 2055,7.827432312062717e-21
BLOCK 2056,7.018768079781145e-20
BLOCK 5030,3.242076798369657e-69
BLOCK 5031,2.5394989726201672e-57
BLOCK 1012,8.176819974035087e-19
BLOCK 1013,1.99792290902935e-83
BLOCK 1014,1.0666141046877101e-150
BLOCK 1015,6.186046416630083e-19
BLOCK 1021,1.408299613688673e-28
BLOCK 1022,1.8231022978421873e-28
BLOCK 1023,5.103614733037219e-23
BLOCK 1031,3.343981190271237e-23
BLOCK 1032,6.389718228905501e-23
BLOCK 1034,6.110650761202377e-26
BLOCK 1036,8.129153905229691e-20
BLOCK 1048,2.9695462681476646e-19
BLOCK 1049,1.2099382489432357e-25
BLOCK 1050,4.266607651866731e-23
BLOCK 1051,4.0779870405469645e-19
BLOCK 1053,6.283325704864491e-19
BLOCK 1055,2.473700499127021e-61
BLOCK 1056,4.6973390646707955e-58
BLOCK 1057,6.777481288450853e-69
BLOCK 1058,6.939842539856102e-19
BLOCK 1059,4.3861871203658103e-20
BLOCK 1060,2.643159052449375e-29
BLOCK 1061,6.588396458392481e-24
BLOCK 1062,4.738094460745628e-25
BLOCK 1063,8.956436787398249e-23
BLOCK 1064,1.029687278707406e-21
BLOCK 1065,7.364947289738516e-40
BLOCK 1066,3.780970577632232e-30
BLOCK 1067,1.8137446479762308e-43
BLOCK 3039,3.608911447686938e-28
BLOCK 3040,4.247219408622711e-28
BLOCK 3041,2.3112767042965285e-28
BLOCK 3042,6.909178745718834e-28
BLOCK 3043,1.6268298802778635e-27
BLOCK 3044,9.204615599902932e-29
BLOCK 3045,1.1936410251184656e-30
BLOCK 3046,2.272239624879439e-31
BLOCK 3047,1.003272766176763e-32
BLOCK 3048,3.998724000067541e-28
BLOCK 3049,1.7232571185357174e-26
BLOCK 3050,1.1057208718080706e-29
BLOCK 2059,1.4553508462587708e-20
BLOCK 2060,2.173069570200361e-20
BLOCK 2061,2.9126624019642823e-21
BLOCK 2064,9.634739354935398e-22
BLOCK 2014,5.287619110237603e-23
BLOCK 2015,2.3837030167795346e-21
BLOCK 2016,9.150788475816803e-27
BLOCK 2017,9.220700275440877e-31
BLOCK 2018,4.223519505811215e-28
BLOCK 2019,1.943039770352707e-83
BLOCK 2020,0.0
BLOCK 2021,3.225954975539442e-25
BLOCK 2022,5.257283710950702e-34
BLOCK 2023,1.7953635147074398e-34
BLOCK 2024,4.844946512235658e-35
BLOCK 3001,1.0946594658741247e-39
BLOCK 3002,8.227845799922276e-40
BLOCK 3003,1.6924910671602467e-41
BLOCK 3004,5.210704933168717e-44
BLOCK 3005,1.6033608929307253e-41
BLOCK 3006,3.0863885256963676e-42
BLOCK 3007,1.017474831697311e-45
BLOCK 3008,4.888979804695194e-57
BLOCK 3009,2.1875757095984964e-55
BLOCK 3018,2.697394933318653e-40
BLOCK 3019,1.4698463055909113e-58
BLOCK 3020,1.4919604406642235e-51
BLOCK 3021,1.1924741771988001e-48
BLOCK 3022,6.442316459801765e-47
BLOCK 3023,1.7682640344737104e-44
BLOCK 3024,4.3497835947459105e-49
BLOCK 3029,7.002569041948835e-53
BLOCK 2030,9.206721599158454e-38
BLOCK 3000,2.808540775456185e-39
BLOCK 3016,9.22454380069042e-42
BLOCK 3032,3.809438176578564e-77
BLOCK 3033,6.657506423501048e-99
BLOCK 3034,7.0296624045183955e-50
BLOCK 3035,5.332924719541018e-59
BLOCK 3036,8.448964737690594e-264
BLOCK 3037,2.645536124734511e-282
BLOCK 3038,6.2295475362674744e-27
BLOCK 4002,6.277434194873291e-58
BLOCK 4003,6.035812025909483e-37
BLOCK 4004,2.438251296054708e-37
BLOCK 4005,1.593241700469995e-53
BLOCK 4006,8.8726307842377e-55
BLOCK 4007,1.9133307564685073e-49
BLOCK 4008,3.584670420186515e-35
BLOCK 4009,9.352088877692947e-37
BLOCK 4010,3.381750611349652e-37
BLOCK 4011,1.3292689448008717e-38
BLOCK 4012,4.320452623133038e-38
BLOCK 4013,3.1485437860544484e-35
BLOCK 4014,1.563113188022043e-36
BLOCK 4015,3.629284156989727e-36
BLOCK 4016,7.713156378817642e-168
BLOCK 4017,5.723698502529166e-37
BLOCK 4018,1.219361399594666e-44
BLOCK 4019,4.812091074454436e-37
BLOCK 4020,1.0060604377837011e-39
BLOCK 4021,9.834382859173186e-41
BLOCK 4022,9.399637275473285e-299
BLOCK 4023,1.1816639583700618e-34
BLOCK 4024,4.086448040981334e-35
BLOCK 4025,2.0891772054141045e-36
BLOCK 4026,4.007709973533163e-38
BLOCK 4027,5.980724473776609e-40
BLOCK 4028,3.506724646560209e-39
BLOCK 4029,3.600732180099634e-39
BLOCK 4030,1.1321133578217399e-36
BLOCK 4031,1.3878100507478e-43
BLOCK 4032,1.7468523771954935e-39
BLOCK 4033,5.984335415647753e-45
BLOCK 5000,5.56795645842918e-140
BLOCK 5001,1.2621434189421231e-131
BLOCK 5002,1.0377292287773358e-123
BLOCK 5003,3.917265938074848e-117
BLOCK 5004,3.1814011166921204e-107
BLOCK 5005,3.200042397959824e-122
BLOCK 5006,4.548722251252435e-119
BLOCK 5007,3.24971664473178e-147
BLOCK 5008,8.058958452217257e-147
BLOCK 5009,6.747646779478942e-138
BLOCK 5010,3.196054636855749e-131
BLOCK 5011,1.0864551248566102e-123
BLOCK 5012,9.647286436466353e-116
BLOCK 5013,3.020239436872825e-117
BLOCK 5014,1.6177684284824487e-143
BLOCK 5015,4.3416803115576613e-147
BLOCK 5016,1.1705622499392327e-112
BLOCK 5017,3.1809228547375823e-140
BLOCK 5018,6.7801558991143905e-149
BLOCK 5019,4.844350285754905e-139
BLOCK 5020,7.193898904104897e-93
BLOCK 5021,1.577298029654145e-76
BLOCK 5022,5.505280444882331e-95
BLOCK 5023,7.386686363651916e-101
BLOCK 5024,3.3349616130017535e-125
BLOCK 5025,7.373061479671116e-187
BLOCK 5026,2.3508070118000536e-104
BLOCK 5027,1.8263541878852795e-55
BLOCK 5028,5.256833146043777e-47
BLOCK 5029,2.660966682879825e-82
BLOCK 5032,1.7342741621403318e-95
BLOCK 5033,4.214067642542195e-73
BLOCK 5034,2.584386657771369e-56
BLOCK 5035,1.4445056249244313e-144
BLOCK 2063,3.422828261596334e-24
BLOCK 4034,3.8589105881625126e-40
BLOCK 4035,1.1225769875770011e-39
BLOCK 4036,3.8522309253212255e-40
BLOCK 4037,1.7571399497173167e-39
BLOCK 4038,2.363920612932267e-36
BLOCK 4039,4.612782990507766e-36
BLOCK 4040,3.926759334995572e-34
BLOCK 4041,5.584859538288042e-39
BLOCK 4042,1.4309905198601994e-36
BLOCK 4043,8.175715453664008e-39
BLOCK 4044,1.642180590514315e-41
BLOCK 4045,7.638507209030733e-44
BLOCK 4046,2.475007813023343e-44
BLOCK 4048,1.0293868803925704e-47
BLOCK 4049,7.779427365532451e-49
BLOCK 4050,5.019060693131072e-50
BLOCK 4051,8.349259684756568e-47
BLOCK 4052,2.6957095987686613e-45
BLOCK 4053,7.450714476752489e-45
BLOCK 4054,7.762862736828653e-44
BLOCK 4055,1.7569407318975538e-43
BLOCK 4056,1.0973013122757464e-41
BLOCK 4058,1.078251223407647e-43
BLOCK 4059,9.670877024944342e-44
BLOCK 4061,5.7174084048675944e-39
BLOCK 4062,1.4229357795310355e-39
BLOCK 2035,8.434567043191152e-22
BLOCK 2037,7.256128122376553e-23
BLOCK 2038,1.174366701373591e-23
BLOCK 2040,6.69949685206439e-23
BLOCK 2041,1.7841127588754074e-19
BLOCK 2042,1.9729045707819223e-19
BLOCK 2043,2.733717565606956e-19
BLOCK 2044,3.0018540677737075e-19
BLOCK 1045,1.4359433749473662e-19
BLOCK 1047,1.900418724624919e-20
BLOCK 1041,1.4857126844264184e-22
BLOCK 1042,1.1544766764695228e-20
BLOCK 1043,2.5508676466524937e-20
BLOCK 1044,1.7617086351475225e-19
BLOCK 1046,2.0651191076272646e-19
BLOCK 2033,1.682669262197212e-20
BLOCK 2045,2.496030142964524e-19
BLOCK 2046,2.4862138227328766e-19
BLOCK 2047,2.8186322188815124e-19
BLOCK 2048,3.1484702987682645e-19
BLOCK 2049,3.2287457256843995e-19
BLOCK 2050,3.306681932893996e-19
BLOCK 2052,3.103441472267172e-19
BLOCK 2062,3.809419555960992e-22
BLOCK 2031,6.774326432285124e-36
BLOCK 2032,1.788582173043629e-34
BLOCK 2034,1.2802583468840996e-22
BLOCK 2036,1.482549917386821e-22
BLOCK 2039,4.982276994702809e-21
BLOCK 2053,3.3140770007401703e-19
BLOCK 2057,5.031959660195407e-36
BLOCK 2058,8.505108143290173e-37
BLOCK 2065,5.573871182227124e-20
BLOCK 2066,8.912082048474999e-20
BLOCK 2067,8.915251489535225e-24
BLOCK 4063,3.902359222038245e-40
BLOCK 4064,2.186872155707233e-41
BLOCK 4065,3.3712736782722926e-34
