,butyl_acryl Cumulative Hazard Index PAC3
BLOCK 1030,2.4986116629147006e-07
BLOCK 1033,1.2511382776874923e-07
BLOCK 1035,9.221735859017414e-08
BLOCK 1037,9.252621771953764e-08
BLOCK 1038,1.1864015248912563e-07
BLOCK 2009,2.506188584546177e-07
BLOCK 2013,1.195298759539491e-06
BLOCK 2008,2.523031866165317e-07
BLOCK 1009,8.009839575879875e-07
BLOCK 1016,8.174961118227079e-07
BLOCK 1020,2.577728959517848e-07
BLOCK 1026,2.5235862912187573e-07
BLOCK 1027,1.503120633789469e-07
BLOCK 1028,3.258249047695539e-07
BLOCK 1029,5.41338965706619e-07
BLOCK 1039,1.5390708042343913e-07
BLOCK 1040,2.3723819144038307e-07
BLOCK 1052,4.550379565725763e-07
BLOCK 1054,5.845704560842766e-07
BLOCK 2025,1.1358148162753447e-07
BLOCK 2028,5.191883061742781e-07
BLOCK 2029,5.438194814972589e-07
BLOCK 1005,5.017269134866413e-07
BLOCK 1006,1.1119768142930292e-06
BLOCK 1007,9.763660752942982e-07
BLOCK 1008,1.1431795858954583e-06
BLOCK 1011,4.256499983023421e-07
BLOCK 1024,2.5540373345664463e-07
BLOCK 1025,2.773791612412539e-07
BLOCK 3010,2.7037110531366936e-06
BLOCK 3011,2.5868054172086983e-06
BLOCK 3012,1.5242732976966638e-06
BLOCK 3013,6.381346997135402e-07
BLOCK 3014,6.426808899948114e-07
BLOCK 3015,1.80918798432699e-07
BLOCK 3017,2.467882886364922e-07
BLOCK 3025,4.939664311994589e-07
BLOCK 3026,1.2845148631231956e-07
BLOCK 3027,5.124613961554998e-07
BLOCK 3028,2.9147555464368677e-06
BLOCK 3030,1.6950131322925288e-07
BLOCK 3031,3.211320008758287e-07
BLOCK 4047,6.209558321504369e-07
BLOCK 4057,6.283710453232754e-07
BLOCK 4000,3.448107624073447e-14
BLOCK 4001,6.692718404260459e-07
BLOCK 1000,1.8295436686388632e-07
BLOCK 1001,1.8075133797772638e-07
BLOCK 1002,2.4118287703459325e-07
BLOCK 1003,3.1320293386129674e-07
BLOCK 1004,6.337478350815984e-07
BLOCK 1010,1.0124701859031245e-06
BLOCK 1017,4.2399990953806855e-07
BLOCK 1018,2.926268179735516e-07
BLOCK 1019,2.532294431373165e-07
BLOCK 2000,3.9450283388860924e-07
BLOCK 2001,4.967665287222288e-07
BLOCK 2002,5.236415028421372e-07
BLOCK 2003,4.888286429821332e-07
BLOCK 2004,2.446315075679617e-07
BLOCK 2005,1.6636506128188947e-07
BLOCK 2006,1.5691352086255253e-07
BLOCK 2007,1.6576450169414227e-07
BLOCK 2010,2.1135893763808423e-07
