,butyl_acryl Cumulative Hazard Index PAC2
BLOCK 1030,9.025447061416142e-07
BLOCK 1033,4.566675119720546e-07
BLOCK 1035,3.3872313095759476e-07
BLOCK 1037,3.417577543358904e-07
BLOCK 1038,4.3326774182153003e-07
BLOCK 2009,9.059026609838089e-07
BLOCK 2013,4.370055930563907e-06
BLOCK 2008,9.114264295460483e-07
BLOCK 1009,2.8402935167673465e-06
BLOCK 1016,2.9695521473638003e-06
BLOCK 1020,9.314571468137127e-07
BLOCK 1026,9.121153053052493e-07
BLOCK 1027,5.480420142606044e-07
BLOCK 1028,1.1814926849894162e-06
BLOCK 1029,1.9315404412004166e-06
BLOCK 1039,5.61558921675061e-07
BLOCK 1040,8.656002026888074e-07
BLOCK 1052,1.6461373390584343e-06
BLOCK 1054,2.1138782880531033e-06
BLOCK 2025,4.1488974357897566e-07
BLOCK 2028,1.8960818606227441e-06
BLOCK 2029,1.98351953111603e-06
BLOCK 1005,1.8553600531638662e-06
BLOCK 1006,3.9809393105609255e-06
BLOCK 1007,3.532832511674601e-06
BLOCK 1008,4.027783092282861e-06
BLOCK 1011,1.56512460245758e-06
BLOCK 1024,9.22998278839104e-07
BLOCK 1025,1.0009353258286146e-06
BLOCK 3010,9.776677810411203e-06
BLOCK 3011,9.368946663854429e-06
BLOCK 3012,5.570201648948005e-06
BLOCK 3013,2.350904071068032e-06
BLOCK 3014,2.371008070895683e-06
BLOCK 3015,6.881766135510442e-07
BLOCK 3017,9.086162382819413e-07
BLOCK 3025,1.7717488293004901e-06
BLOCK 3026,4.742994433604019e-07
BLOCK 3027,1.8863113522089327e-06
BLOCK 3028,1.0567007429527507e-05
BLOCK 3030,6.281756049684831e-07
BLOCK 3031,1.2383442020456042e-06
BLOCK 4047,2.2217155821922475e-06
BLOCK 4057,2.2387995718658365e-06
BLOCK 4000,5.108184569448105e-13
BLOCK 4001,2.430596719993946e-06
BLOCK 1000,6.651437699955266e-07
BLOCK 1001,6.61641559420626e-07
BLOCK 1002,8.887436439739444e-07
BLOCK 1003,1.153174463813467e-06
BLOCK 1004,2.30116411160238e-06
BLOCK 1010,3.664480190767321e-06
BLOCK 1017,1.519671058485196e-06
BLOCK 1018,1.0561192393754526e-06
BLOCK 1019,9.152969771091237e-07
BLOCK 2000,1.4314375331170018e-06
BLOCK 2001,1.7945578349963296e-06
BLOCK 2002,1.8903128187938815e-06
BLOCK 2003,1.7664216341309154e-06
BLOCK 2004,8.845188154125419e-07
BLOCK 2005,6.050214042544855e-07
BLOCK 2006,5.715903965621162e-07
BLOCK 2007,6.031009562945273e-07
BLOCK 2010,7.656226089658515e-07
BLOCK 2011,1.8095262472995714e-06
BLOCK 2012,3.0858494380434296e-06
BLOCK 2026,6.649475838620228e-07
BLOCK 2027,7.700905262782663e-07
BLOCK 2051,2.171995284515123e-06
BLOCK 2054,2.201086013212956e-06
BLOCK 2055,4.43301215166754e-06
BLOCK 2056,4.22991997963977e-06
BLOCK 5030,8.32576571961963e-15
BLOCK 5031,2.3970901186392387e-12
BLOCK 1012,2.878194191726277e-06
BLOCK 1013,9.356664482374724e-06
