,ethyl_acryl_100 Cumulative Hazard Index PAC2
BLOCK 1030,6.852204052331933e-07
BLOCK 1033,3.5034694023933136e-07
BLOCK 1035,2.6199217185165035e-07
BLOCK 1037,2.645141972463574e-07
BLOCK 1038,3.317320639244977e-07
BLOCK 2009,6.903986151021823e-07
BLOCK 2013,3.4055551147133763e-06
BLOCK 2008,6.915366217448722e-07
BLOCK 1009,2.20589201469016e-06
BLOCK 1016,2.2924602961989346e-06
BLOCK 1020,7.113083305514189e-07
BLOCK 1026,6.954027113703312e-07
BLOCK 1027,4.2491619326714506e-07
BLOCK 1028,9.107070803896902e-07
BLOCK 1029,1.4905091341739114e-06
BLOCK 1039,4.2755948625322213e-07
BLOCK 1040,6.732316987900707e-07
BLOCK 1052,1.2770221139312076e-06
BLOCK 1054,1.6378961360412937e-06
BLOCK 2025,3.172833003700593e-07
BLOCK 2028,1.4734701163082831e-06
BLOCK 2029,1.5408072916167766e-06
BLOCK 1005,1.4444564962237048e-06
BLOCK 1006,3.112737281462514e-06
BLOCK 1007,2.759467167706976e-06
BLOCK 1008,3.1324474340211197e-06
BLOCK 1011,1.1489324081127909e-06
BLOCK 1024,7.046356985688904e-07
BLOCK 1025,7.614757144815616e-07
BLOCK 3010,7.1189010101488514e-06
BLOCK 3011,6.813964903787162e-06
BLOCK 3012,4.0912418864189065e-06
BLOCK 3013,1.7465328488546934e-06
BLOCK 3014,1.7653666628710923e-06
BLOCK 3015,5.181883166973156e-07
BLOCK 3017,6.698435727421e-07
BLOCK 3025,1.3639381314850222e-06
BLOCK 3026,3.660554480219896e-07
BLOCK 3027,1.437865938159489e-06
BLOCK 3028,7.901879038176641e-06
BLOCK 3030,4.865745803927762e-07
BLOCK 3031,9.582789556416156e-07
BLOCK 4047,1.7136627535985479e-06
BLOCK 4057,1.732594611020297e-06
BLOCK 4000,3.8360002787375713e-13
BLOCK 4001,1.8005287571398102e-06
BLOCK 1000,5.097220231190356e-07
BLOCK 1001,5.091671268734953e-07
BLOCK 1002,6.876098803107058e-07
BLOCK 1003,8.945833064779867e-07
BLOCK 1004,1.7831918236785225e-06
BLOCK 1010,2.838697698209193e-06
BLOCK 1017,1.1672772960273262e-06
BLOCK 1018,8.111179904057942e-07
BLOCK 1019,6.998282528350957e-07
BLOCK 2000,1.1106692238578056e-06
BLOCK 2001,1.3923011399379948e-06
BLOCK 2002,1.4667603042715934e-06
BLOCK 2003,1.3708729015666084e-06
BLOCK 2004,6.732998148640594e-07
BLOCK 2005,4.62685740508297e-07
BLOCK 2006,4.374102758242844e-07
BLOCK 2007,4.6146551964333657e-07
BLOCK 2010,5.846703443931753e-07
BLOCK 2011,1.405200948112347e-06
BLOCK 2012,2.406651869819644e-06
