,Total Dioxin 80% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.4387296851284961e-133
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,4.407472743082043e-178
BLOCK 1006,1.060164031222101e-281
BLOCK 1007,3.6108517958614018e-158
BLOCK 1008,8.224335040135868e-108
BLOCK 1011,2.620724507133582e-13
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,8.277386811464001e-16
BLOCK 3011,1.666932236667708e-15
BLOCK 3012,2.932411173584471e-14
BLOCK 3013,2.5220248568190367e-16
BLOCK 3014,2.1593991571726925e-13
BLOCK 3015,8.465827400609268e-23
BLOCK 3017,9.432102650926741e-21
BLOCK 3025,7.551137677824366e-88
BLOCK 3026,6.749053031645706e-57
BLOCK 3027,3.215867694984364e-24
BLOCK 3028,1.5950678861857276e-19
BLOCK 3030,2.293870513566894e-57
BLOCK 3031,9.038054972631089e-24
BLOCK 4047,2.908803912870754e-109
BLOCK 4057,1.5060733982845437e-133
BLOCK 4000,3.34491714999948e-178
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,1.2380809176370804e-274
BLOCK 1002,1.0433646559987507e-243
BLOCK 1003,1.126487124090756e-242
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,1.9002526e-317
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,2.6342368752971343e-116
BLOCK 1014,7.707157748664217e-58
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,2.5468186852533467e-67
BLOCK 1056,1.806216564710822e-75
BLOCK 1057,6.274270747202088e-79
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,4.80283166377312e-103
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,7.627203785731863e-17
BLOCK 2024,4.473169193932243e-14
BLOCK 3001,2.743579645560805e-13
BLOCK 3002,1.9882544695385068e-12
BLOCK 3003,2.1949453194887343e-13
BLOCK 3004,2.3008494744846846e-12
BLOCK 3005,7.865976198632077e-12
BLOCK 3006,1.7990874766109517e-12
BLOCK 3007,2.728387486706994e-13
BLOCK 3008,3.99828093698094e-16
BLOCK 3009,1.2137743676923109e-15
BLOCK 3018,5.654182851066306e-21
BLOCK 3019,4.3489760148661707e-29
BLOCK 3020,2.7711014303448286e-45
BLOCK 3021,4.100902803557323e-39
BLOCK 3022,2.305381801363189e-43
BLOCK 3023,7.597044518640796e-56
BLOCK 3024,1.851188429672028e-73
BLOCK 3029,2.0982921255676175e-62
BLOCK 2030,4.992092384641176e-15
BLOCK 3000,1.6974115494816233e-18
BLOCK 3016,8.5773251909686e-27
BLOCK 3032,4.417940259460075e-40
BLOCK 3033,8.630259806978621e-29
BLOCK 3034,5.1468136686192185e-73
BLOCK 3035,2.0205583047850292e-79
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,8.318212258525535e-25
BLOCK 4004,3.4948486930215295e-31
BLOCK 4005,7.328076002780093e-204
BLOCK 4006,5.011027790261714e-158
BLOCK 4007,6.051353292892651e-187
BLOCK 4008,1.5125733601167267e-48
BLOCK 4009,7.33879128614187e-46
BLOCK 4010,2.050701216742273e-40
BLOCK 4011,1.1155793358608323e-35
BLOCK 4012,6.396904929792917e-45
BLOCK 4013,9.32029811467854e-75
BLOCK 4014,7.318146849301638e-58
BLOCK 4015,6.824266130986662e-56
BLOCK 4016,0.0
BLOCK 4017,2.2312331798978284e-55
BLOCK 4018,1.760567490985786e-289
BLOCK 4019,1.5347566859614337e-82
BLOCK 4020,8.455224216194705e-43
BLOCK 4021,1.2768021899938682e-73
BLOCK 4022,0.0
BLOCK 4023,3.98711040562882e-141
BLOCK 4024,4.581545336837976e-145
BLOCK 4025,3.7477222311385094e-158
BLOCK 4026,7.765976721029254e-145
BLOCK 4027,3.7799089883200064e-141
BLOCK 4028,1.401016304864219e-135
BLOCK 4029,1.7308387570706787e-115
BLOCK 4030,2.2486080905504247e-133
BLOCK 4031,1.1589188514912377e-111
BLOCK 4032,6.248227507871909e-156
BLOCK 4033,1.485207940854432e-119
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,4.932043027840421e-149
BLOCK 4035,2.1314745791016505e-155
BLOCK 4036,4.995788742785412e-152
BLOCK 4037,9.886543169596066e-159
BLOCK 4038,1.4965768186124253e-192
BLOCK 4039,4.1037869584369966e-204
BLOCK 4040,5.2483494496418446e-241
BLOCK 4041,1.0671494167017672e-157
BLOCK 4042,3.161737636017152e-183
BLOCK 4043,4.577458422958166e-158
BLOCK 4044,2.3287771537575654e-138
BLOCK 4045,4.996401834642733e-125
BLOCK 4046,3.130728398659759e-123
BLOCK 4048,2.7015865971712665e-92
BLOCK 4049,1.1157264423237593e-94
BLOCK 4050,5.147727420917124e-88
BLOCK 4051,3.164152089371e-112
BLOCK 4052,3.2597550094123433e-118
BLOCK 4053,3.309934241051463e-120
BLOCK 4054,3.2957921058066924e-125
BLOCK 4055,5.865831845485392e-127
BLOCK 4056,2.9701805977496773e-137
BLOCK 4058,8.869040202155104e-126
BLOCK 4059,1.6080653188625296e-125
BLOCK 4061,9.97281441047827e-157
BLOCK 4062,8.392566819372868e-152
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,4.0289456010295305e-12
BLOCK 2032,2.910574117923991e-11
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,3.7261417871201003e-22
BLOCK 2058,4.5326607910990746e-13
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.1401640308290003e-147
BLOCK 4064,1.959008061126223e-139
BLOCK 4065,1.2033574229298663e-240
