,Total Phosgene 0.07 Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.3128551688323845e-133
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,4.3876201375625025e-178
BLOCK 1006,1.6287063350951314e-281
BLOCK 1007,4.048855088765313e-158
BLOCK 1008,7.732850092809143e-108
BLOCK 1011,3.50998023337518e-07
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.2927609353562754e-15
BLOCK 3011,2.670227059415994e-15
BLOCK 3012,2.6830437248106055e-14
BLOCK 3013,1.8713162705486615e-16
BLOCK 3014,1.5948242265470454e-13
BLOCK 3015,6.192836151729371e-23
BLOCK 3017,6.7360329780407685e-21
BLOCK 3025,6.033712311555157e-88
BLOCK 3026,5.263002964916148e-57
BLOCK 3027,2.531799848490394e-24
BLOCK 3028,1.7421490563115537e-19
BLOCK 3030,1.864758817716434e-57
BLOCK 3031,7.282948872937066e-24
BLOCK 4047,2.3747119905855606e-109
BLOCK 4057,1.2854080362167904e-133
BLOCK 4000,1.2923761709285934e-82
BLOCK 4001,1.3056087566206556e-287
BLOCK 1000,0.0
BLOCK 1001,1.0508073878872578e-274
BLOCK 1002,9.424353579174166e-244
BLOCK 1003,1.0834672151871284e-242
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,1.8763264e-317
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,3.489792599144743e-116
BLOCK 1014,8.485778763686799e-58
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,4.2886908827497466e-34
BLOCK 1056,3.115024139731285e-37
BLOCK 1057,2.9254214425864656e-40
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,8.318921904249274e-103
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,5.3228544191773904e-17
BLOCK 2024,3.125911367526588e-14
BLOCK 3001,1.9532515263847582e-13
BLOCK 3002,1.427732945934166e-12
BLOCK 3003,1.5776869495811654e-13
BLOCK 3004,2.9114954290886965e-12
BLOCK 3005,2.271314070316481e-11
BLOCK 3006,9.44464909772131e-11
BLOCK 3007,4.3029547843223395e-12
BLOCK 3008,4.52966350060956e-16
BLOCK 3009,1.638138433384927e-15
BLOCK 3018,4.035644530510903e-21
BLOCK 3019,3.375448095822773e-29
BLOCK 3020,2.136619856897929e-45
BLOCK 3021,3.0920161889554306e-39
BLOCK 3022,1.7320919320160273e-43
BLOCK 3023,5.710639548409942e-56
BLOCK 3024,1.463118535258515e-73
BLOCK 3029,1.6697555600571298e-62
BLOCK 2030,3.519873866082337e-15
BLOCK 3000,1.204902191470823e-18
BLOCK 3016,6.186230631164906e-27
BLOCK 3032,3.7660038557794656e-40
BLOCK 3033,7.791349520490764e-29
BLOCK 3034,4.085831168745236e-73
BLOCK 3035,1.7134071643685197e-79
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,3.390009823051399e-237
BLOCK 4003,5.874704912614621e-25
BLOCK 4004,2.4811340594109957e-31
BLOCK 4005,7.8090396313315456e-90
BLOCK 4006,5.667638718881037e-73
BLOCK 4007,5.015443602858883e-84
BLOCK 4008,1.0736789431777603e-48
BLOCK 4009,5.242972865694122e-46
BLOCK 4010,1.4632874169465826e-40
BLOCK 4011,7.98794097349104e-36
BLOCK 4012,4.598399328507515e-45
BLOCK 4013,6.726335921774993e-75
BLOCK 4014,5.2614084516892436e-58
BLOCK 4015,4.890084604310732e-56
BLOCK 4016,0.0
BLOCK 4017,1.6055068861033515e-55
BLOCK 4018,1.590645995743213e-117
BLOCK 4019,1.1283106425249496e-82
BLOCK 4020,6.119332739142619e-43
BLOCK 4021,9.553615194646796e-74
BLOCK 4022,0.0
BLOCK 4023,2.982968052585849e-141
BLOCK 4024,3.44991676375791e-145
BLOCK 4025,2.8780888203112804e-158
BLOCK 4026,6.0180814468635285e-145
BLOCK 4027,2.973005934087699e-141
BLOCK 4028,1.0897893642565744e-135
BLOCK 4029,1.3266363255139104e-115
BLOCK 4030,1.7066530010544568e-133
BLOCK 4031,9.185736213883182e-112
BLOCK 4032,5.083649406693491e-156
BLOCK 4033,1.2029079705312682e-119
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,4.062521078891685e-149
BLOCK 4035,1.7211904372483252e-155
BLOCK 4036,4.016505311766464e-152
BLOCK 4037,7.891265446803472e-159
BLOCK 4038,1.2089678002199108e-192
BLOCK 4039,3.2265256484412646e-204
BLOCK 4040,4.160037895693685e-241
BLOCK 4041,8.897746453953088e-158
BLOCK 4042,2.6336105365807207e-183
BLOCK 4043,3.899863473567946e-158
BLOCK 4044,1.947182094733501e-138
BLOCK 4045,4.180339692408616e-125
BLOCK 4046,2.5580313132010488e-123
BLOCK 4048,2.166053928687525e-92
BLOCK 4049,9.043323034634946e-95
BLOCK 4050,4.1731171970953073e-88
BLOCK 4051,2.6730851394197637e-112
BLOCK 4052,2.7273470929682988e-118
BLOCK 4053,2.757251610534158e-120
BLOCK 4054,2.734029500235428e-125
BLOCK 4055,4.885360490690083e-127
BLOCK 4056,2.566319356267769e-137
BLOCK 4058,7.499647529367453e-126
BLOCK 4059,1.3539629548398304e-125
BLOCK 4061,8.696844775256985e-157
BLOCK 4062,7.2831690023567084e-152
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,2.830445234090065e-12
BLOCK 2032,2.0399185393435136e-11
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.619125202886795e-22
BLOCK 2058,3.188563307334051e-13
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,9.915858578566583e-148
BLOCK 4064,1.7095908225274257e-139
BLOCK 4065,9.51769258199542e-241
