,ethyl_acryl_20 Cumulative Hazard Index PAC3
BLOCK 1030,1.0840121153781627e-07
BLOCK 1033,5.54245502475744e-08
BLOCK 1035,4.144691054913566e-08
BLOCK 1037,4.184589255000349e-08
BLOCK 1038,5.2479694651121717e-08
BLOCK 2009,1.0922039937739102e-07
BLOCK 2013,5.387555559850892e-07
BLOCK 2008,1.0940043093784013e-07
BLOCK 1009,3.489700030643867e-07
BLOCK 1016,3.626650222503731e-07
BLOCK 1020,1.1252829632601858e-07
BLOCK 1026,1.100120426121465e-07
BLOCK 1027,6.722133462519974e-08
BLOCK 1028,1.4407298748891332e-07
BLOCK 1029,2.3579711683811764e-07
BLOCK 1039,6.763950104282505e-08
BLOCK 1040,1.0650460966595085e-07
BLOCK 1052,2.0202367479645586e-07
BLOCK 1054,2.5911359930905805e-07
BLOCK 2025,5.0193914101443655e-08
BLOCK 2028,2.3310156053836055e-07
BLOCK 2029,2.4375423715048076e-07
BLOCK 1005,2.2851163364148698e-07
BLOCK 1006,4.924320553393812e-07
BLOCK 1007,4.365450618424936e-07
BLOCK 1008,4.955501825881177e-07
BLOCK 1011,1.8176000607002078e-07
BLOCK 1024,1.1147269234001954e-07
BLOCK 1025,1.2046472839397422e-07
BLOCK 3010,1.1262033185589343e-06
BLOCK 3011,1.0779627187186786e-06
BLOCK 3012,6.472305462519619e-07
BLOCK 3013,2.762998231817268e-07
BLOCK 3014,2.792793145127838e-07
BLOCK 3015,8.197689517960902e-08
BLOCK 3017,1.0596861137162418e-07
BLOCK 3025,2.1577370549157094e-07
BLOCK 3026,5.790962112708491e-08
BLOCK 3027,2.2746901367072273e-07
BLOCK 3028,1.250069692352659e-06
BLOCK 3030,7.697563238813842e-08
BLOCK 3031,1.5159881257096046e-07
BLOCK 4047,2.710998056079405e-07
BLOCK 4057,2.740948073117797e-07
BLOCK 4000,6.068515684862596e-14
BLOCK 4001,2.848419241341927e-07
BLOCK 1000,8.063753564782733e-08
BLOCK 1001,8.054975159347775e-08
BLOCK 1002,1.087792242055121e-07
BLOCK 1003,1.4152222190569085e-07
BLOCK 1004,2.82099237872661e-07
BLOCK 1010,4.490792558501881e-07
BLOCK 1017,1.8466214976024616e-07
BLOCK 1018,1.2831808887854705e-07
BLOCK 1019,1.1071215903137074e-07
BLOCK 2000,1.7570680698421206e-07
BLOCK 2001,2.2026070625173243e-07
BLOCK 2002,2.3204007470341807e-07
BLOCK 2003,2.16870779473663e-07
BLOCK 2004,1.0651538556358793e-07
BLOCK 2005,7.319644080841722e-08
BLOCK 2006,6.919788651405721e-08
BLOCK 2007,7.300340303678169e-08
BLOCK 2010,9.249428825880261e-08
BLOCK 2011,2.223014435444717e-07
BLOCK 2012,3.8073001978015637e-07
BLOCK 2026,7.977295223273553e-08
BLOCK 2027,9.231191592861827e-08
BLOCK 2051,2.665334405317682e-07
BLOCK 2054,2.701820475974229e-07
BLOCK 2055,5.471389744270406e-07
BLOCK 2056,5.200763880917717e-07
BLOCK 5030,9.856638691580642e-16
BLOCK 5031,2.805406121364635e-13
BLOCK 1012,3.5089990600602826e-07
BLOCK 1013,1.1595715866620496e-06
BLOCK 1014,2.6564872098583683e-07
BLOCK 1015,3.7558015261450705e-07
BLOCK 1021,1.0097185369428942e-07
BLOCK 1022,1.0027321474314308e-07
BLOCK 1023,9.427774691214639e-08
BLOCK 1031,8.312882040456756e-08
BLOCK 1032,8.022847483667636e-08
BLOCK 1034,1.4538761174825188e-07
BLOCK 1036,4.7335487614467405e-08
BLOCK 1048,1.459419882873688e-07
BLOCK 1049,1.2650859288138478e-07
BLOCK 1050,8.785232144322858e-08
BLOCK 1051,2.660983130286966e-07
BLOCK 1053,2.410226042853231e-07
BLOCK 1055,3.4543614610664016e-16
BLOCK 1056,1.4045928440442172e-18
BLOCK 1057,1.8545204109931276e-18
BLOCK 1058,2.583764202576294e-07
BLOCK 1059,4.098696970838525e-08
BLOCK 1060,4.4767093197041227e-07
BLOCK 1061,5.689217128480097e-07
BLOCK 1062,9.253705645059825e-07
BLOCK 1063,3.5618795552338235e-07
BLOCK 1064,3.2155359724956777e-07
BLOCK 1065,1.5891608377618375e-07
BLOCK 1066,5.079645466097059e-07
BLOCK 1067,1.2303497347570942e-07
