,Total Dioxin 100% Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.750512633333907e-135
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,8.426050832362784e-180
BLOCK 1006,2.0267841773363828e-283
BLOCK 1007,6.903099021499784e-160
BLOCK 1008,1.5722993459083378e-109
BLOCK 1011,5.01020861657894e-15
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.5824415963093046e-17
BLOCK 3011,3.1867822171588736e-17
BLOCK 3012,5.606080184793877e-16
BLOCK 3013,4.8215181086246604e-18
BLOCK 3014,4.128263094594879e-15
BLOCK 3015,1.618467003057664e-24
BLOCK 3017,1.8031960950301242e-22
BLOCK 3025,1.4435998501723145e-89
BLOCK 3026,1.2902601384028642e-58
BLOCK 3027,6.147982358058383e-26
BLOCK 3028,3.0493944882962635e-21
BLOCK 3030,4.385340687701443e-59
BLOCK 3031,1.7278634506500727e-25
BLOCK 4047,5.56094865695883e-111
BLOCK 4057,2.879257967308706e-135
BLOCK 4000,6.394694551469636e-180
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,2.3669194013650216e-276
BLOCK 1002,1.9946677247035065e-245
BLOCK 1003,2.1535783254676358e-244
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,4.3594e-319
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,5.0360410851269075e-118
BLOCK 1014,1.4734272166564042e-59
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,4.868918074749075e-69
BLOCK 1056,3.453061079594241e-77
BLOCK 1057,1.1994929369651126e-80
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,9.18188406309573e-105
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.458141900213454e-18
BLOCK 2024,8.551646988399933e-16
BLOCK 3001,5.245078734160398e-15
BLOCK 3002,3.801074721176581e-14
BLOCK 3003,4.1962189931402545e-15
BLOCK 3004,4.3986828188678086e-14
BLOCK 3005,1.5037895673855538e-13
BLOCK 3006,3.439431940579783e-14
BLOCK 3007,5.216034901057523e-15
BLOCK 3008,7.643772379522434e-18
BLOCK 3009,2.3204509970588444e-17
BLOCK 3018,1.080946721527389e-22
BLOCK 3019,8.314218851950084e-31
BLOCK 3020,5.297693910953383e-47
BLOCK 3021,7.839961242094933e-41
BLOCK 3022,4.407347561429654e-45
BLOCK 3023,1.4523761579754555e-57
BLOCK 3024,3.5390367037847826e-75
BLOCK 3029,4.0114408282910595e-64
BLOCK 2030,9.543706029461132e-17
BLOCK 3000,3.245051491656065e-20
BLOCK 3016,1.6397827570969487e-28
BLOCK 3032,8.44606226073255e-42
BLOCK 3033,1.649902610157688e-30
BLOCK 3034,9.83949671941916e-75
BLOCK 3035,3.8628320532655223e-81
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.5902464611887157e-26
BLOCK 4004,6.681328383717673e-33
BLOCK 4005,1.4009557064138506e-205
BLOCK 4006,9.579906069618046e-160
BLOCK 4007,1.1568763648177202e-188
BLOCK 4008,2.891684364929055e-50
BLOCK 4009,1.403004216468308e-47
BLOCK 4010,3.9204582084779e-42
BLOCK 4011,2.1327252009104285e-37
BLOCK 4012,1.2229377071663013e-46
BLOCK 4013,1.7818216983944383e-76
BLOCK 4014,1.3990574858959105e-59
BLOCK 4015,1.3046391132768704e-57
BLOCK 4016,0.0
BLOCK 4017,4.2655928439223455e-57
BLOCK 4018,3.365790791590496e-291
BLOCK 4019,2.934093664338054e-84
BLOCK 4020,1.6164399236842924e-44
BLOCK 4021,2.4409453632235873e-75
BLOCK 4022,0.0
BLOCK 4023,7.6224169519375e-143
BLOCK 4024,8.758836673366774e-147
BLOCK 4025,7.164763088941313e-160
BLOCK 4026,1.4846720201967785e-146
BLOCK 4027,7.226296595317705e-143
BLOCK 4028,2.678413524005142e-137
BLOCK 4029,3.308956447341025e-117
BLOCK 4030,4.2988095848758396e-135
BLOCK 4031,2.2155801572626747e-113
BLOCK 4032,1.1945140823872843e-157
BLOCK 4033,2.839368122221726e-121
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,9.428905788518512e-151
BLOCK 4035,4.074877871812005e-157
BLOCK 4036,9.550772596501584e-154
BLOCK 4037,1.8900744294816136e-160
BLOCK 4038,2.861102741464949e-194
BLOCK 4039,7.84547506760019e-206
BLOCK 4040,1.0033609241962415e-242
BLOCK 4041,2.040138590753392e-159
BLOCK 4042,6.044498421797535e-185
BLOCK 4043,8.751023455655374e-160
BLOCK 4044,4.452073970418904e-140
BLOCK 4045,9.551944683875873e-127
BLOCK 4046,5.985216056261342e-125
BLOCK 4048,5.164797906356867e-94
BLOCK 4049,2.133006433854259e-96
BLOCK 4050,9.84124359881221e-90
BLOCK 4051,6.049114288503422e-114
BLOCK 4052,6.231884576817755e-120
BLOCK 4053,6.327815460833719e-122
BLOCK 4054,6.300779025806953e-127
BLOCK 4055,1.1214090292839793e-128
BLOCK 4056,5.67828643687442e-139
BLOCK 4058,1.6955518033531927e-127
BLOCK 4059,3.074242521354856e-127
BLOCK 4061,1.9065674608267404e-158
BLOCK 4062,1.604461303703647e-153
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,7.702396001968269e-14
BLOCK 2032,5.564332872501783e-13
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,7.123506357729648e-24
BLOCK 2058,8.665380924160048e-15
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.1797253530554557e-149
BLOCK 4064,3.745162469800157e-141
BLOCK 4065,2.3005362497188766e-242
