,PM2.5 Cumulative Hazard Index PAC3
BLOCK 1030,6.460511747913712e-22
BLOCK 1033,5.58351872116221e-20
BLOCK 1035,9.058189551676358e-19
BLOCK 1037,1.4672474078804172e-18
BLOCK 1038,4.311295277727918e-20
BLOCK 2009,7.948451634484618e-22
BLOCK 2013,1.0106102084478433e-17
BLOCK 2008,9.45396259263268e-22
BLOCK 1009,2.8382424134851842e-28
BLOCK 1016,1.708314881531721e-17
BLOCK 1020,4.380155815880892e-22
BLOCK 1026,7.095325792111652e-22
BLOCK 1027,3.3517252874553113e-19
BLOCK 1028,8.786183421519308e-21
BLOCK 1029,2.6010534266164446e-22
BLOCK 1039,7.953883882010374e-21
BLOCK 1040,1.651438169387973e-19
BLOCK 1052,1.0771643849273284e-17
BLOCK 1054,1.5034374240722986e-17
BLOCK 2025,3.811452433496134e-20
BLOCK 2028,1.3636063287890072e-19
BLOCK 2029,2.5911357815804137e-19
BLOCK 1005,2.029015079121075e-29
BLOCK 1006,1.0220690979497908e-26
BLOCK 1007,7.381423992336245e-32
BLOCK 1008,5.447933077852717e-31
BLOCK 1011,6.796453119549998e-22
BLOCK 1024,4.915263954388941e-22
BLOCK 1025,4.60908841104782e-22
BLOCK 3010,2.14901524104281e-27
BLOCK 3011,4.3725546749852274e-27
BLOCK 3012,7.447661226764757e-26
BLOCK 3013,3.100615190090612e-26
BLOCK 3014,2.2900297252968206e-24
BLOCK 3015,1.8814917029317218e-25
BLOCK 3017,7.671323692078816e-24
BLOCK 3025,1.8746111072984713e-25
BLOCK 3026,1.1379020067150248e-26
BLOCK 3027,1.118828247657326e-30
BLOCK 3028,4.146738891278221e-31
BLOCK 3030,8.198693162033706e-29
BLOCK 3031,2.110826616072228e-32
BLOCK 4047,2.8717681467652927e-25
BLOCK 4057,6.183930152349434e-26
BLOCK 4000,1.2432078195180338e-36
BLOCK 4001,6.525939118740083e-30
BLOCK 1000,2.9366374585087873e-22
BLOCK 1001,3.928443681889573e-23
BLOCK 1002,5.126434501236534e-25
BLOCK 1003,1.587460624997349e-26
BLOCK 1004,1.641058729153398e-17
BLOCK 1010,1.5013364518045465e-17
BLOCK 1017,1.0683245623705664e-22
BLOCK 1018,3.7713009572227116e-23
BLOCK 1019,3.2809988498809684e-22
BLOCK 2000,9.462360153767795e-18
BLOCK 2001,1.145134145035884e-17
BLOCK 2002,1.182492556745729e-17
BLOCK 2003,1.0987877116959658e-17
BLOCK 2004,1.1205704585045558e-21
BLOCK 2005,7.518432642757938e-22
BLOCK 2006,6.307371679656479e-22
BLOCK 2007,6.19040712604193e-22
BLOCK 2010,8.0076234931820795e-22
BLOCK 2011,1.050425931055633e-17
BLOCK 2012,7.812091579130182e-18
BLOCK 2026,2.1423763879292625e-21
BLOCK 2027,1.2017669206908192e-21
BLOCK 2051,1.3806247834674135e-17
BLOCK 2054,1.3553064764114232e-17
BLOCK 2055,8.513998064964383e-18
BLOCK 2056,1.2792732565045403e-17
BLOCK 5030,2.337078871489879e-37
BLOCK 5031,3.073926510993508e-32
BLOCK 1012,1.6242872626426562e-17
BLOCK 1013,1.3832763358054337e-42
BLOCK 1014,8.143034100035839e-53
BLOCK 1015,1.5756634108769843e-17
BLOCK 1021,4.789119371995987e-22
BLOCK 1022,5.943760996618856e-22
BLOCK 1023,6.945072855695305e-21
BLOCK 1031,2.266077996242897e-21
BLOCK 1032,4.319528743282439e-21
BLOCK 1034,7.994494231864711e-23
BLOCK 1036,2.3309714526291763e-18
BLOCK 1048,8.743997314421297e-18
BLOCK 1049,3.025856983947022e-22
BLOCK 1050,3.521866450112693e-21
BLOCK 1051,1.4619295542701764e-17
BLOCK 1053,1.5370442907893912e-17
BLOCK 1055,1.962330695929033e-35
BLOCK 1056,4.0243862995972454e-36
BLOCK 1057,3.583934343744881e-39
BLOCK 1058,1.7459471405065406e-17
BLOCK 1059,1.330295126152984e-18
BLOCK 1060,7.961089889661021e-25
BLOCK 1061,4.7900383048074916e-21
BLOCK 1062,1.6344353791379006e-21
BLOCK 1063,2.4646859355548567e-19
BLOCK 1064,6.249074433743263e-19
BLOCK 1065,6.050818236766705e-24
BLOCK 1066,1.0570474175738672e-24
BLOCK 1067,1.922203274474905e-26
BLOCK 3039,5.1305449414290955e-23
BLOCK 3040,1.6966667998254152e-23
BLOCK 3041,9.798641826658525e-24
BLOCK 3042,2.779923402147611e-23
BLOCK 3043,5.468640777749486e-23
BLOCK 3044,4.326165133655562e-24
BLOCK 3045,7.119210568395323e-26
BLOCK 3046,1.5741325320753377e-26
BLOCK 3047,4.341486216135387e-27
BLOCK 3048,1.0537088193602635e-23
BLOCK 3049,3.1338478335156246e-22
BLOCK 3050,4.287942321220531e-25
BLOCK 2059,1.6487731520159406e-17
BLOCK 2060,2.1987428423741503e-17
BLOCK 2061,7.681104192794952e-18
BLOCK 2064,9.05923764774066e-18
BLOCK 2014,1.84167958674093e-18
BLOCK 2015,5.973707367949852e-18
BLOCK 2016,1.0104860604525044e-19
BLOCK 2017,5.5699022501939416e-21
BLOCK 2018,1.1090471277779768e-19
BLOCK 2019,9.216291788297484e-34
BLOCK 2020,1.2216795956138365e-96
BLOCK 2021,1.4219750027354307e-19
BLOCK 2022,7.09274419098557e-21
BLOCK 2023,4.470651811261575e-22
BLOCK 2024,4.294488044377722e-22
BLOCK 3001,3.200097027668003e-23
BLOCK 3002,3.910226586899684e-23
BLOCK 3003,1.084094532642189e-23
BLOCK 3004,5.2229927474298076e-24
BLOCK 3005,2.9619909125239914e-23
BLOCK 3006,1.9784041746287693e-23
BLOCK 3007,1.945923636587062e-24
BLOCK 3008,9.54056606431939e-28
BLOCK 3009,2.9537096577236714e-27
BLOCK 3018,8.669623561250098e-24
BLOCK 3019,5.0162304809851784e-29
BLOCK 3020,5.2048035839465315e-27
BLOCK 3021,3.344971343274064e-26
