,PM10 Cumulative Hazard Index PAC3
BLOCK 1030,1.871411673806153e-22
BLOCK 1033,2.5203356998913025e-20
BLOCK 1035,4.0946519086859916e-19
BLOCK 1037,6.634190368855387e-19
BLOCK 1038,1.9439065613206036e-20
BLOCK 2009,2.1689743362842454e-22
BLOCK 2013,4.5428313551429775e-18
BLOCK 2008,2.476673503681695e-22
BLOCK 1009,7.771008925380325e-29
BLOCK 1016,7.726416552710873e-18
BLOCK 1020,1.20551787017867e-22
BLOCK 1026,1.9389339712915926e-22
BLOCK 1027,1.5099608620065676e-19
BLOCK 1028,3.947172848065034e-21
BLOCK 1029,1.1663222934989382e-22
BLOCK 1039,3.528238342498886e-21
BLOCK 1040,7.406945160650085e-20
BLOCK 1052,4.8674322661601046e-18
BLOCK 1054,6.796172553887347e-18
BLOCK 2025,1.7156397795090443e-20
BLOCK 2028,6.106268999192792e-20
BLOCK 2029,1.1643810451664712e-19
BLOCK 1005,6.092723162077186e-30
BLOCK 1006,4.49566171650325e-27
BLOCK 1007,3.2514274219811373e-32
BLOCK 1008,1.393943060113796e-31
BLOCK 1011,1.418649118522774e-22
BLOCK 1024,1.3522637709410772e-22
BLOCK 1025,1.224376379271803e-22
BLOCK 3010,3.3200999668717245e-28
BLOCK 3011,6.709264934627853e-28
BLOCK 3012,1.3683724674695987e-26
BLOCK 3013,7.26157681244402e-27
BLOCK 3014,4.941523544793774e-25
BLOCK 3015,5.337780679597031e-26
BLOCK 3017,2.163906422678211e-24
BLOCK 3025,4.643133243103026e-26
BLOCK 3026,2.9092363299821624e-27
BLOCK 3027,2.942461910841223e-31
BLOCK 3028,7.140587955344216e-32
BLOCK 3030,2.0719743813274163e-29
BLOCK 3031,5.1108040877383424e-33
BLOCK 4047,7.526065363665687e-26
BLOCK 4057,1.7048994550101838e-26
BLOCK 4000,9.478203207678708e-38
BLOCK 4001,5.009412871574712e-31
BLOCK 1000,8.509869829724359e-23
BLOCK 1001,1.1516027002359033e-23
BLOCK 1002,1.4975655854953827e-25
BLOCK 1003,4.6821346456499606e-27
BLOCK 1004,7.416515371703889e-18
BLOCK 1010,6.777933411514218e-18
BLOCK 1017,4.765477454319301e-23
BLOCK 1018,1.0540756882116677e-23
BLOCK 1019,9.120214903158644e-23
BLOCK 2000,4.275723942533647e-18
BLOCK 2001,5.173953130346182e-18
BLOCK 2002,5.342172911601114e-18
BLOCK 2003,4.963781523814307e-18
BLOCK 2004,3.045945838442812e-22
BLOCK 2005,2.182586070159551e-22
BLOCK 2006,1.8414812805602952e-22
BLOCK 2007,1.7999034036165486e-22
BLOCK 2010,2.264460602915156e-22
BLOCK 2011,4.743433115179045e-18
BLOCK 2012,3.513214154444579e-18
BLOCK 2026,8.316361135430029e-22
BLOCK 2027,3.76464611646869e-22
BLOCK 2051,6.237435991790039e-18
BLOCK 2054,6.1219966645919194e-18
BLOCK 2055,3.8233548314574205e-18
BLOCK 2056,5.7627311455603504e-18
BLOCK 5030,1.8056397974282996e-38
BLOCK 5031,2.4547593850407668e-33
BLOCK 1012,7.350695178196357e-18
BLOCK 1013,5.927135200699079e-43
BLOCK 1014,2.2014478084219475e-53
BLOCK 1015,7.126595913686058e-18
BLOCK 1021,1.3456540157796416e-22
BLOCK 1022,1.6665235333726534e-22
BLOCK 1023,3.1270161367733757e-21
BLOCK 1031,9.424047551232413e-22
BLOCK 1032,1.9082875076287054e-21
BLOCK 1034,2.3371950564041966e-23
BLOCK 1036,1.054057039539013e-18
BLOCK 1048,3.953238459992793e-18
BLOCK 1049,8.11878483677774e-23
