,Total Phosgene 0.07 Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.203450571429686e-134
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,4.021985126098961e-179
BLOCK 1006,1.4929808071705372e-282
BLOCK 1007,3.711450498034871e-159
BLOCK 1008,7.088445918408382e-109
BLOCK 1011,3.2174818805939154e-08
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.1850308574099193e-16
BLOCK 3011,2.447708137797995e-16
BLOCK 3012,2.4594567477430553e-15
BLOCK 3013,1.71537324800294e-17
BLOCK 3014,1.461922207668125e-14
BLOCK 3015,5.67676647241859e-24
BLOCK 3017,6.174696896537371e-22
BLOCK 3025,5.530902952258894e-89
BLOCK 3026,4.8244193845064694e-58
BLOCK 3027,2.320816527782861e-25
BLOCK 3028,1.596969968285591e-20
BLOCK 3030,1.7093622495733977e-58
BLOCK 3031,6.6760364668589765e-25
BLOCK 4047,2.1768193247034307e-110
BLOCK 4057,1.1782906998653912e-134
BLOCK 4000,1.184678156684544e-83
BLOCK 4001,1.1968080269022676e-288
BLOCK 1000,0.0
BLOCK 1001,9.632401055633198e-276
BLOCK 1002,8.638990780909652e-245
BLOCK 1003,9.93178280588201e-244
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,1.719966e-318
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,3.198976549216014e-117
BLOCK 1014,7.778630533379565e-59
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,3.9312999758539343e-35
BLOCK 1056,2.855438794753678e-38
BLOCK 1057,2.681636322370927e-41
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,7.625678412228501e-104
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,4.879283217579275e-18
BLOCK 2024,2.865418753566039e-15
BLOCK 3001,1.790480565852695e-14
BLOCK 3002,1.3087552004396522e-13
BLOCK 3003,1.446213037116068e-14
BLOCK 3004,2.6688708099979717e-13
BLOCK 3005,2.0820378977901073e-12
BLOCK 3006,8.657595006244535e-12
BLOCK 3007,3.944375218962145e-13
BLOCK 3008,4.152191542225431e-17
BLOCK 3009,1.5016268972695164e-16
BLOCK 3018,3.699340819634994e-22
BLOCK 3019,3.0941607545042085e-30
BLOCK 3020,1.958568202156435e-46
BLOCK 3021,2.8343481732091445e-40
BLOCK 3022,1.5877509376813584e-44
BLOCK 3023,5.23475291937578e-57
BLOCK 3024,1.3411919906536388e-74
BLOCK 3029,1.5306092633857024e-63
BLOCK 2030,3.226551043908809e-16
BLOCK 3000,1.1044936755149213e-19
BLOCK 3016,5.670711411901163e-28
BLOCK 3032,3.4521702011311775e-41
BLOCK 3033,7.1420703937832e-30
BLOCK 3034,3.745345238016466e-74
BLOCK 3035,1.5706232340044764e-80
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,3.107509004463783e-238
BLOCK 4003,5.385146169896736e-26
BLOCK 4004,2.2743728877934128e-32
BLOCK 4005,7.158286328720584e-91
BLOCK 4006,5.195335492307617e-74
BLOCK 4007,4.597489969287309e-85
BLOCK 4008,9.84205697912947e-50
BLOCK 4009,4.806058460219611e-47
BLOCK 4010,1.341346798867701e-41
BLOCK 4011,7.322279225700122e-37
BLOCK 4012,4.215199384465222e-46
BLOCK 4013,6.165807928293743e-76
BLOCK 4014,4.822957747381807e-59
BLOCK 4015,4.482577553951504e-57
BLOCK 4016,0.0
BLOCK 4017,1.471714645594739e-56
BLOCK 4018,1.458092162764612e-118
BLOCK 4019,1.0342847556478705e-83
BLOCK 4020,5.609388344214068e-44
BLOCK 4021,8.757480595092898e-75
BLOCK 4022,0.0
BLOCK 4023,2.734387381537028e-142
BLOCK 4024,3.1624237001114174e-146
BLOCK 4025,2.6382480852853406e-159
BLOCK 4026,5.516574659624902e-146
BLOCK 4027,2.7252554395803907e-142
BLOCK 4028,9.989735839018598e-137
BLOCK 4029,1.2160832983877513e-116
BLOCK 4030,1.5644319176332522e-134
BLOCK 4031,8.420258196059585e-113
BLOCK 4032,4.6600119561357e-157
BLOCK 4033,1.1026656396536626e-120
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,3.7239776556507116e-150
BLOCK 4035,1.5777579008109648e-156
BLOCK 4036,3.6817965357859254e-153
BLOCK 4037,7.233659992903183e-160
BLOCK 4038,1.1082204835349184e-193
BLOCK 4039,2.9576485110711594e-205
BLOCK 4040,3.813368071052544e-242
BLOCK 4041,8.156267582790331e-159
BLOCK 4042,2.414142991865661e-184
BLOCK 4043,3.5748748507706165e-159
BLOCK 4044,1.784916920172376e-139
BLOCK 4045,3.8319780513745644e-126
BLOCK 4046,2.3448620371009617e-124
BLOCK 4048,1.9855494346302314e-93
BLOCK 4049,8.289712781748701e-96
BLOCK 4050,3.825357430670698e-89
BLOCK 4051,2.450328044468117e-113
BLOCK 4052,2.500068168554274e-119
BLOCK 4053,2.5274806429896453e-121
BLOCK 4054,2.5061937085491427e-126
BLOCK 4055,4.47824711646591e-128
BLOCK 4056,2.3524594099121217e-138
BLOCK 4058,6.874676901920166e-127
BLOCK 4059,1.2411327086031778e-126
BLOCK 4061,7.972107710652237e-158
BLOCK 4062,6.676238252160316e-153
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,2.5945747979158935e-13
BLOCK 2032,1.8699253277315548e-12
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.4008647693128955e-23
BLOCK 2058,2.922849698389546e-14
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,9.089537030352701e-149
BLOCK 4064,1.5671249206501404e-140
BLOCK 4065,8.724551533495802e-242
