,Total Dioxin 100% Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.6699540988098723e-134
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,5.115816576791691e-179
BLOCK 1006,1.230547536239947e-282
BLOCK 1007,4.191167263053441e-159
BLOCK 1008,9.546103171586338e-109
BLOCK 1011,3.0419123743514995e-14
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,9.60768112044935e-17
BLOCK 3011,1.9348320604178877e-16
BLOCK 3012,3.4036915407677116e-15
BLOCK 3013,2.927350280236401e-17
BLOCK 3014,2.506445450289748e-14
BLOCK 3015,9.826406804278674e-24
BLOCK 3017,1.0947976291254327e-21
BLOCK 3025,8.764713376046197e-89
BLOCK 3026,7.833722268874532e-58
BLOCK 3027,3.7327035745354474e-25
BLOCK 3028,1.8514180821798745e-20
BLOCK 3030,2.662528274675876e-58
BLOCK 3031,1.0490599521804014e-24
BLOCK 4047,3.376290256010718e-110
BLOCK 4057,1.7481209087231427e-134
BLOCK 4000,3.882493120535137e-179
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,1.4370582079716203e-275
BLOCK 1002,1.211048261427129e-244
BLOCK 1003,1.3075296976053505e-243
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,2.64678e-318
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,3.0575963731127655e-117
BLOCK 1014,8.945808101128169e-59
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,2.9561288310976534e-68
BLOCK 1056,2.0965013697536466e-76
BLOCK 1057,7.282635688716756e-80
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,5.5747153240224076e-104
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,8.853004394153114e-18
BLOCK 2024,5.192071385814245e-15
BLOCK 3001,3.1845120885973854e-14
BLOCK 3002,2.3077953664286387e-13
BLOCK 3003,2.5477043886922975e-14
BLOCK 3004,2.6706288543125984e-13
BLOCK 3005,9.130150944840863e-13
BLOCK 3006,2.088226535352011e-13
BLOCK 3007,3.1668783327849245e-14
BLOCK 3008,4.6408618018529066e-17
BLOCK 3009,1.4088452482142983e-16
BLOCK 3018,6.562890809273433e-22
BLOCK 3019,5.047918588683981e-30
BLOCK 3020,3.2164570173645546e-46
BLOCK 3021,4.7599764684147805e-40
BLOCK 3022,2.6758895908680045e-44
BLOCK 3023,8.817998101993839e-57
BLOCK 3024,2.1487008558693323e-74
BLOCK 3029,2.435517645748143e-63
BLOCK 2030,5.794392946458545e-16
BLOCK 3000,1.9702098342197538e-19
BLOCK 3016,9.955823882374331e-28
BLOCK 3032,5.12796637258762e-41
BLOCK 3033,1.0017265847385966e-29
BLOCK 3034,5.9739801510759185e-74
BLOCK 3035,2.3452908894826386e-80
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,9.655067800074346e-26
BLOCK 4004,4.056520804400016e-32
BLOCK 4005,8.505802503226952e-205
BLOCK 4006,5.8163715422681e-159
BLOCK 4007,7.02389221496473e-188
BLOCK 4008,1.7556655072783553e-49
BLOCK 4009,8.518239885700441e-47
BLOCK 4010,2.3802781980044395e-41
BLOCK 4011,1.2948688719813316e-36
BLOCK 4012,7.424978936366829e-46
BLOCK 4013,1.0818203168823376e-75
BLOCK 4014,8.494277592939456e-59
BLOCK 4015,7.921023187752428e-57
BLOCK 4016,0.0
BLOCK 4017,2.5898242266671387e-56
BLOCK 4018,2.0435158377513725e-290
BLOCK 4019,1.7814140104909617e-83
BLOCK 4020,9.814099536654634e-44
BLOCK 4021,1.482002541957178e-74
BLOCK 4022,0.0
BLOCK 4023,4.627896006533483e-142
BLOCK 4024,5.317865123115542e-146
BLOCK 4025,4.3500347325715126e-159
BLOCK 4026,9.0140801226233e-146
BLOCK 4027,4.387394361442893e-142
BLOCK 4028,1.6261796395745505e-136
BLOCK 4029,2.0090092715999082e-116
BLOCK 4030,2.6099915336746173e-134
BLOCK 4031,1.3451736669094813e-112
BLOCK 4032,7.252406928779941e-157
BLOCK 4033,1.723902074206048e-120
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,5.724692800171954e-150
BLOCK 4035,2.4740329936001463e-156
BLOCK 4036,5.798683362161676e-153
BLOCK 4037,1.1475451893281226e-159
BLOCK 4038,1.7370980930322905e-193
BLOCK 4039,4.76332414818583e-205
BLOCK 4040,6.091834182620038e-242
BLOCK 4041,1.2386555729574165e-158
BLOCK 4042,3.669874041805647e-184
BLOCK 4043,5.313121383790762e-159
BLOCK 4044,2.7030449106114778e-139
BLOCK 4045,5.799394986638923e-126
BLOCK 4046,3.6338811770158147e-124
BLOCK 4048,3.135770157430955e-93
BLOCK 4049,1.2950396205543718e-95
BLOCK 4050,5.9750407564217005e-89
BLOCK 4051,3.6726765323056494e-113
BLOCK 4052,3.783644207353638e-119
BLOCK 4053,3.84188795836333e-121
BLOCK 4054,3.8254729799542213e-126
BLOCK 4055,6.808554820652732e-128
BLOCK 4056,3.4475310509594696e-138
BLOCK 4058,1.0294421663215814e-126
BLOCK 4059,1.8665043879654486e-126
BLOCK 4061,1.1575588155019495e-157
BLOCK 4062,9.741372201057857e-153
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,4.676454715480735e-13
BLOCK 2032,3.378344958304654e-12
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,4.324986002907287e-23
BLOCK 2058,5.261124132525744e-14
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.3234046786408125e-148
BLOCK 4064,2.2738486423786665e-140
BLOCK 4065,1.3967541516150324e-241
