,ethyl_acryl_100 Cumulative Hazard Index PAC1
BLOCK 1030,5.419470477753438e-06
BLOCK 1033,2.7709258000747104e-06
BLOCK 1035,2.07211990464487e-06
BLOCK 1037,2.0920668327666447e-06
BLOCK 1038,2.623699051039209e-06
BLOCK 2009,5.460425410353626e-06
BLOCK 2013,2.6934844998187615e-05
BLOCK 2008,5.4694260083458105e-06
BLOCK 1009,1.7446600479822176e-05
BLOCK 1016,1.813127688811883e-05
BLOCK 1020,5.625802250724859e-06
BLOCK 1026,5.500003262656256e-06
BLOCK 1027,3.3607008012946943e-06
BLOCK 1028,7.202865090354822e-06
BLOCK 1029,1.178857224301184e-05
BLOCK 1039,3.3816068458209377e-06
BLOCK 1040,5.324650708612381e-06
BLOCK 1052,1.0100083992001371e-05
BLOCK 1054,1.295426943959932e-05
BLOCK 2025,2.509422466563197e-06
BLOCK 2028,1.1653809101710974e-05
BLOCK 2029,1.2186384942787244e-05
BLOCK 1005,1.142433774286021e-05
BLOCK 1006,2.4618922135203517e-05
BLOCK 1007,2.1824876690046086e-05
BLOCK 1008,2.4774811523621567e-05
BLOCK 1011,9.087010864164799e-06
BLOCK 1024,5.573027797772134e-06
BLOCK 1025,6.022580650899623e-06
BLOCK 3010,5.630403526208636e-05
BLOCK 3011,5.389226787540754e-05
BLOCK 3012,3.2358004010767715e-05
BLOCK 3013,1.3813487077305292e-05
BLOCK 3014,1.3962445424525907e-05
BLOCK 3015,4.098398504787861e-06
BLOCK 3017,5.297853711687519e-06
BLOCK 3025,1.0787510676290636e-05
BLOCK 3026,2.895165816173918e-06
BLOCK 3027,1.1372212419988685e-05
BLOCK 3028,6.249667966557888e-05
BLOCK 3030,3.8483625903792305e-06
BLOCK 3031,7.579115376438232e-06
BLOCK 4047,1.3553514505733974e-05
BLOCK 4057,1.3703248287160531e-05
BLOCK 4000,3.033927493183352e-12
BLOCK 4001,1.4240545624651225e-05
BLOCK 1000,4.031437819214192e-06
BLOCK 1001,4.027049094363098e-06
BLOCK 1002,5.438369053366491e-06
BLOCK 1003,7.0753406966895315e-06
BLOCK 1004,1.4103426241821046e-05
BLOCK 1010,2.2451518158563595e-05
BLOCK 1017,9.232102250397942e-06
BLOCK 1018,6.415205924118553e-06
BLOCK 1019,5.5350052724230294e-06
BLOCK 2000,8.784383861420825e-06
BLOCK 2001,1.1011836288600505e-05
BLOCK 2002,1.1600740588329868e-05
BLOCK 2003,1.0842358403299532e-05
BLOCK 2004,5.325189444833927e-06
BLOCK 2005,3.6594235840201675e-06
BLOCK 2006,3.459517636064793e-06
BLOCK 2007,3.649772746270027e-06
BLOCK 2010,4.624210905655114e-06
BLOCK 2011,1.1113862044161294e-05
BLOCK 2012,1.9034428424937167e-05
BLOCK 2026,3.98821335495615e-06
BLOCK 2027,4.6150932819185206e-06
BLOCK 2051,1.3325221109655748e-05
BLOCK 2054,1.350763160116897e-05
BLOCK 2055,2.735397028382117e-05
BLOCK 2056,2.6000988286526063e-05
BLOCK 5030,4.927782784076035e-14
BLOCK 5031,1.4025503439636826e-11
BLOCK 1012,1.754308512117239e-05
BLOCK 1013,5.797226702179797e-05
BLOCK 1014,1.3280989948469934e-05
BLOCK 1015,1.8776963100771024e-05
BLOCK 1021,5.048043028461378e-06
BLOCK 1022,5.013114884055676e-06
BLOCK 1023,4.713374129783089e-06
BLOCK 1031,4.155988495348663e-06
BLOCK 1032,4.01098700544386e-06
BLOCK 1034,7.268589146956708e-06
BLOCK 1036,2.3665167025109882e-06
BLOCK 1048,7.2963049560761945e-06
BLOCK 1049,6.324740974538051e-06
BLOCK 1050,4.3921378341568464e-06
BLOCK 1051,1.3303467103187558e-05
BLOCK 1053,1.2049818169604853e-05
BLOCK 1055,1.726992686904402e-14
BLOCK 1056,7.022199607894453e-17
BLOCK 1057,9.271592517452862e-17
BLOCK 1058,1.2917414499978613e-05
BLOCK 1059,2.0491253663680497e-06
BLOCK 1060,2.2381109631008544e-05
BLOCK 1061,2.8442988627088343e-05
BLOCK 1062,4.626349082429479e-05
BLOCK 1063,1.780745881070631e-05
BLOCK 1064,1.607592943462186e-05
BLOCK 1065,7.944939103976453e-06
BLOCK 1066,2.5395462145147234e-05
BLOCK 1067,6.151078913450831e-06
BLOCK 3039,3.747508757106659e-05
BLOCK 3040,2.651187116639928e-05
BLOCK 3041,2.402536810627613e-05
BLOCK 3042,2.9682597757720168e-05
BLOCK 3043,3.497087909808005e-05
BLOCK 3044,2.200757205933826e-05
BLOCK 3045,2.930545759864264e-05
BLOCK 3046,2.973676236973026e-05
BLOCK 3047,1.8925753503615523e-05
BLOCK 3048,2.3662065470646287e-05
BLOCK 3049,5.068335199221889e-05
BLOCK 3050,2.3859621010978962e-05
BLOCK 2059,3.06960833605511e-05
BLOCK 2060,4.359079708828014e-05
BLOCK 2061,1.4702785959625979e-05
BLOCK 2064,3.85930582849177e-05
BLOCK 2014,2.2886345696927926e-05
BLOCK 2015,2.7396761974207316e-05
BLOCK 2016,1.2046053894627488e-05
BLOCK 2017,1.3568185411379944e-05
BLOCK 2018,3.25940945939126e-05
BLOCK 2019,6.904632723715593e-05
BLOCK 2020,1.8915550553799786e-05
BLOCK 2021,2.3347471225874648e-05
BLOCK 2022,9.448800574369787e-05
BLOCK 2023,3.749633274238931e-06
BLOCK 2024,1.761094072775605e-06
BLOCK 3001,1.1882885207317124e-05
BLOCK 3002,1.2923365703683729e-05
BLOCK 3003,1.5097262666579535e-05
BLOCK 3004,4.045463909327128e-05
BLOCK 3005,2.4662041953485498e-05
BLOCK 3006,2.675557658111143e-05
