,Total Dioxin 20% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,3.596824212820881e-134
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.1018681857704008e-178
BLOCK 1006,2.6504100780549877e-282
BLOCK 1007,9.027129489652601e-159
BLOCK 1008,2.056083760033762e-108
BLOCK 1011,6.5518112678333e-14
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,2.0693467028657938e-16
BLOCK 3011,4.167330591668853e-16
BLOCK 3012,7.331027933960443e-15
BLOCK 3013,6.305062142046961e-17
BLOCK 3014,5.39849789293119e-14
BLOCK 3015,2.116456850152105e-23
BLOCK 3017,2.3580256627314498e-21
BLOCK 3025,1.887784419455903e-88
BLOCK 3026,1.687263257911258e-57
BLOCK 3027,8.039669237460107e-25
BLOCK 3028,3.987669715463921e-20
BLOCK 3030,5.73467628391666e-58
BLOCK 3031,2.259513743157547e-24
BLOCK 4047,7.272009782176156e-110
BLOCK 4057,3.7651834957109823e-134
BLOCK 4000,8.362292874997864e-179
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,3.0952022940923905e-275
BLOCK 1002,2.6084116399966152e-244
BLOCK 1003,2.8162178102266085e-243
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,6.585592188242178e-117
BLOCK 1014,1.9267894371658615e-58
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,6.3670467131327286e-68
BLOCK 1056,4.515541411776604e-76
BLOCK 1057,1.568567686800365e-79
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,1.2007079159431596e-103
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.9068009464327754e-17
BLOCK 2024,1.1182922984829489e-14
BLOCK 3001,6.858949113901328e-14
BLOCK 3002,4.970636173845769e-13
BLOCK 3003,5.4873632987212874e-14
BLOCK 3004,5.752123686211138e-13
BLOCK 3005,1.966494049657823e-12
BLOCK 3006,4.4977186915269305e-13
BLOCK 3007,6.820968716766802e-14
BLOCK 3008,9.995702342451352e-17
BLOCK 3009,3.034435919230474e-16
BLOCK 3018,1.4135457127664352e-21
BLOCK 3019,1.087244003716434e-29
BLOCK 3020,6.927753575861378e-46
BLOCK 3021,1.0252257008892284e-39
BLOCK 3022,5.763454503407396e-44
BLOCK 3023,1.8992611296600092e-56
BLOCK 3024,4.627971074179607e-74
BLOCK 3029,5.245730313918518e-63
BLOCK 2030,1.2480230961601688e-15
BLOCK 3000,4.243528873703634e-19
BLOCK 3016,2.1443312977419355e-27
BLOCK 3032,1.1044850648649086e-40
BLOCK 3033,2.1575649517444388e-29
BLOCK 3034,1.286703417154676e-73
BLOCK 3035,5.051395761962069e-80
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,2.0795530646311758e-25
BLOCK 4004,8.737121732552951e-32
BLOCK 4005,1.83201900069484e-204
BLOCK 4006,1.2527569475653034e-158
BLOCK 4007,1.5128383232230114e-187
BLOCK 4008,3.7814334002914384e-49
BLOCK 4009,1.8346978215352845e-46
BLOCK 4010,5.12675304185517e-41
BLOCK 4011,2.788948339651802e-36
BLOCK 4012,1.599226232448069e-45
BLOCK 4013,2.330074528669402e-75
BLOCK 4014,1.8295367123252273e-58
BLOCK 4015,1.7060665327464948e-56
BLOCK 4016,0.0
BLOCK 4017,5.578082949744011e-56
BLOCK 4018,4.401418727464025e-290
BLOCK 4019,3.836891714903201e-83
BLOCK 4020,2.1138060540484648e-43
BLOCK 4021,3.192005474984351e-74
BLOCK 4022,0.0
BLOCK 4023,9.967776014071056e-142
BLOCK 4024,1.1453863342093794e-145
BLOCK 4025,9.369305577845338e-159
BLOCK 4026,1.9414941802571194e-145
BLOCK 4027,9.44977247079907e-142
BLOCK 4028,3.5025407621601975e-136
BLOCK 4029,4.327096892676264e-116
BLOCK 4030,5.621520226375499e-134
BLOCK 4031,2.897297128727805e-112
BLOCK 4032,1.562056876967821e-156
BLOCK 4033,3.713019852135708e-120
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.2330107569599821e-149
BLOCK 4035,5.328686447753594e-156
BLOCK 4036,1.248947185696228e-152
BLOCK 4037,2.4716357923987705e-159
BLOCK 4038,3.7414420465306884e-193
BLOCK 4039,1.0259467396091465e-204
BLOCK 4040,1.3120873624103301e-241
BLOCK 4041,2.6678735417541515e-158
BLOCK 4042,7.904344090042089e-184
BLOCK 4043,1.144364605739427e-158
BLOCK 4044,5.821942884393331e-139
BLOCK 4045,1.2491004586605584e-125
BLOCK 4046,7.826820996648612e-124
BLOCK 4048,6.753966492927492e-93
BLOCK 4049,2.789316105809119e-95
BLOCK 4050,1.2869318552291521e-88
BLOCK 4051,7.91038022342671e-113
BLOCK 4052,8.149387523530044e-119
BLOCK 4053,8.27483560262783e-121
BLOCK 4054,8.239480264515907e-126
BLOCK 4055,1.4664579613712013e-127
BLOCK 4056,7.42545149437345e-138
BLOCK 4058,2.2172600505385542e-126
BLOCK 4059,4.0201632971559224e-126
BLOCK 4061,2.493203602619318e-157
BLOCK 4062,2.098141704843008e-152
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.007236400257282e-12
BLOCK 2032,7.276435294809251e-12
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,9.315354467799319e-23
BLOCK 2058,1.133165197774655e-13
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.850410077072216e-148
BLOCK 4064,4.897520152815068e-140
BLOCK 4065,3.008393557324366e-241
