,PM10 Cumulative Hazard Index PAC1
BLOCK 1030,2.339264592257692e-22
BLOCK 1033,3.1504196248641267e-20
BLOCK 1035,5.11831488585749e-19
BLOCK 1037,8.292737961069233e-19
BLOCK 1038,2.4298832016507583e-20
BLOCK 2009,2.7112179203553057e-22
BLOCK 2013,5.678539193928726e-18
BLOCK 2008,3.095841879602119e-22
BLOCK 1009,9.713761156725407e-29
BLOCK 1016,9.658020690888582e-18
BLOCK 1020,1.5068973377233385e-22
BLOCK 1026,2.423667464114491e-22
BLOCK 1027,1.8874510775082109e-19
BLOCK 1028,4.93396606008129e-21
BLOCK 1029,1.457902866873674e-22
BLOCK 1039,4.41029792812361e-21
BLOCK 1040,9.258681450812606e-20
BLOCK 1052,6.084290332700134e-18
BLOCK 1054,8.495215692359191e-18
BLOCK 2025,2.1445497243863054e-20
BLOCK 2028,7.632836248990985e-20
BLOCK 2029,1.4554763064580874e-19
BLOCK 1005,7.615903952596481e-30
BLOCK 1006,5.6195771456290656e-27
BLOCK 1007,4.0642842774764244e-32
BLOCK 1008,1.7424288251422452e-31
BLOCK 1011,1.7733113981534666e-22
BLOCK 1024,1.6903297136763464e-22
BLOCK 1025,1.5304704740897538e-22
BLOCK 3010,4.1501249585896555e-28
BLOCK 3011,8.386581168284816e-28
BLOCK 3012,1.710465584336999e-26
BLOCK 3013,9.076971015555025e-27
BLOCK 3014,6.176904430992215e-25
BLOCK 3015,6.67222584949629e-26
BLOCK 3017,2.7048830283477636e-24
BLOCK 3025,5.803916553878783e-26
BLOCK 3026,3.636545412477703e-27
BLOCK 3027,3.6780773885515267e-31
BLOCK 3028,8.92573494418027e-32
BLOCK 3030,2.5899679766592694e-29
BLOCK 3031,6.38850510967293e-33
BLOCK 4047,9.407581704582105e-26
BLOCK 4057,2.1311243187627285e-26
BLOCK 4000,1.1847754009598384e-37
BLOCK 4001,6.261766089468391e-31
BLOCK 1000,1.0637337287155453e-22
BLOCK 1001,1.4395033752948793e-23
BLOCK 1002,1.8719569818692284e-25
BLOCK 1003,5.8526683070624506e-27
BLOCK 1004,9.270644214629868e-18
BLOCK 1010,8.47241676439277e-18
BLOCK 1017,5.956846817899123e-23
BLOCK 1018,1.3175946102645843e-23
BLOCK 1019,1.1400268628948303e-22
BLOCK 2000,5.344654928167063e-18
BLOCK 2001,6.467441412932727e-18
BLOCK 2002,6.6777161395013846e-18
BLOCK 2003,6.204726904767882e-18
BLOCK 2004,3.807432298053516e-22
BLOCK 2005,2.7282325876994404e-22
BLOCK 2006,2.301851600700369e-22
BLOCK 2007,2.2498792545206863e-22
BLOCK 2010,2.830575753643945e-22
BLOCK 2011,5.929291393973808e-18
BLOCK 2012,4.3915176930557246e-18
BLOCK 2026,1.0395451419287537e-21
BLOCK 2027,4.705807645585861e-22
BLOCK 2051,7.796794989737549e-18
BLOCK 2054,7.652495830739892e-18
BLOCK 2055,4.779193539321781e-18
BLOCK 2056,7.203413931950432e-18
BLOCK 5030,2.2570497467853742e-38
BLOCK 5031,3.0684492313009583e-33
BLOCK 1012,9.188368972745447e-18
BLOCK 1013,7.40891900087385e-43
BLOCK 1014,2.751809760527434e-53
BLOCK 1015,8.908244892107568e-18
BLOCK 1021,1.6820675197245522e-22
BLOCK 1022,2.0831544167158159e-22
BLOCK 1023,3.908770170966721e-21
BLOCK 1031,1.1780059439040518e-21
BLOCK 1032,2.385359384535881e-21
BLOCK 1034,2.9214938205052447e-23
BLOCK 1036,1.317571299423767e-18
BLOCK 1048,4.9415480749909896e-18
BLOCK 1049,1.0148481045972174e-22
BLOCK 1050,1.953213865134465e-21
BLOCK 1051,8.2582592423714e-18
BLOCK 1053,8.689947265167294e-18
BLOCK 1055,8.077165304292405e-36
BLOCK 1056,1.664688154193448e-36
BLOCK 1057,1.4692860126131968e-39
BLOCK 1058,9.870706871508002e-18
BLOCK 1059,7.518874901994053e-19
BLOCK 1060,2.132218519367259e-25
