,Total Phosgene 7 Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,4.81367699620025e-133
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.6087521781274351e-177
BLOCK 1006,5.971767796584736e-281
BLOCK 1007,1.4845415598334166e-157
BLOCK 1008,2.835304570566288e-107
BLOCK 1011,1.2869592554936906e-06
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,4.740000057771277e-15
BLOCK 3011,9.790577723797094e-15
BLOCK 3012,9.837570940446349e-14
BLOCK 3013,6.861314406955275e-16
BLOCK 3014,5.847536632041482e-13
BLOCK 3015,2.270647488963265e-22
BLOCK 3017,2.4698144747283173e-20
BLOCK 3025,2.212303599463641e-87
BLOCK 3026,1.9297175274620933e-56
BLOCK 3027,9.283024494240667e-24
BLOCK 3028,6.387713614882056e-19
BLOCK 3030,6.83727103903356e-57
BLOCK 3031,2.6703450834823656e-23
BLOCK 4047,8.707050673265895e-109
BLOCK 4057,4.713040129301333e-133
BLOCK 4000,4.738589291588945e-82
BLOCK 4001,4.787107509636394e-287
BLOCK 1000,0.0
BLOCK 1001,3.852860140702975e-274
BLOCK 1002,3.4555063730659046e-243
BLOCK 1003,3.972609723981898e-242
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,6.881923e-317
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.2795573155988901e-115
BLOCK 1014,3.111371231141407e-57
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.572479062139559e-33
BLOCK 1056,1.1421457903364036e-36
BLOCK 1057,1.0726266108159955e-39
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,3.050191975043647e-102
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.951662489511693e-16
BLOCK 2024,1.1461376699614237e-13
BLOCK 3001,7.16173585903881e-13
BLOCK 3002,5.234884549125738e-12
BLOCK 3003,5.784701585292541e-13
BLOCK 3004,1.0675205387667377e-11
BLOCK 3005,8.327934833171455e-11
BLOCK 3006,3.462947869513928e-10
BLOCK 3007,1.5777090232583565e-11
BLOCK 3008,1.6608333890176394e-15
BLOCK 3009,6.006351256848574e-15
BLOCK 3018,1.4796978145455967e-20
BLOCK 3019,1.2376320889364219e-28
BLOCK 3020,7.83406890489026e-45
BLOCK 3021,1.1337097612900361e-38
BLOCK 3022,6.350838452245223e-43
BLOCK 3023,2.093846669486049e-55
BLOCK 3024,5.364628333033827e-73
BLOCK 3029,6.122277704000617e-62
BLOCK 2030,1.290586826401886e-14
BLOCK 3000,4.417859714802156e-18
BLOCK 3016,2.2682255277946626e-26
BLOCK 3032,1.3808321404020426e-39
BLOCK 3033,2.856753802439468e-28
BLOCK 3034,1.4980991029527627e-72
BLOCK 3035,6.282329420678435e-79
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,1.242971249953529e-236
BLOCK 4003,2.1540024039718005e-24
BLOCK 4004,9.097254769463835e-31
BLOCK 4005,2.863240007592641e-89
BLOCK 4006,2.0780801090279822e-72
BLOCK 4007,1.8389481239041284e-83
BLOCK 4008,3.936720327403637e-48
BLOCK 4009,1.9223733489003083e-45
BLOCK 4010,5.365247549773215e-40
BLOCK 4011,2.9288354590778515e-35
BLOCK 4012,1.6860358699479189e-44
BLOCK 4013,2.466258979972644e-74
BLOCK 4014,1.929132887829124e-57
BLOCK 4015,1.7929843541065344e-55
BLOCK 4016,0.0
BLOCK 4017,5.886705364271225e-55
BLOCK 4018,5.83221685116793e-117
BLOCK 4019,4.137031344684225e-82
BLOCK 4020,2.2436969391455153e-42
BLOCK 4021,3.502901065158687e-73
BLOCK 4022,0.0
BLOCK 4023,1.0937264852987008e-140
BLOCK 4024,1.2649365565035377e-144
BLOCK 4025,1.0552717676904946e-157
BLOCK 4026,2.2065724315798498e-144
BLOCK 4027,1.090073803587388e-140
BLOCK 4028,3.9957903338957913e-135
BLOCK 4029,4.86420658885737e-115
BLOCK 4030,6.257564799762636e-133
BLOCK 4031,3.3680156163195475e-111
BLOCK 4032,1.8639562677360178e-155
BLOCK 4033,4.410547761671321e-119
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.4895522924613058e-148
BLOCK 4035,6.3108673451244295e-155
BLOCK 4036,1.4726802836570002e-151
BLOCK 4037,2.89338868856124e-158
BLOCK 4038,4.432766558889489e-192
BLOCK 4039,1.1830286127726522e-203
BLOCK 4040,1.5253075279912042e-240
BLOCK 4041,3.262422119380379e-157
BLOCK 4042,9.656320634487114e-183
BLOCK 4043,1.4299127227972532e-157
BLOCK 4044,7.139481855540731e-138
BLOCK 4045,1.5327513263741676e-124
BLOCK 4046,9.37920402816947e-123
BLOCK 4048,7.941991025807904e-92
BLOCK 4049,3.315798809684839e-94
BLOCK 4050,1.5301031470189567e-87
BLOCK 4051,9.801057077722842e-112
BLOCK 4052,1.0000012395694263e-117
BLOCK 4053,1.0109659439562224e-119
BLOCK 4054,1.0024513917952523e-124
BLOCK 4055,1.791252224195863e-126
BLOCK 4056,9.40959272846249e-137
BLOCK 4058,2.749799189489671e-125
BLOCK 4059,4.96440162186079e-125
BLOCK 4061,3.1887600877872427e-156
BLOCK 4062,2.6704257955021448e-151
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.0378029074190666e-11
BLOCK 2032,7.479506635673668e-11
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,9.603209126652818e-22
BLOCK 2058,1.1691094499854706e-12
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,3.6357201822705324e-147
BLOCK 4064,6.268336531465496e-139
BLOCK 4065,3.4897297833396e-240
