,Total Phosgene 7 Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.2230362853136706e-261
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,0.0
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,4.1005100794181004e-237
BLOCK 1011,6.459831561457879e-20
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.350686702264165e-44
BLOCK 3011,2.2616577065345418e-43
BLOCK 3012,1.7348701688767716e-38
BLOCK 3013,6.158708823005644e-41
BLOCK 3014,6.805632617597878e-33
BLOCK 3015,2.02484961982502e-46
BLOCK 3017,5.86953646821879e-39
BLOCK 3025,1.1927162240285236e-147
BLOCK 3026,5.337571736447162e-102
BLOCK 3027,6.529439925496249e-64
BLOCK 3028,8.952955494303121e-60
BLOCK 3030,5.892684840801048e-114
BLOCK 3031,2.3599144877175985e-68
BLOCK 4047,2.9765298242856515e-182
BLOCK 4057,1.0039316374109598e-231
BLOCK 4000,2.037867299023385e-167
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,4.981469126131623e-229
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,2.1072541992914054e-67
BLOCK 1056,1.3287109572814756e-65
BLOCK 1057,7.776504495985563e-81
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,3.579167741710197e-29
BLOCK 2024,1.731879018689047e-26
BLOCK 3001,2.874954192905581e-29
BLOCK 3002,2.139201682724433e-28
BLOCK 3003,8.986996310593015e-31
BLOCK 3004,1.809708159103909e-31
BLOCK 3005,1.1382471671356123e-28
BLOCK 3006,4.8451720152714704e-29
BLOCK 3007,3.698542382353868e-33
BLOCK 3008,5.5547982226881595e-46
BLOCK 3009,4.819113861033422e-44
BLOCK 3018,4.4594888781045015e-39
BLOCK 3019,9.658225574388689e-67
BLOCK 3020,6.498658413675124e-85
BLOCK 3021,3.7931489782858325e-72
BLOCK 3022,2.4466388618980625e-76
BLOCK 3023,3.426112221186419e-91
BLOCK 3024,2.9268746048344446e-126
BLOCK 3029,2.2807114603474582e-114
BLOCK 2030,1.0301422071114344e-29
BLOCK 3000,4.1431487878360425e-35
BLOCK 3016,6.742638616695778e-48
BLOCK 3032,2.0868069105802853e-104
BLOCK 3033,1.4609948482357508e-98
BLOCK 3034,5.3672457455586785e-127
BLOCK 3035,5.150291522130347e-156
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,6.991993448554709e-41
BLOCK 4004,3.641041249795639e-49
BLOCK 4005,1.6779228522136432e-143
BLOCK 4006,1.7715248913550743e-111
BLOCK 4007,1.6600385794341485e-120
BLOCK 4008,2.563202923000871e-68
BLOCK 4009,5.221276852524342e-67
BLOCK 4010,1.2129491851500705e-60
BLOCK 4011,3.308698173261777e-56
BLOCK 4012,1.6634010687538855e-67
BLOCK 4013,4.066864549856022e-102
BLOCK 4014,4.5503104829335683e-82
BLOCK 4015,5.523942118244095e-79
BLOCK 4016,0.0
BLOCK 4017,1.6834177026392298e-79
BLOCK 4018,1.470844165380843e-169
BLOCK 4019,2.7607606969833154e-116
BLOCK 4020,9.061275103706755e-67
BLOCK 4021,6.71356026625978e-111
BLOCK 4022,0.0
BLOCK 4023,3.7630740848303076e-190
BLOCK 4024,3.5358853161409624e-197
BLOCK 4025,2.2846501136308344e-220
BLOCK 4026,1.0635359783641053e-207
BLOCK 4027,7.737772653946062e-209
BLOCK 4028,8.585556273019214e-198
BLOCK 4029,3.876547173678756e-168
BLOCK 4030,3.54148928158319e-186
BLOCK 4031,6.666962745311944e-175
BLOCK 4032,3.7925859360107724e-241
BLOCK 4033,1.2927734105163838e-192
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,2.144002330439995e-237
BLOCK 4035,2.65098956016193e-237
BLOCK 4036,3.3942701065590433e-231
BLOCK 4037,1.0627206182201467e-236
BLOCK 4038,6.0805712632888216e-285
BLOCK 4039,8.53973672822244e-287
BLOCK 4040,0.0
BLOCK 4041,4.971799028345763e-254
BLOCK 4042,2.416097005877033e-287
BLOCK 4043,3.2182685210354815e-264
BLOCK 4044,1.3338598749399421e-229
BLOCK 4045,3.748423823872938e-212
BLOCK 4046,1.2523743854659621e-200
BLOCK 4048,2.2867448751707344e-154
BLOCK 4049,5.525298524176847e-161
BLOCK 4050,1.714758072392769e-152
BLOCK 4051,8.150982617546984e-199
BLOCK 4052,4.230761427200097e-203
BLOCK 4053,4.670556011839232e-204
BLOCK 4054,4.916454310559525e-209
BLOCK 4055,6.682902668819419e-213
BLOCK 4056,4.649491440039322e-242
BLOCK 4058,2.1413443242667155e-217
BLOCK 4059,2.508265372705772e-215
BLOCK 4061,3.1299140930283804e-273
BLOCK 4062,4.121295696199098e-264
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,4.7263421634110975e-25
BLOCK 2032,4.8772554536721855e-23
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,8.13734206744502e-37
BLOCK 2058,8.851007381368643e-27
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.2419613946282387e-259
BLOCK 4064,1.758946359171588e-249
BLOCK 4065,0.0
