,Total Dioxin 100% Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,4.722964848083719e-266
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,0.0
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,1.4574141956478642e-241
BLOCK 1011,1.7612240671533491e-31
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,3.910889008785857e-49
BLOCK 3011,6.27650845974339e-48
BLOCK 3012,1.0057615796084373e-42
BLOCK 3013,4.0062778156402544e-45
BLOCK 3014,4.642221592834461e-37
BLOCK 3015,1.3468319341689595e-50
BLOCK 3017,4.127903174912878e-43
BLOCK 3025,6.459910473138386e-152
BLOCK 3026,3.0626340682595806e-106
BLOCK 3027,3.6648573375796233e-68
BLOCK 3028,4.290608739701971e-64
BLOCK 3030,3.061831637888819e-118
BLOCK 3031,1.256805905558881e-72
BLOCK 4047,1.5307280032293726e-186
BLOCK 4057,4.62265614636966e-236
BLOCK 4000,0.0
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,1.0859082557290217e-233
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.4289189838906428e-121
BLOCK 1056,5.8889562366595945e-124
BLOCK 1057,3.719357155347516e-147
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,2.666170316333181e-33
BLOCK 2024,1.2860776680831578e-30
BLOCK 3001,2.051801945267342e-33
BLOCK 3002,1.521126439360262e-32
BLOCK 3003,6.310094821408287e-35
BLOCK 3004,7.075225685944327e-36
BLOCK 3005,1.4132988243474977e-33
BLOCK 3006,3.9437278946881543e-35
BLOCK 3007,1.249975595658049e-38
BLOCK 3008,2.578245512057062e-50
BLOCK 3009,1.752513413998305e-48
BLOCK 3018,3.1405603642782397e-43
BLOCK 3019,5.603314123780362e-71
BLOCK 3020,3.828855615428254e-89
BLOCK 3021,2.3535988630677494e-76
BLOCK 3022,1.5305012667350511e-80
BLOCK 3023,2.140807928297424e-95
BLOCK 3024,1.6269947119414332e-130
BLOCK 3029,1.2474455256836529e-118
BLOCK 2030,7.4759511824800805e-34
BLOCK 3000,2.9562564143102436e-39
BLOCK 3016,4.633762488818995e-52
BLOCK 3032,9.638862347592352e-109
BLOCK 3033,6.161977901861926e-103
BLOCK 3034,2.952505946308935e-131
BLOCK 3035,2.4106055837012146e-160
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,5.050785399027208e-45
BLOCK 4004,2.597034343510973e-53
BLOCK 4005,0.0
BLOCK 4006,5.107020012457183e-242
BLOCK 4007,1.691427100575218e-272
BLOCK 4008,1.8288946010768953e-72
BLOCK 4009,3.668808262761185e-71
BLOCK 4010,8.547405910557616e-65
BLOCK 4011,2.3125652277801443e-60
BLOCK 4012,1.151987095100858e-71
BLOCK 4013,2.7907822968205527e-106
BLOCK 4014,3.1502285291656655e-86
BLOCK 4015,3.854076883040721e-83
BLOCK 4016,0.0
BLOCK 4017,1.1631580460479192e-83
BLOCK 4018,0.0
BLOCK 4019,1.81535711363951e-120
BLOCK 4020,6.177377460221207e-71
BLOCK 4021,4.239531296660809e-115
BLOCK 4022,0.0
BLOCK 4023,2.3770115785696394e-194
BLOCK 4024,2.2005598949027035e-201
BLOCK 4025,1.3586540040800833e-224
BLOCK 4026,6.192903949230057e-212
BLOCK 4027,4.3511181895257544e-213
BLOCK 4028,4.9554047372726e-202
BLOCK 4029,2.3157346157386802e-172
BLOCK 4030,2.1642201319933555e-190
BLOCK 4031,3.681173378177435e-179
BLOCK 4032,1.966606441771962e-245
BLOCK 4033,6.777786817849802e-197
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.0788031177710086e-241
BLOCK 4035,1.399926424839768e-241
BLOCK 4036,1.811464240556987e-235
BLOCK 4037,5.770745670096647e-241
BLOCK 4038,3.208032177646118e-289
BLOCK 4039,4.8063670789665774e-291
BLOCK 4040,0.0
BLOCK 4041,2.4275893925629554e-258
BLOCK 4042,1.1826094086913639e-291
BLOCK 4043,1.488553324518667e-268
BLOCK 4044,6.467371708740067e-234
BLOCK 4045,1.8145950653416038e-216
BLOCK 4046,6.427395619104453e-205
BLOCK 4048,1.2284781102313754e-158
BLOCK 4049,2.8915747055241025e-165
BLOCK 4050,8.9701695948269e-157
BLOCK 4051,3.851428326820416e-203
BLOCK 4052,2.0480780032079533e-207
BLOCK 4053,2.285692704132768e-208
BLOCK 4054,2.4310477079656107e-213
BLOCK 4055,3.2721846177381595e-217
BLOCK 4056,2.0747075836032723e-246
BLOCK 4058,1.0094144701782018e-221
BLOCK 4059,1.1951789596043963e-219
BLOCK 4061,1.3636467942714216e-277
BLOCK 4062,1.818409636508491e-268
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,3.4821110092186536e-29
BLOCK 2032,3.630830237976037e-27
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,5.948081596900367e-41
BLOCK 2058,6.47649144696821e-31
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,9.836957362092083e-264
BLOCK 4064,7.649119794261653e-254
BLOCK 4065,0.0
