,butyl_acryl Cumulative Hazard Index PAC1
BLOCK 1030,1.4791347549391423e-05
BLOCK 1033,7.328721433126021e-06
BLOCK 1035,5.369064511056451e-06
BLOCK 1037,5.355020980158005e-06
BLOCK 1038,6.945135954981979e-06
BLOCK 2009,1.4824383865830865e-05
BLOCK 2013,6.981620263092308e-05
BLOCK 2008,1.4933588252734964e-05
BLOCK 1009,4.8380746634175196e-05
BLOCK 1016,4.812134769622623e-05
BLOCK 1020,1.5252938746295134e-05
BLOCK 1026,1.4928607589416005e-05
BLOCK 1027,8.826238563731132e-06
BLOCK 1028,1.9205122929373525e-05
BLOCK 1029,3.245969536639188e-05
BLOCK 1039,9.015553090942486e-06
BLOCK 1040,1.3931760884472662e-05
BLOCK 1052,2.6902162167486556e-05
BLOCK 1054,3.457522504061324e-05
BLOCK 2025,6.64725019742924e-06
BLOCK 2028,3.038857244621286e-05
BLOCK 2029,3.18793055014775e-05
BLOCK 1005,2.8922524240570888e-05
BLOCK 1006,6.651736542455924e-05
BLOCK 1007,5.762668800424612e-05
BLOCK 1008,6.935810482878982e-05
BLOCK 1011,2.4727331785873595e-05
BLOCK 1024,1.5111006396393316e-05
BLOCK 1025,1.643560408905258e-05
BLOCK 3010,0.00015968632167274863
BLOCK 3011,0.00015252273131551196
BLOCK 3012,8.911808719550319e-05
BLOCK 3013,3.6959130207623434e-05
BLOCK 3014,3.719654415046904e-05
BLOCK 3015,1.0138014509446204e-05
BLOCK 3017,1.431212706141638e-05
BLOCK 3025,2.9465401480475543e-05
BLOCK 3026,7.441098927522327e-06
BLOCK 3027,2.9643961651616574e-05
BLOCK 3028,0.00017166622236795544
BLOCK 3030,9.783009193868849e-06
BLOCK 3031,1.788107122495238e-05
BLOCK 4047,3.710278142977202e-05
BLOCK 4057,3.775309363491086e-05
BLOCK 4000,3.851740860306215e-13
BLOCK 4001,3.927941275222759e-05
BLOCK 1000,1.0761135644802769e-05
BLOCK 1001,1.055874450812228e-05
BLOCK 1002,1.399098996511616e-05
BLOCK 1003,1.818623483402357e-05
BLOCK 1004,3.7320287854088495e-05
