,PM10 Cumulative Hazard Index PAC1
BLOCK 1030,4.687250844343343e-25
BLOCK 1033,3.9281763681162154e-22
BLOCK 1035,1.1012181722687314e-20
BLOCK 1037,2.108398776523782e-20
BLOCK 1038,3.907602342200042e-22
BLOCK 2009,5.328196300529516e-28
BLOCK 2013,5.297731172537043e-21
BLOCK 2008,1.065870979652208e-25
BLOCK 1009,1.235580778538718e-46
BLOCK 1016,3.1597924307252404e-19
BLOCK 1020,2.107894651619162e-28
BLOCK 1026,4.582526836740627e-28
BLOCK 1027,5.15492440138018e-22
BLOCK 1028,1.1324344910220565e-24
BLOCK 1029,3.962066619675105e-27
BLOCK 1039,5.333925807287194e-23
BLOCK 1040,1.018181995521006e-23
BLOCK 1052,1.330214555551002e-19
BLOCK 1054,2.240475055111202e-19
BLOCK 2025,4.0767983882628583e-22
BLOCK 2028,2.6047226870206063e-23
BLOCK 2029,9.94502146139862e-23
BLOCK 1005,4.634415758301641e-41
BLOCK 1006,1.0649512051722797e-44
BLOCK 1007,2.038639270815629e-50
BLOCK 1008,2.96458416442108e-57
BLOCK 1011,1.760808784382339e-37
BLOCK 1024,2.2425102883048887e-28
BLOCK 1025,4.3985507508070856e-26
BLOCK 3010,2.2752775224513757e-59
BLOCK 3011,3.709965835413823e-58
BLOCK 3012,6.662661869923671e-53
BLOCK 3013,1.4670018293397304e-52
BLOCK 3014,2.9789716132113085e-46
BLOCK 3015,5.605310746757324e-48
BLOCK 3017,5.950027450036474e-42
BLOCK 3025,3.0056443382041482e-50
BLOCK 3026,3.6176747656458646e-53
BLOCK 3027,7.032535353054049e-69
BLOCK 3028,2.6807658305371033e-74
BLOCK 3030,1.2201581135444445e-61
BLOCK 3031,9.042717013450045e-77
BLOCK 4047,9.196339389387822e-50
BLOCK 4057,3.881109275899428e-45
BLOCK 4000,7.706376898222237e-77
BLOCK 4001,4.179493296838781e-67
BLOCK 1000,2.5070067244717636e-31
BLOCK 1001,8.920150379020315e-33
BLOCK 1002,5.1710636832545556e-34
BLOCK 1003,1.614615168122145e-34
BLOCK 1004,2.149624979495326e-19
BLOCK 1010,1.1005730545538204e-19
BLOCK 1017,1.906478594976805e-26
BLOCK 1018,1.9499128896033803e-29
BLOCK 1019,7.097514135602545e-29
BLOCK 2000,1.1504567150391144e-19
BLOCK 2001,1.3338995119362626e-19
BLOCK 2002,1.304922361034266e-19
BLOCK 2003,1.180651605387966e-19
BLOCK 2004,7.963062557435794e-28
BLOCK 2005,2.356701636440315e-31
BLOCK 2006,7.605249562904985e-32
BLOCK 2007,1.6862533527448666e-31
BLOCK 2010,1.195806321211589e-29
BLOCK 2011,9.176221748794106e-20
BLOCK 2012,5.8172987827793755e-21
BLOCK 2026,1.0147437712673913e-23
BLOCK 2027,2.2059990010474714e-24
BLOCK 2051,1.5435640488792155e-19
BLOCK 2054,1.386487708702414e-19
BLOCK 2055,2.229148634628318e-21
BLOCK 2056,2.6540900965210124e-20
BLOCK 5030,1.1828230783293008e-74
BLOCK 5031,3.2723983877327266e-61
BLOCK 1012,3.996457727715487e-19
BLOCK 1013,2.3383636549546554e-114
BLOCK 1014,4.719517094017099e-180
BLOCK 1015,2.954858801828014e-19
BLOCK 1021,2.3375284761283876e-29
BLOCK 1022,3.137141028838347e-29
BLOCK 1023,1.4568239331313354e-23
BLOCK 1031,1.0594417511896833e-23
BLOCK 1032,2.034051917588923e-23
BLOCK 1034,1.1917636705706516e-26
BLOCK 1036,3.6515651970747484e-20
BLOCK 1048,1.383855985348523e-19
BLOCK 1049,2.749502458694404e-26
BLOCK 1050,1.2988910776702381e-23
BLOCK 1051,1.8824214383870064e-19
BLOCK 1053,3.012706876496387e-19
BLOCK 1055,1.856450116678917e-64
BLOCK 1056,1.1983772063866986e-60
BLOCK 1057,5.943253309420027e-73
BLOCK 1058,3.3186435251284876e-19
BLOCK 1059,1.922601395065057e-20
BLOCK 1060,2.2336185509634357e-30
BLOCK 1061,1.3296667816423402e-24
BLOCK 1062,6.404070377268522e-26
BLOCK 1063,1.7589739518478552e-23
BLOCK 1064,2.803316342654619e-22
BLOCK 1065,1.0136590476924195e-41
BLOCK 1066,2.8401862936874686e-31
BLOCK 1067,2.0443739355023398e-46
BLOCK 3039,1.4287218164054978e-29
BLOCK 3040,2.1992692603194413e-29
BLOCK 3041,1.1265743180698073e-29
BLOCK 3042,3.713842108973449e-29
BLOCK 3043,9.697454433493595e-29
BLOCK 3044,4.0814850671459984e-30
BLOCK 3045,3.590178970943656e-32
BLOCK 3046,6.056639035999245e-33
BLOCK 3047,1.9423265652578784e-34
BLOCK 3048,2.2423257691370907e-29
BLOCK 3049,1.3845219166711156e-27
BLOCK 3050,4.341265975784938e-31
BLOCK 2059,4.0222838527527864e-21
BLOCK 2060,6.088949471231545e-21
BLOCK 2061,6.791740746281241e-22
BLOCK 2064,1.7525645273727838e-22
BLOCK 2014,7.216540434940623e-24
BLOCK 2015,5.822346781417267e-22
BLOCK 2016,2.2063134530398014e-28
BLOCK 2017,1.8914628577647696e-33
BLOCK 2018,3.716742455263157e-30
BLOCK 2019,2.212345787286377e-122
BLOCK 2020,0.0
BLOCK 2021,1.942956532682801e-26
BLOCK 2022,4.1183649183522944e-38
BLOCK 2023,1.3829147167340554e-35
BLOCK 2024,3.009660147613574e-36
BLOCK 3001,3.045170965152975e-41
BLOCK 3002,2.0334108993550888e-41
BLOCK 3003,3.3147865111259394e-43
BLOCK 3004,3.6839001551170845e-46
BLOCK 3005,1.4100395729183659e-43
BLOCK 3006,1.8257092423428244e-44
BLOCK 3007,3.1738594018431686e-48
BLOCK 3008,1.417595506562064e-60
BLOCK 3009,9.524803356002353e-59
BLOCK 3018,9.601975533363062e-42
BLOCK 3019,7.953020668263073e-62
BLOCK 3020,4.9718267707219227e-54
BLOCK 3021,8.506535229758011e-51
BLOCK 3022,6.433112839903302e-49
BLOCK 3023,2.5131938879661633e-46
BLOCK 3024,1.7901881757357296e-51
BLOCK 3029,1.2582579422186846e-55
BLOCK 2030,3.9583280729679206e-39
BLOCK 3000,1.1138684776761354e-40
BLOCK 3016,2.7923533964822482e-43
BLOCK 3032,2.2219267416603965e-83
BLOCK 3033,2.094387252070926e-110
BLOCK 3034,2.3968535442931338e-52
BLOCK 3035,1.4332513318379138e-62
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,1.635132435580771e-28
BLOCK 4002,3.954511093627826e-62
BLOCK 4003,3.899533841603927e-38
BLOCK 4004,1.5459853924717873e-38
BLOCK 4005,6.645993126092911e-57
BLOCK 4006,4.2645728653591256e-58
BLOCK 4007,2.8345759993441437e-52
BLOCK 4008,2.6955316659755067e-36
BLOCK 4009,5.746058895926191e-38
BLOCK 4010,2.0465596447076945e-38
BLOCK 4011,6.7611755265197075e-40
BLOCK 4012,2.1868632324230532e-39
BLOCK 4013,1.7666608034932954e-36
BLOCK 4014,8.789367956833287e-38
BLOCK 4015,2.2073538687837228e-37
BLOCK 4016,4.8606434359063775e-206
BLOCK 4017,3.104686637867882e-38
BLOCK 4018,3.1533473515196174e-47
BLOCK 4019,2.021719178452279e-38
BLOCK 4020,3.9939792740286713e-41
BLOCK 4021,2.2941198479252795e-42
BLOCK 4022,0.0
BLOCK 4023,8.435890836365369e-36
BLOCK 4024,2.7862624247239052e-36
BLOCK 4025,1.23841900738005e-37
BLOCK 4026,1.7769763114544085e-39
BLOCK 4027,1.9432991830894513e-41
BLOCK 4028,1.2743052768797904e-40
BLOCK 4029,1.1965867895602428e-40
BLOCK 4030,5.975654359779817e-38
BLOCK 4031,2.05591821772305e-45
BLOCK 4032,1.9474575089016105e-41
BLOCK 4033,3.410988808276061e-47
BLOCK 5000,4.8334994545712676e-166
BLOCK 5001,2.1145623421533362e-154
BLOCK 5002,1.3218204247824606e-143
BLOCK 5003,8.416762384173897e-135
BLOCK 5004,8.143605765837465e-122
BLOCK 5005,1.494862110710918e-141
BLOCK 5006,2.922506595989593e-137
BLOCK 5007,4.16997260341018e-176
BLOCK 5008,1.941057676945827e-175
BLOCK 5009,7.776042716858579e-163
BLOCK 5010,1.562716414241092e-153
BLOCK 5011,2.4930284379861107e-143
BLOCK 5012,9.371745404218418e-133
BLOCK 5013,1.1439697995859992e-134
BLOCK 5014,1.3608922905172923e-169
BLOCK 5015,1.7165101710292597e-175
BLOCK 5016,1.947955774055103e-128
BLOCK 5017,6.564597946048134e-166
BLOCK 5018,3.05225913701441e-178
BLOCK 5019,2.4110744761186545e-164
BLOCK 5020,3.846816358169837e-103
BLOCK 5021,2.0906318672563202e-83
BLOCK 5022,1.6605711824196455e-104
BLOCK 5023,3.7405000345125925e-112
BLOCK 5024,3.106105389344742e-144
BLOCK 5025,2.7033413937948134e-232
BLOCK 5026,4.393997282132347e-117
BLOCK 5027,4.981607372958165e-63
BLOCK 5028,1.6412084605460532e-52
BLOCK 5029,1.4363433899997609e-105
BLOCK 5032,1.2462222154278097e-104
BLOCK 5033,9.969572350294563e-79
BLOCK 5034,1.1608601340340968e-62
BLOCK 5035,4.398636211327959e-171
BLOCK 2063,3.2551796489228206e-25
BLOCK 4034,2.6656172121577302e-42
BLOCK 4035,1.3657201215535057e-41
BLOCK 4036,4.572241784260474e-42
BLOCK 4037,3.2876583011200223e-41
BLOCK 4038,8.266150205337628e-38
BLOCK 4039,2.657112557017411e-37
BLOCK 4040,3.236439787857949e-35
BLOCK 4041,4.783973635527283e-41
BLOCK 4042,2.9890073056713297e-38
BLOCK 4043,5.165456874318885e-41
BLOCK 4044,4.830002989988012e-44
BLOCK 4045,8.003322718053272e-47
BLOCK 4046,4.370115355175268e-47
BLOCK 4048,5.853339066902369e-50
BLOCK 4049,3.436422608685358e-51
BLOCK 4050,1.6380814683688547e-52
BLOCK 4051,1.62487464284852e-50
BLOCK 4052,1.4445725857777157e-48
BLOCK 4053,5.518993136455472e-48
BLOCK 4054,1.0112883228513493e-46
BLOCK 4055,2.4219596384135204e-46
BLOCK 4056,1.511540328727875e-44
BLOCK 4058,9.32960667392401e-47
BLOCK 4059,9.084459521002277e-47
BLOCK 4061,2.3033321298630384e-41
BLOCK 4062,4.757481712924122e-42
BLOCK 2035,1.7613867590925933e-22
BLOCK 2037,9.934192631323073e-24
