,Total Dioxin 80% Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.2940114976406482e-265
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,0.0
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,7.07886895028958e-241
BLOCK 1011,8.554516897601926e-31
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.8995746614102617e-48
BLOCK 3011,3.0485898233039126e-47
BLOCK 3012,4.885127672383806e-42
BLOCK 3013,1.945906367596683e-44
BLOCK 3014,2.2547933450910095e-36
BLOCK 3015,6.541755108820618e-50
BLOCK 3017,2.0049815421005274e-42
BLOCK 3025,3.137670801238624e-151
BLOCK 3026,1.4875651188689294e-105
BLOCK 3027,1.7800735639672336e-67
BLOCK 3028,2.0840099592838011e-63
BLOCK 3030,1.4871753669745594e-117
BLOCK 3031,6.104485827000237e-72
BLOCK 4047,7.434964587114046e-186
BLOCK 4057,2.245290128236677e-235
BLOCK 4000,0.0
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,5.274411527826643e-233
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,6.940463636040219e-121
BLOCK 1056,2.860350172091784e-123
BLOCK 1057,1.8065449040259246e-146
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.294997010790394e-32
BLOCK 2024,6.246662959261011e-30
BLOCK 3001,9.965895162727026e-33
BLOCK 3002,7.388328419749794e-32
BLOCK 3003,3.0649031989697197e-34
BLOCK 3004,3.4365381903157945e-35
BLOCK 3005,6.864594289687801e-33
BLOCK 3006,1.915524977419948e-34
BLOCK 3007,6.071310036053339e-38
BLOCK 3008,1.2522906772848509e-49
BLOCK 3009,8.512208010848852e-48
BLOCK 3018,1.5254150340779923e-42
BLOCK 3019,2.72160971726473e-70
BLOCK 3020,1.8597298703508538e-88
BLOCK 3021,1.1431765906328992e-75
BLOCK 3022,7.4338632955702e-80
BLOCK 3023,1.0398209937444561e-94
BLOCK 3024,7.90254574371548e-130
BLOCK 3029,6.05902112474913e-118
BLOCK 2030,3.631176288633158e-33
BLOCK 3000,1.4358959726649664e-38
BLOCK 3016,2.2506846374263545e-51
BLOCK 3032,4.6817331402591126e-108
BLOCK 3033,2.9929606951900593e-102
BLOCK 3034,1.4340743167786161e-130
BLOCK 3035,1.1708655692262968e-159
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,2.453238622384628e-44
BLOCK 4004,1.261416681133893e-52
BLOCK 4005,0.0
BLOCK 4006,2.4805525774791865e-241
BLOCK 4007,8.215503059936718e-272
BLOCK 4008,8.88320234808772e-72
BLOCK 4009,1.7819925847697065e-70
BLOCK 4010,4.1515971565565305e-64
BLOCK 4011,1.1232459677789199e-59
BLOCK 4012,5.595365890489845e-71
BLOCK 4013,1.35552282988426e-105
BLOCK 4014,1.530110999880456e-85
BLOCK 4015,1.8719802003340523e-82
BLOCK 4016,0.0
BLOCK 4017,5.6496247950898555e-83
BLOCK 4018,0.0
BLOCK 4019,8.817448837677563e-120
BLOCK 4020,3.000440480678853e-70
BLOCK 4021,2.0592009155209513e-114
BLOCK 4022,0.0
BLOCK 4023,1.1545484810195316e-193
BLOCK 4024,1.0688433775241633e-200
BLOCK 4025,6.599176591246076e-224
BLOCK 4026,3.007981918197437e-211
BLOCK 4027,2.1134002634839238e-212
BLOCK 4028,2.406910872389533e-201
BLOCK 4029,1.1247853847873514e-171
BLOCK 4030,1.051192635539623e-189
BLOCK 4031,1.7879984979718854e-178
BLOCK 4032,9.552088431463752e-245
BLOCK 4033,3.2920678829555966e-196
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,5.239900857744866e-241
BLOCK 4035,6.799642634935971e-241
BLOCK 4036,8.79854059699102e-235
BLOCK 4037,2.802933611189782e-240
BLOCK 4038,1.5581870577138183e-288
BLOCK 4039,2.3345211526408944e-290
BLOCK 4040,0.0
BLOCK 4041,1.1791148478162848e-257
BLOCK 4042,5.74410284221516e-291
BLOCK 4043,7.230116147662049e-268
BLOCK 4044,3.1412948299594415e-233
BLOCK 4045,8.81374746023059e-216
BLOCK 4046,3.121877872136428e-204
BLOCK 4048,5.966893678266641e-158
BLOCK 4049,1.4044791426831264e-164
BLOCK 4050,4.356939517487323e-156
BLOCK 4051,1.8706937587413323e-202
BLOCK 4052,9.947807444152851e-207
BLOCK 4053,1.1101935991501943e-207
BLOCK 4054,1.1807946010118605e-212
BLOCK 4055,1.5893468143299532e-216
BLOCK 4056,1.0077151120358688e-245
BLOCK 4058,4.902870283722663e-221
BLOCK 4059,5.805154946649887e-219
BLOCK 4061,6.623427286461149e-277
BLOCK 4062,8.832275377326899e-268
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.6913110616204775e-28
BLOCK 2032,1.7635461155883488e-26
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.8890682042087313e-40
BLOCK 2058,3.1457244170988236e-30
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,4.7779507187304086e-263
BLOCK 4064,3.715286757212779e-253
BLOCK 4065,0.0
