,Total Phosgene 0.07 Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,4.48458310036727e-265
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,0.0
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,1.5035594958106938e-240
BLOCK 1011,2.3686665554900778e-23
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,4.952646811546702e-48
BLOCK 3011,8.292960766032337e-47
BLOCK 3012,6.361356187139377e-42
BLOCK 3013,2.258252010949163e-44
BLOCK 3014,2.495463576238883e-36
BLOCK 3015,7.424641848237139e-50
BLOCK 3017,2.152219387801115e-42
BLOCK 3025,4.3734066487163704e-151
BLOCK 3026,1.957160575994676e-105
BLOCK 3027,2.394190286613936e-67
BLOCK 3028,3.28283579074637e-63
BLOCK 3030,2.160707345331891e-117
BLOCK 3031,8.653245007539541e-72
BLOCK 4047,1.091422675518341e-185
BLOCK 4057,3.681178481064079e-235
BLOCK 4000,7.472374580977783e-171
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,1.826586220401607e-232
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,7.726799837256284e-71
BLOCK 1056,4.872066982680811e-69
BLOCK 1057,2.8514591971964886e-84
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.3123956632027997e-32
BLOCK 2024,6.35038835098962e-30
BLOCK 3001,1.054177307955156e-32
BLOCK 3002,7.843943658762997e-32
BLOCK 3003,3.2953177482556865e-34
BLOCK 3004,6.635769293494598e-35
BLOCK 3005,4.173681575169396e-32
BLOCK 3006,1.776609312330105e-32
BLOCK 3007,1.356167504028089e-36
BLOCK 3008,2.0368123607247342e-49
BLOCK 3009,1.7670544070892725e-47
BLOCK 3018,1.6351884812554137e-42
BLOCK 3019,3.541441550880072e-70
BLOCK 3020,2.382903438515119e-88
BLOCK 3021,1.390857492084408e-75
BLOCK 3022,8.971242656104716e-80
BLOCK 3023,1.2562738449868494e-94
BLOCK 3024,1.0732152878332896e-129
BLOCK 3029,8.36282634841451e-118
BLOCK 2030,3.7772864047137854e-33
BLOCK 3000,1.5191940958212365e-38
BLOCK 3016,2.4723651747227233e-51
BLOCK 3032,7.651824493921556e-108
BLOCK 3033,5.357120540737939e-102
BLOCK 3034,1.968041329197147e-130
BLOCK 3035,1.8884893767634162e-159
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,2.563797659463982e-44
BLOCK 4004,1.3350832066593904e-52
BLOCK 4005,6.152543924588044e-147
BLOCK 4006,6.495760334382393e-115
BLOCK 4007,6.086966550938241e-124
BLOCK 4008,9.398655337812492e-72
BLOCK 4009,1.914518008692129e-70
BLOCK 4010,4.447596103768235e-64
BLOCK 4011,1.2132209068695217e-59
BLOCK 4012,6.099295999344255e-71
BLOCK 4013,1.4912224805406766e-105
BLOCK 4014,1.6684906031184794e-85
BLOCK 4015,2.025498161285628e-82
BLOCK 4016,0.0
BLOCK 4017,6.1726922338847805e-83
BLOCK 4018,5.393235643576209e-173
BLOCK 4019,1.0123052696408135e-119
BLOCK 4020,3.3225540146129116e-70
BLOCK 4021,2.461702835385964e-114
BLOCK 4022,0.0
BLOCK 4023,1.3798297441299467e-193
BLOCK 4024,1.29652502742678e-200
BLOCK 4025,8.377268453006934e-224
BLOCK 4026,3.899733419586161e-211
BLOCK 4027,2.8372571521433533e-212
BLOCK 4028,3.1481192366553098e-201
BLOCK 4029,1.4214376263086602e-171
BLOCK 4030,1.2985798682372317e-189
BLOCK 4031,2.4446166330000652e-178
BLOCK 4032,1.3906510378768055e-244
BLOCK 4033,4.740292548163477e-196
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,7.861546491871504e-241
BLOCK 4035,9.720548052017285e-241
BLOCK 4036,1.244598099070508e-234
BLOCK 4037,3.896743687910806e-240
BLOCK 4038,2.22960082667787e-288
BLOCK 4039,3.131318299616108e-290
BLOCK 4040,0.0
BLOCK 4041,1.823040425593218e-257
BLOCK 4042,8.85925293592186e-291
BLOCK 4043,1.1800625047014188e-267
BLOCK 4044,4.890946838817229e-233
BLOCK 4045,1.3744578419636477e-215
BLOCK 4046,4.592158934150571e-204
BLOCK 4048,8.384949445234183e-158
BLOCK 4049,2.025995523072543e-164
BLOCK 4050,6.287609913959933e-156
BLOCK 4051,2.9887714156136987e-202
BLOCK 4052,1.5513195663889262e-206
BLOCK 4053,1.712581777951184e-207
BLOCK 4054,1.8027468342207342e-212
BLOCK 4055,2.4504614237426747e-216
BLOCK 4056,1.7048579005940933e-245
BLOCK 4058,7.851800215568424e-221
BLOCK 4059,9.197212410413338e-219
BLOCK 4061,1.1476650378853263e-276
BLOCK 4062,1.5111810869986334e-267
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.733037232591236e-28
BLOCK 2032,1.7883735459330865e-26
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.9837697503972574e-40
BLOCK 2058,3.245453843058446e-30
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,8.220739075985003e-263
BLOCK 4064,6.449637849273115e-253
BLOCK 4065,0.0
