,PM2.5 Cumulative Hazard Index PAC3
BLOCK 3038,3.0937977049972467e-28
BLOCK 4002,1.5749058736822563e-60
BLOCK 4003,1.4864529093196265e-37
BLOCK 4004,5.683121462190341e-38
BLOCK 4005,2.406130923229585e-55
BLOCK 4006,1.5080475577211445e-56
BLOCK 4007,9.713307556114524e-51
BLOCK 4008,1.1171018678059566e-35
BLOCK 4009,2.353893030481011e-37
BLOCK 4010,8.019849906886934e-38
BLOCK 4011,2.5625550384130114e-39
BLOCK 4012,8.95382015000051e-39
BLOCK 4013,9.158096572568641e-36
BLOCK 4014,3.996823887712503e-37
BLOCK 4015,9.81214461933403e-37
BLOCK 4016,4.5601021015787635e-204
BLOCK 4017,1.3828454081147754e-37
BLOCK 4018,1.0805675454439518e-45
BLOCK 4019,1.0633761536307214e-37
BLOCK 4020,1.6172763264798298e-40
BLOCK 4021,1.220322008511808e-41
BLOCK 4022,0.0
BLOCK 4023,3.5405451481193445e-35
BLOCK 4024,1.1537940295699882e-35
BLOCK 4025,4.963139403924607e-37
BLOCK 4026,7.322189660707848e-39
BLOCK 4027,8.065787705700229e-41
BLOCK 4028,5.386632734738376e-40
BLOCK 4029,5.507043571734614e-40
BLOCK 4030,2.5585749895229297e-37
BLOCK 4031,9.595557157774026e-45
BLOCK 4032,3.5913782232526554e-41
BLOCK 4033,1.4101405244663981e-46
BLOCK 5000,3.764608352807287e-164
BLOCK 5001,1.5408110540411356e-152
BLOCK 5002,9.041444710610006e-142
BLOCK 5003,5.460871208829478e-133
BLOCK 5004,4.875141886937632e-120
BLOCK 5005,1.0063908529292989e-139
BLOCK 5006,1.9067078452730897e-135
BLOCK 5007,3.3924699825055504e-174
BLOCK 5008,1.5639916441223639e-173
BLOCK 5009,5.8414497423463396e-161
BLOCK 5010,1.1087985071834744e-151
BLOCK 5011,1.67076140452833e-141
BLOCK 5012,5.903863906417567e-131
BLOCK 5013,7.246797091354553e-133
BLOCK 5014,9.949063280604622e-168
BLOCK 5015,1.3579086165977346e-173
BLOCK 5016,1.1690030137921009e-126
BLOCK 5017,4.960905044831026e-164
BLOCK 5018,2.473995118229054e-176
BLOCK 5019,1.8163448864901563e-162
BLOCK 5020,1.9408047711258104e-101
BLOCK 5021,9.290241891204303e-82
BLOCK 5022,2.6021317663239377e-103
BLOCK 5023,6.178000656108834e-111
BLOCK 5024,1.9370510661087354e-142
BLOCK 5025,6.879049435766161e-231
BLOCK 5026,7.635644757330909e-116
BLOCK 5027,9.57016501138812e-63
BLOCK 5028,3.1369628000423058e-52
BLOCK 5029,2.9172475213983324e-105
BLOCK 5032,2.5556640101688416e-103
BLOCK 5033,1.4407514543129819e-77
BLOCK 5034,2.3158694902644006e-62
BLOCK 5035,9.459039541785006e-170
BLOCK 2063,6.150461449989291e-25
BLOCK 4034,4.914713479131708e-42
BLOCK 4035,2.5759539416661594e-41
BLOCK 4036,9.510272386634263e-42
BLOCK 4037,8.244779266850287e-41
BLOCK 4038,1.5138172673434183e-37
BLOCK 4039,7.19402860231734e-37
BLOCK 4040,6.063841165958458e-35
BLOCK 4041,8.819304420586652e-41
BLOCK 4042,5.490512670889208e-38
BLOCK 4043,9.546956215334608e-41
BLOCK 4044,8.938618904377321e-44
BLOCK 4045,1.4860036049860983e-46
BLOCK 4046,9.704729610437287e-47
BLOCK 4048,3.0383992078943676e-49
BLOCK 4049,1.7671818135786202e-50
BLOCK 4050,8.713936238576418e-52
BLOCK 4051,3.033428669817837e-50
BLOCK 4052,2.6889491349843647e-48
BLOCK 4053,1.0269335591727705e-47
BLOCK 4054,1.8780455422904547e-46
BLOCK 4055,4.492685475739527e-46
BLOCK 4056,2.810642431625406e-44
BLOCK 4058,1.7344140319517959e-46
BLOCK 4059,1.6879035311146498e-46
BLOCK 4061,4.2704176559871357e-41
BLOCK 4062,8.823429366059817e-42
BLOCK 2035,3.2565326191508757e-22
BLOCK 2037,1.8470421922315208e-23
BLOCK 2038,2.04849381142048e-24
BLOCK 2040,2.364696894140525e-23
BLOCK 2041,1.3555136744184013e-19
BLOCK 2042,1.5180266099737108e-19
BLOCK 2043,2.2137432389925016e-19
BLOCK 2044,2.4519626552236717e-19
BLOCK 1045,1.159343603330975e-19
BLOCK 1047,1.4155104653958656e-20
BLOCK 1041,6.321852253221557e-23
BLOCK 1042,7.618701042764438e-21
BLOCK 1043,1.738805127607572e-20
BLOCK 1044,1.4246942653954227e-19
BLOCK 1046,1.6852208925191197e-19
BLOCK 2033,9.734376562512571e-21
BLOCK 2045,2.0294901230510204e-19
BLOCK 2046,2.0291989000621324e-19
BLOCK 2047,2.3122200450495546e-19
BLOCK 2048,2.5939908318463284e-19
BLOCK 2049,2.6730208144013946e-19
BLOCK 2050,2.7500747209419847e-19
BLOCK 2052,2.524932843416333e-19
BLOCK 2062,1.5258970509704677e-22
BLOCK 2031,1.7725022736613793e-36
BLOCK 2032,5.595012616340283e-35
BLOCK 2034,3.750665920046052e-23
BLOCK 2036,4.171390089917058e-23
BLOCK 2039,2.70085259082538e-21
BLOCK 2053,2.728733365433575e-19
BLOCK 2057,1.404623284722022e-36
BLOCK 2058,1.9881713758583227e-37
BLOCK 2065,3.7758773565493004e-20
BLOCK 2066,6.469338791984031e-20
BLOCK 2067,1.650936997094704e-24
BLOCK 4063,1.810552472397132e-42
BLOCK 4064,5.303974561876639e-44
BLOCK 4065,5.338213440915906e-35
