,PM10 Cumulative Hazard Index PAC2
BLOCK 1030,3.7498006754746736e-25
BLOCK 1033,3.142541094492972e-22
BLOCK 1035,8.80974537814985e-21
BLOCK 1037,1.6867190212190256e-20
BLOCK 1038,3.126081873760034e-22
BLOCK 2009,4.262557040423618e-28
BLOCK 2013,4.238184938029634e-21
BLOCK 2008,8.52696783721767e-26
BLOCK 1009,9.884646228309748e-47
BLOCK 1016,2.5278339445801925e-19
BLOCK 1020,1.686315721295331e-28
BLOCK 1026,3.6660214693925e-28
BLOCK 1027,4.1239395211041443e-22
BLOCK 1028,9.059475928176451e-25
BLOCK 1029,3.1696532957400842e-27
BLOCK 1039,4.267140645829753e-23
BLOCK 1040,8.145455964168047e-24
BLOCK 1052,1.0641716444408015e-19
BLOCK 1054,1.7923800440889619e-19
BLOCK 2025,3.261438710610286e-22
BLOCK 2028,2.083778149616485e-23
BLOCK 2029,7.956017169118896e-23
BLOCK 1005,3.7075326066413135e-41
BLOCK 1006,8.519609641378237e-45
BLOCK 1007,1.630911416652503e-50
BLOCK 1008,2.3716673315368643e-57
BLOCK 1011,1.4086470275058705e-37
BLOCK 1024,1.7940082306439102e-28
BLOCK 1025,3.518840600645667e-26
BLOCK 3010,1.820222017961101e-59
BLOCK 3011,2.96797266833106e-58
BLOCK 3012,5.330129495938933e-53
BLOCK 3013,1.1736014634717843e-52
BLOCK 3014,2.3831772905690466e-46
BLOCK 3015,4.484248597405861e-48
BLOCK 3017,4.760021960029177e-42
BLOCK 3025,2.404515470563319e-50
BLOCK 3026,2.894139812516692e-53
BLOCK 3027,5.626028282443241e-69
BLOCK 3028,2.1446126644296828e-74
BLOCK 3030,9.761264908355557e-62
BLOCK 3031,7.234173610760036e-77
BLOCK 4047,7.357071511510258e-50
BLOCK 4057,3.104887420719542e-45
BLOCK 4000,6.16510151857779e-77
BLOCK 4001,3.3435946374710246e-67
BLOCK 1000,2.00560537957741e-31
BLOCK 1001,7.136120303216252e-33
BLOCK 1002,4.136850946603646e-34
BLOCK 1003,1.291692134497716e-34
BLOCK 1004,1.7196999835962611e-19
BLOCK 1010,8.804584436430563e-20
BLOCK 1017,1.525182875981444e-26
BLOCK 1018,1.559930311682704e-29
BLOCK 1019,5.678011308482038e-29
BLOCK 2000,9.203653720312917e-20
BLOCK 2001,1.06711960954901e-19
BLOCK 2002,1.043937888827413e-19
BLOCK 2003,9.445212843103729e-20
BLOCK 2004,6.3704500459486355e-28
BLOCK 2005,1.8853613091522523e-31
BLOCK 2006,6.08419965032399e-32
BLOCK 2007,1.349002682195894e-31
BLOCK 2010,9.566450569692712e-30
BLOCK 2011,7.340977399035285e-20
BLOCK 2012,4.6538390262235004e-21
BLOCK 2026,8.117950170139132e-24
BLOCK 2027,1.7647992008379786e-24
BLOCK 2051,1.2348512391033724e-19
BLOCK 2054,1.1091901669619312e-19
BLOCK 2055,1.7833189077026546e-21
BLOCK 2056,2.1232720772168095e-20
BLOCK 5030,9.462584626634406e-75
BLOCK 5031,2.6179187101861818e-61
BLOCK 1012,3.197166182172389e-19
BLOCK 1013,1.8706909239637243e-114
BLOCK 1014,3.775613675213679e-180
BLOCK 1015,2.3638870414624116e-19
BLOCK 1021,1.8700227809027103e-29
BLOCK 1022,2.5097128230706774e-29
BLOCK 1023,1.1654591465050685e-23
BLOCK 1031,8.475534009517463e-24
BLOCK 1032,1.6272415340711387e-23
BLOCK 1034,9.534109364565215e-27
BLOCK 1036,2.921252157659799e-20
BLOCK 1048,1.1070847882788184e-19
BLOCK 1049,2.1996019669555222e-26
BLOCK 1050,1.0391128621361906e-23
BLOCK 1051,1.505937150709605e-19
BLOCK 1053,2.4101655011971095e-19
BLOCK 1055,1.4851600933431338e-64
BLOCK 1056,9.587017651093591e-61
BLOCK 1057,4.7546026475360217e-73
BLOCK 1058,2.65491482010279e-19
BLOCK 1059,1.5380811160520456e-20
BLOCK 1060,1.786894840770748e-30
BLOCK 1061,1.0637334253138718e-24
BLOCK 1062,5.123256301814817e-26
BLOCK 1063,1.4071791614782838e-23
BLOCK 1064,2.242653074123696e-22
BLOCK 1065,8.109272381539358e-42
BLOCK 1066,2.2721490349499744e-31
BLOCK 1067,1.6354991484018717e-46
BLOCK 3039,1.1429774531243984e-29
BLOCK 3040,1.7594154082555527e-29
BLOCK 3041,9.01259454455846e-30
BLOCK 3042,2.971073687178759e-29
