,ethyl_acryl_80 Cumulative Hazard Index PAC2
BLOCK 1030,5.69142715289708e-07
BLOCK 1033,2.8495287700341516e-07
BLOCK 1035,2.1032515995184898e-07
BLOCK 1037,2.0989109580493328e-07
BLOCK 1038,2.6950263118943155e-07
BLOCK 2009,5.72607666446874e-07
BLOCK 2013,2.7553843441539646e-06
BLOCK 2008,5.742745200653152e-07
BLOCK 1009,1.90426326673927e-06
BLOCK 1016,1.881464131292738e-06
BLOCK 1020,5.903441695267741e-07
BLOCK 1026,5.768557802419946e-07
BLOCK 1027,3.4671140577643606e-07
BLOCK 1028,7.50227029830164e-07
BLOCK 1029,1.2694364703793772e-06
BLOCK 1039,3.4789132666702767e-07
BLOCK 1040,5.49071310886973e-07
BLOCK 1052,1.0568383697644654e-06
BLOCK 1054,1.3566588714659804e-06
BLOCK 2025,2.5763710994757154e-07
BLOCK 2028,1.1961934319548175e-06
BLOCK 2029,1.254359407485059e-06
BLOCK 1005,1.1410369185349096e-06
BLOCK 1006,2.6359068325296906e-06
BLOCK 1007,2.281042885656168e-06
BLOCK 1008,2.7337725712953554e-06
BLOCK 1011,9.237693932328775e-07
BLOCK 1024,5.846745428462733e-07
BLOCK 1025,6.337232800528691e-07
BLOCK 3010,5.938760413746428e-06
BLOCK 3011,5.665909685253909e-06
BLOCK 3012,3.3450581740604994e-06
BLOCK 3013,1.3972212686731381e-06
BLOCK 3014,1.4089615493744662e-06
BLOCK 3015,3.8810910772893066e-07
BLOCK 3017,5.361833989973011e-07
BLOCK 3025,1.1496779190799377e-06
BLOCK 3026,2.911216435979571e-07
BLOCK 3027,1.1479343428517648e-06
BLOCK 3028,6.558789599778893e-06
BLOCK 3030,3.84136136020753e-07
BLOCK 3031,7.031977651294321e-07
BLOCK 4047,1.450411626963413e-06
BLOCK 4057,1.4807029145046502e-06
BLOCK 4000,1.459827803555129e-14
BLOCK 4001,1.4830894956211366e-06
BLOCK 1000,4.178973860253145e-07
BLOCK 1001,4.117357409105849e-07
BLOCK 1002,5.485091515199352e-07
BLOCK 1003,7.149039411530329e-07
BLOCK 1004,1.4645362217019384e-06
BLOCK 1010,2.3473693007165337e-06
BLOCK 1017,9.84992491759502e-07
BLOCK 1018,6.748873663776219e-07
BLOCK 1019,5.804895283302336e-07
BLOCK 2000,9.134439057446167e-07
BLOCK 2001,1.1556345608801627e-06
BLOCK 2002,1.2192232236659432e-06
BLOCK 2003,1.1371239542006381e-06
BLOCK 2004,5.580948704365032e-07
BLOCK 2005,3.790760266837581e-07
BLOCK 2006,3.5718136580733876e-07
BLOCK 2007,3.777473472704709e-07
BLOCK 2010,4.828291076754008e-07
BLOCK 2011,1.1661190773519325e-06
BLOCK 2012,2.0331214492112532e-06
BLOCK 2026,4.141727480801291e-07
BLOCK 2027,4.824577065839957e-07
BLOCK 2051,1.400986062275734e-06
BLOCK 2054,1.4212529743385154e-06
