,ethyl_acryl_20 Cumulative Hazard Index PAC3
BLOCK 1030,1.1255035402809516e-07
BLOCK 1033,5.635062406400724e-08
BLOCK 1035,4.159268067157224e-08
BLOCK 1037,4.1506842669795464e-08
BLOCK 1038,5.3295273289114586e-08
BLOCK 2009,1.1323556262156814e-07
BLOCK 2013,5.448887863918999e-07
BLOCK 2008,1.1356518990103378e-07
BLOCK 1009,3.765760310664874e-07
BLOCK 1016,3.7206740660884944e-07
BLOCK 1020,1.1674303033965562e-07
BLOCK 1026,1.1407564490453149e-07
BLOCK 1027,6.856363161189381e-08
BLOCK 1028,1.4836053513546267e-07
BLOCK 1029,2.510363750938063e-07
BLOCK 1039,6.879696590642761e-08
BLOCK 1040,1.0858114980096389e-07
BLOCK 1052,2.089942108929893e-07
BLOCK 1054,2.6828496996773074e-07
BLOCK 2025,5.0948816801800206e-08
BLOCK 2028,2.3655225769527034e-07
BLOCK 2029,2.4805482280319044e-07
BLOCK 1005,2.2564482631541703e-07
BLOCK 1006,5.212616084091987e-07
BLOCK 1007,4.5108577767385895e-07
BLOCK 1008,5.406149678555895e-07
BLOCK 1011,1.8267926383939646e-07
BLOCK 1024,1.1562183793403422e-07
BLOCK 1025,1.2532143100432994e-07
BLOCK 3010,1.174414727798037e-06
BLOCK 3011,1.1204573542541702e-06
BLOCK 3012,6.61499254266026e-07
BLOCK 3013,2.763063537845652e-07
BLOCK 3014,2.7862804343080963e-07
BLOCK 3015,7.675020043818733e-08
BLOCK 3017,1.060325112839495e-07
BLOCK 3025,2.273536203390826e-07
BLOCK 3026,5.7570523476721296e-08
BLOCK 3027,2.2700882084242898e-07
BLOCK 3028,1.2970280943948201e-06
BLOCK 3030,7.596452865449181e-08
BLOCK 3031,1.3906030120546487e-07
BLOCK 4047,2.868249697584238e-07
BLOCK 4057,2.9281519865030673e-07
BLOCK 4000,2.886870580897297e-15
BLOCK 4001,2.93287155054845e-07
BLOCK 1000,8.264095714661471e-08
BLOCK 1001,8.142246603633967e-08
BLOCK 1002,1.084699804332807e-07
BLOCK 1003,1.413752465089479e-07
BLOCK 1004,2.8961816748478866e-07
BLOCK 1010,4.6420210385341586e-07
BLOCK 1017,1.9478638781507816e-07
BLOCK 1018,1.3346180136246708e-07
BLOCK 1019,1.1479423379760378e-07
BLOCK 2000,1.806373554724855e-07
BLOCK 2001,2.2853157118589697e-07
BLOCK 2002,2.411064953946162e-07
BLOCK 2003,2.2487102124106505e-07
BLOCK 2004,1.1036559646892533e-07
BLOCK 2005,7.496387085461159e-08
BLOCK 2006,7.063411002878481e-08
BLOCK 2007,7.470111893960342e-08
BLOCK 2010,9.548147686696458e-08
BLOCK 2011,2.30604928199894e-07
BLOCK 2012,4.020582759710117e-07
BLOCK 2026,8.190439440392249e-08
BLOCK 2027,9.540803074668394e-08
BLOCK 2051,2.7705085747657694e-07
BLOCK 2054,2.8105872416175643e-07
BLOCK 2055,5.582783138068476e-07
BLOCK 2056,5.345500503034075e-07
BLOCK 5030,2.6480630646127992e-17
BLOCK 5031,4.342119319490665e-14
BLOCK 1012,3.614175450355616e-07
BLOCK 1013,1.3059635815139872e-06
BLOCK 1014,2.114835243781754e-07
BLOCK 1015,3.876163029553962e-07
BLOCK 1021,1.0444488478391994e-07
BLOCK 1022,1.0371736294743464e-07
BLOCK 1023,9.648687805936719e-08
BLOCK 1031,8.535588776010558e-08
BLOCK 1032,8.204941350952221e-08
BLOCK 1034,1.5202716826353817e-07
BLOCK 1036,4.659998908046842e-08
BLOCK 1048,1.4900013161895513e-07
BLOCK 1049,1.3176558502833986e-07
BLOCK 1050,9.00958399747635e-08
BLOCK 1051,2.7594585488225843e-07
BLOCK 1053,2.491278793847756e-07
BLOCK 1055,2.1218249171444166e-17
BLOCK 1056,6.801200415365374e-20
BLOCK 1057,2.7023721092978256e-20
BLOCK 1058,2.6376848940206077e-07
BLOCK 1059,4.0749241431288726e-08
BLOCK 1060,4.4333071346748884e-07
BLOCK 1061,5.522934940207033e-07
BLOCK 1062,9.408435993948604e-07
BLOCK 1063,3.6453923205786694e-07
BLOCK 1064,3.322488771883248e-07
BLOCK 1065,1.666705571988722e-07
BLOCK 1066,5.180759253896718e-07
BLOCK 1067,1.227285458105029e-07
BLOCK 3039,7.170838861480219e-07
BLOCK 3040,5.048734218300468e-07
BLOCK 3041,4.554219131990432e-07
BLOCK 3042,5.674931601573451e-07
