,butyl_acryl Cumulative Hazard Index PAC2
BLOCK 1030,9.353352126821047e-07
BLOCK 1033,4.634338553300274e-07
BLOCK 1035,3.395143734932758e-07
BLOCK 1037,3.38626326686462e-07
BLOCK 1038,4.391777148003311e-07
BLOCK 2009,9.374242738687165e-07
BLOCK 2013,4.414848107543666e-06
BLOCK 2008,9.443298453935345e-07
BLOCK 1009,3.0593707430434318e-06
BLOCK 1016,3.042967574908422e-06
BLOCK 1020,9.645240677804278e-07
BLOCK 1026,9.44014891683659e-07
BLOCK 1027,5.581297915300568e-07
BLOCK 1028,1.2144415970045026e-06
BLOCK 1029,2.0525983834630172e-06
BLOCK 1039,5.701011513390099e-07
BLOCK 1040,8.809789971063591e-07
BLOCK 1052,1.7011661370616492e-06
BLOCK 1054,2.186374524627014e-06
BLOCK 2025,4.203408213080255e-07
BLOCK 2028,1.9216303164516983e-06
BLOCK 2029,2.0158972596522547e-06
BLOCK 1005,1.8289243269772769e-06
BLOCK 1006,4.206245166553012e-06
BLOCK 1007,3.644040564974385e-06
BLOCK 1008,4.38588015829112e-06
BLOCK 1011,1.5636400982243605e-06
BLOCK 1024,9.55548933889577e-07
BLOCK 1025,1.039310258572443e-06
BLOCK 3010,1.0097811517541466e-05
BLOCK 3011,9.644819774363258e-06
BLOCK 3012,5.6354084550097605e-06
BLOCK 3013,2.337121469011482e-06
BLOCK 3014,2.3521344095149546e-06
BLOCK 3015,6.410803292738042e-07
BLOCK 3017,9.050315641778009e-07
BLOCK 3025,1.863253328912424e-06
BLOCK 3026,4.705400792403825e-07
BLOCK 3027,1.874544633852224e-06
BLOCK 3028,1.0855364061503062e-05
BLOCK 3030,6.186314637299417e-07
BLOCK 3031,1.13071479804846e-06
BLOCK 4047,2.3462052962944077e-06
BLOCK 4057,2.3873279798546575e-06
BLOCK 4000,2.435659661664224e-14
BLOCK 4001,2.4838452181555684e-06
BLOCK 1000,6.804835775389987e-07
BLOCK 1001,6.676853144842027e-07
BLOCK 1002,8.847243654411689e-07
BLOCK 1003,1.1500119086220788e-06
BLOCK 1004,2.359959379008538e-06
BLOCK 1010,3.7834461622044763e-06
BLOCK 1017,1.5999955224156054e-06
BLOCK 1018,1.0964193384512249e-06
BLOCK 1019,9.472738683547675e-07
BLOCK 2000,1.4700891235374061e-06
BLOCK 2001,1.8600019274525217e-06
BLOCK 2002,1.962118581360475e-06
BLOCK 2003,1.8296775564881105e-06
BLOCK 2004,9.147489583974622e-07
BLOCK 2005,6.185549241487193e-07
BLOCK 2006,5.824560260822518e-07
BLOCK 2007,6.160596902676988e-07
BLOCK 2010,7.889052981540091e-07
BLOCK 2011,1.8751654250213494e-06
BLOCK 2012,3.255306519258825e-06
BLOCK 2026,6.814506734973664e-07
BLOCK 2027,7.944382363938326e-07
BLOCK 2051,2.255315760622815e-06
BLOCK 2054,2.287276227946733e-06
BLOCK 2055,4.5182914915495e-06
BLOCK 2056,4.342633256190595e-06
BLOCK 5030,2.305020704868292e-16
BLOCK 5031,3.6891654455892663e-13
BLOCK 1012,2.960938948621696e-06
BLOCK 1013,1.0529854287680298e-05
BLOCK 1014,1.7318103159821082e-06
BLOCK 1015,3.1711549307532905e-06
BLOCK 1021,8.621519677268506e-07
BLOCK 1022,8.566869759032625e-07
BLOCK 1023,7.958808112596738e-07
BLOCK 1031,7.090334547509211e-07
BLOCK 1032,6.79964335163138e-07
BLOCK 1034,1.2545429823561444e-06
BLOCK 1036,3.7993085322857217e-07
BLOCK 1048,1.2136079941650519e-06
BLOCK 1049,1.0912312978891931e-06
BLOCK 1050,7.460791277884573e-07
BLOCK 1051,2.24757167761743e-06
BLOCK 1053,2.032441529602567e-06
BLOCK 1055,1.717793278345487e-16
BLOCK 1056,5.51716985388299e-19
BLOCK 1057,5.496355856559299e-19
BLOCK 1058,2.1527410696244297e-06
BLOCK 1059,3.325275040493395e-07
BLOCK 1060,3.66307128620956e-06
BLOCK 1061,4.530737661036243e-06
BLOCK 1062,7.692264991230555e-06
BLOCK 1063,2.971263708211108e-06
BLOCK 1064,2.715065579859116e-06
BLOCK 1065,1.431575952979064e-06
BLOCK 1066,4.287455954722144e-06
