,butyl_acryl Cumulative Hazard Index PAC2
BLOCK 1030,9.186072290127577e-07
BLOCK 1033,4.5997730797334276e-07
BLOCK 1035,3.3903440658152256e-07
BLOCK 1037,3.4016991808653535e-07
BLOCK 1038,4.361770312100209e-07
BLOCK 2009,9.213928619655061e-07
BLOCK 2013,4.394480733601066e-06
BLOCK 2008,9.275852449137194e-07
BLOCK 1009,2.944793961720542e-06
BLOCK 1016,3.005500411112898e-06
BLOCK 1020,9.476944704109736e-07
BLOCK 1026,9.277890776539547e-07
BLOCK 1027,5.526178800696576e-07
BLOCK 1028,1.19788567929983e-06
BLOCK 1029,1.990216785686101e-06
BLOCK 1039,5.658348544979382e-07
BLOCK 1040,8.721992332367022e-07
BLOCK 1052,1.672933663869767e-06
BLOCK 1054,2.149156088545136e-06
BLOCK 2025,4.1757897657181797e-07
BLOCK 2028,1.908780537405435e-06
BLOCK 2029,1.9993363290340427e-06
BLOCK 1005,1.8445842407597099e-06
BLOCK 1006,4.0881500525479005e-06
BLOCK 1007,3.5895811591702137e-06
BLOCK 1008,4.202866124615657e-06
BLOCK 1011,1.5648896996409639e-06
BLOCK 1024,9.389843141788405e-07
BLOCK 1025,1.0197763280928455e-06
BLOCK 3010,9.940114165943722e-06
BLOCK 3011,9.510314033855506e-06
BLOCK 3012,5.603945947414205e-06
BLOCK 3013,2.346083454829189e-06
BLOCK 3014,2.362797389686808e-06
BLOCK 3015,6.651426412966875e-07
BLOCK 3017,9.073098846929854e-07
BLOCK 3025,1.8160530558803632e-06
BLOCK 3026,4.7224811144235156e-07
BLOCK 3027,1.8840492505716899e-06
BLOCK 3028,1.0716013038370836e-05
BLOCK 3030,6.231665927546059e-07
BLOCK 3031,1.1806323561611345e-06
BLOCK 4047,2.282925853494253e-06
BLOCK 4057,2.310187666629689e-06
BLOCK 4000,1.2676866264975908e-13
BLOCK 4001,2.4605582368604626e-06
BLOCK 1000,6.726263487642881e-07
BLOCK 1001,6.645269778592879e-07
BLOCK 1002,8.867017538036512e-07
BLOCK 1003,1.1514813744900618e-06
BLOCK 1004,2.3299552760352875e-06
BLOCK 1010,3.722316859937959e-06
BLOCK 1017,1.5588231968311344e-06
BLOCK 1018,1.0758338896086452e-06
BLOCK 1019,9.309905997695455e-07
BLOCK 2000,1.4503780657669446e-06
BLOCK 2001,1.8263475320670186e-06
BLOCK 2002,1.9251525839784453e-06
BLOCK 2003,1.797164128610784e-06
BLOCK 2004,8.993805425292712e-07
BLOCK 2005,6.116362547128291e-07
BLOCK 2006,5.768879443476195e-07
BLOCK 2007,6.094283150519939e-07
BLOCK 2010,7.770549177870743e-07
BLOCK 2011,1.8414155651243934e-06
BLOCK 2012,3.1669643612490426e-06
BLOCK 2026,6.730673358075047e-07
BLOCK 2027,7.820177660603054e-07
BLOCK 2051,2.2124153227584347e-06
BLOCK 2054,2.242872005269694e-06
BLOCK 2055,4.476416257058568e-06
BLOCK 2056,4.2854758344476045e-06
BLOCK 5030,1.5734033349229733e-15
BLOCK 5031,9.995650591289102e-13
BLOCK 1012,2.918519327926842e-06
BLOCK 1013,9.974874463144294e-06
BLOCK 1014,1.923706197022449e-06
BLOCK 1015,3.122462852233251e-06
BLOCK 1021,8.48338176033664e-07
BLOCK 1022,8.429883854492129e-07
BLOCK 1023,7.874379660503303e-07
BLOCK 1031,7.002886628754064e-07
BLOCK 1032,6.729727993089351e-07
BLOCK 1034,1.227771102100155e-06
BLOCK 1036,3.8315410691486065e-07
BLOCK 1048,1.2016277645653964e-06
BLOCK 1049,1.0700808359539816e-06
BLOCK 1050,7.373534542684269e-07
BLOCK 1051,2.2075283978668705e-06
BLOCK 1053,1.999613668948839e-06
BLOCK 1055,7.598632635872855e-16
BLOCK 1056,2.728763844628955e-18
BLOCK 1057,2.1754993145811092e-18
BLOCK 1058,2.131546473737354e-06
BLOCK 1059,3.3364697814544786e-07
BLOCK 1060,3.6886164648529445e-06
BLOCK 1061,4.609256219855518e-06
BLOCK 1062,7.639595768078679e-06
BLOCK 1063,2.9388723077807034e-06
BLOCK 1064,2.6725370494058574e-06
BLOCK 1065,1.4009800110812074e-06
BLOCK 1066,4.251224813506539e-06
BLOCK 1067,1.039227923322299e-06
BLOCK 3039,6.005290082830783e-06
BLOCK 3040,4.245255333790329e-06
BLOCK 3041,3.838065214021678e-06
BLOCK 3042,4.762158975641756e-06
BLOCK 3043,5.635612274760719e-06
BLOCK 3044,3.503305646593853e-06
BLOCK 3045,4.7964737406594285e-06
BLOCK 3046,4.9298042803861234e-06
BLOCK 3047,3.0737185908479446e-06
BLOCK 3048,3.7900426866490794e-06
BLOCK 3049,8.331259499986041e-06
BLOCK 3050,3.825130881031095e-06
BLOCK 2059,5.033538030700965e-06
BLOCK 2060,7.234410559120223e-06
BLOCK 2061,2.4429982500880876e-06
BLOCK 2064,6.308967861393566e-06
BLOCK 2014,3.7902090246157454e-06
BLOCK 2015,4.552240399226515e-06
BLOCK 2016,1.8781574373983009e-06
BLOCK 2017,2.1552724871425995e-06
BLOCK 2018,5.35739066052183e-06
BLOCK 2019,1.1507710312018891e-05
BLOCK 2020,7.753118177442684e-06
BLOCK 2021,3.801033275679562e-06
BLOCK 2022,1.5664572191619774e-05
BLOCK 2023,6.548623459785186e-07
BLOCK 2024,2.9407354880667833e-07
BLOCK 3001,2.111594738604758e-06
BLOCK 3002,2.260152571159538e-06
BLOCK 3003,2.680007310534054e-06
BLOCK 3004,7.478702969783998e-06
BLOCK 3005,4.376780657217546e-06
BLOCK 3006,4.868788372074178e-06
BLOCK 3007,5.588220530204222e-06
BLOCK 3008,9.93638627718101e-06
BLOCK 3009,1.0342768522395186e-05
BLOCK 3018,7.977304528576479e-07
BLOCK 3019,1.5357656407503412e-06
BLOCK 3020,3.59230498641763e-07
BLOCK 3021,3.1328446537145413e-07
BLOCK 3022,2.914876065798291e-07
BLOCK 3023,3.3309605449064396e-07
BLOCK 3024,1.1428059137734457e-06
BLOCK 3029,6.977038575106762e-07
BLOCK 2030,3.15654640380921e-07
BLOCK 3000,1.2344254171940997e-06
BLOCK 3016,1.2521463661104884e-06
BLOCK 3032,1.2550341768283653e-06
BLOCK 3033,6.557942727225719e-06
BLOCK 3034,1.1588372421539849e-06
BLOCK 3035,2.1183656362457206e-06
BLOCK 3036,9.377868124248848e-08
BLOCK 3037,1.2670663260157276e-07
BLOCK 3038,4.7382804571071486e-06
BLOCK 4002,6.914392509965509e-07
BLOCK 4003,6.4634317496855e-07
BLOCK 4004,1.0282754577512377e-06
BLOCK 4005,4.486214160113402e-14
BLOCK 4006,3.31102437465192e-18
BLOCK 4007,8.107139839517406e-17
BLOCK 4008,1.5205872811632416e-07
BLOCK 4009,1.6764321052329548e-07
BLOCK 4010,1.6682936093735167e-07
BLOCK 4011,2.908369152954606e-07
BLOCK 4012,1.826968174836756e-07
BLOCK 4013,3.932678698782344e-07
BLOCK 4014,1.9837512479941921e-07
BLOCK 4015,1.830326259306867e-07
BLOCK 4016,6.020946076737411e-09
BLOCK 4017,1.9402259565477172e-07
BLOCK 4018,5.170425564089409e-12
BLOCK 4019,7.354397855638893e-07
BLOCK 4020,1.9910769051823514e-07
BLOCK 4021,6.758989339785536e-07
BLOCK 4022,2.559600640711837e-07
BLOCK 4023,1.1372919490983647e-06
BLOCK 4024,1.144413695632561e-06
BLOCK 4025,1.0779762041196144e-06
BLOCK 4026,1.3336166775336687e-06
BLOCK 4027,1.4929244505626256e-06
BLOCK 4028,1.4974932526626982e-06
BLOCK 4029,1.5292702522676431e-06
BLOCK 4030,1.3211599958366057e-06
BLOCK 4031,1.9207400110515336e-06
BLOCK 4032,1.3904187779711594e-06
BLOCK 4033,2.0962364298041246e-06
BLOCK 5000,3.3666400415345237e-07
BLOCK 5001,3.196250106924116e-07
BLOCK 5002,3.232638028452776e-07
BLOCK 5003,3.249424634559076e-07
BLOCK 5004,2.9840262002212815e-07
BLOCK 5005,1.0417886127293051e-07
BLOCK 5006,1.8480600667180046e-08
BLOCK 5007,7.625371077282023e-09
BLOCK 5008,2.223240664287607e-09
BLOCK 5009,1.7184483969390658e-09
BLOCK 5010,6.564186567812014e-10
BLOCK 5011,1.0776358656701492e-09
BLOCK 5012,1.816451497226228e-09
BLOCK 5013,3.1973380695692547e-10
BLOCK 5014,2.1735639309592115e-10
BLOCK 5015,1.0857755624109077e-09
BLOCK 5016,1.8625360546404902e-11
BLOCK 5017,6.92228793712558e-10
BLOCK 5018,1.5204137319916797e-09
BLOCK 5019,8.082804081975408e-10
BLOCK 5020,2.304089116083698e-13
BLOCK 5021,1.2011102770473034e-12
BLOCK 5022,1.809058003603781e-15
BLOCK 5023,8.778838870320817e-14
BLOCK 5024,1.3048285477350399e-11
BLOCK 5025,1.2548034096314171e-09
BLOCK 5026,4.416587968104002e-12
BLOCK 5027,1.5989398104651616e-07
BLOCK 5028,1.663444603894471e-06
BLOCK 5029,1.0091787137137136e-08
BLOCK 5032,2.2410774535647162e-17
BLOCK 5033,3.804090751950063e-15
BLOCK 5034,4.4901639172905995e-08
BLOCK 5035,1.0168205154623147e-09
BLOCK 2063,2.514830961010473e-06
BLOCK 4034,1.6204570500940626e-06
BLOCK 4035,1.36448542936569e-06
BLOCK 4036,1.4139256591232955e-06
BLOCK 4037,1.2406669114626047e-06
BLOCK 4038,7.504476291024851e-07
BLOCK 4039,5.757278839483577e-07
BLOCK 4040,4.408801557781422e-07
BLOCK 4041,1.4716437718917303e-06
BLOCK 4042,9.622115872893065e-07
BLOCK 4043,1.573005271828633e-06
BLOCK 4044,2.0021164463774417e-06
BLOCK 4045,2.34165537476566e-06
