,PM10 Cumulative Hazard Index PAC3
BLOCK 3037,2.2622809161444936e-114
BLOCK 3038,5.199860122293541e-21
BLOCK 4002,1.1336831683549553e-30
BLOCK 4003,1.4659209140389318e-23
BLOCK 4004,1.1041043535136381e-23
BLOCK 4005,6.175139610782451e-34
BLOCK 4006,3.999568662368808e-37
BLOCK 4007,1.9236277947057662e-34
BLOCK 4008,5.175033657929703e-23
BLOCK 4009,1.6952468198879868e-23
BLOCK 4010,1.2324651276220042e-23
BLOCK 4011,4.534828524299842e-24
BLOCK 4012,6.5955694708173326e-24
BLOCK 4013,8.297542897714187e-23
BLOCK 4014,2.1072223123058678e-23
BLOCK 4015,2.663205960475255e-23
BLOCK 4016,1.3588793901289605e-69
BLOCK 4017,1.514896052908042e-23
BLOCK 4018,1.2265238437042205e-29
BLOCK 4019,3.219342749487816e-23
BLOCK 4020,2.0643837150349344e-24
BLOCK 4021,1.8943290305747713e-24
BLOCK 4022,8.121759034196319e-119
BLOCK 4023,2.9344461792179897e-22
BLOCK 4024,2.0996904903837687e-22
BLOCK 4025,7.790207222083692e-23
BLOCK 4026,2.4393386261000173e-23
BLOCK 4027,6.639599156574669e-24
BLOCK 4028,1.1757601590880203e-23
BLOCK 4029,1.151269855158786e-23
BLOCK 4030,7.057448833595711e-23
BLOCK 4031,4.856612108335911e-25
BLOCK 4032,1.0452492571690534e-24
BLOCK 4033,1.4562789504155756e-25
BLOCK 5000,1.2684401111978335e-57
BLOCK 5001,6.647044141527101e-55
BLOCK 5002,2.6073441523410344e-52
BLOCK 5003,3.7159420045541205e-50
BLOCK 5004,6.146173239414245e-47
BLOCK 5005,3.7418960972570844e-52
BLOCK 5006,1.2553447331360375e-51
BLOCK 5007,3.7326271339246806e-61
BLOCK 5008,1.4005161885994596e-61
BLOCK 5009,1.3336504272491798e-58
BLOCK 5010,9.623368454893855e-57
BLOCK 5011,5.276485155614618e-54
BLOCK 5012,3.1923964164735606e-51
BLOCK 5013,2.903555374293592e-52
BLOCK 5014,1.6152054273448163e-66
BLOCK 5015,2.0779604741844676e-63
BLOCK 5016,3.611290020853154e-52
BLOCK 5017,2.0100170717658154e-60
BLOCK 5018,3.774539627998936e-63
BLOCK 5019,1.659179022818025e-59
BLOCK 5020,1.2945180223059824e-46
BLOCK 5021,1.6308045848426369e-40
BLOCK 5022,4.805679335489915e-53
BLOCK 5023,1.4524164454162877e-52
BLOCK 5024,1.590595662702817e-61
BLOCK 5025,3.229306332011199e-84
BLOCK 5026,7.333591546615403e-50
BLOCK 5027,5.687391318189303e-35
BLOCK 5028,1.1263872408529358e-34
BLOCK 5029,2.892276432793616e-46
BLOCK 5032,4.9504929190672584e-58
BLOCK 5033,8.335171520538176e-41
BLOCK 5034,5.497531588403185e-32
BLOCK 5035,1.8238420461171412e-63
BLOCK 2063,6.093937900300318e-20
BLOCK 4034,2.86552699276082e-25
BLOCK 4035,1.7880607464361677e-24
BLOCK 4036,2.123694423800977e-24
BLOCK 4037,4.859700197456955e-24
BLOCK 4038,6.713972697929076e-24
BLOCK 4039,5.1151166742968865e-23
BLOCK 4040,7.992426573361005e-23
BLOCK 4041,1.8101239886155915e-25
BLOCK 4042,6.2313445836843705e-25
BLOCK 4043,3.553628424307232e-26
BLOCK 4044,4.367675516544953e-26
BLOCK 4045,1.394935501184761e-26
BLOCK 4046,9.315921245984339e-26
BLOCK 4048,2.098924068519266e-26
BLOCK 4049,9.639420920355911e-27
BLOCK 4050,3.698741101918185e-27
BLOCK 4051,1.5131929310213276e-27
BLOCK 4052,7.208568906533442e-27
BLOCK 4053,1.3037930889114154e-26
BLOCK 4054,2.9842031450210345e-26
BLOCK 4055,2.4649916605192992e-26
BLOCK 4056,2.5448694469104487e-27
BLOCK 4058,5.876736313066192e-27
BLOCK 4059,8.372004484515339e-27
BLOCK 4061,5.272973003575574e-27
BLOCK 4062,5.534102722569316e-27
BLOCK 2035,1.6372792232372847e-18
BLOCK 2037,8.392105567322099e-19
BLOCK 2038,5.660501509972965e-19
BLOCK 2040,3.610757379907548e-20
BLOCK 2041,6.5676925369717874e-18
BLOCK 2042,6.5963536301929345e-18
BLOCK 2043,5.882737638705969e-18
BLOCK 2044,5.971559662758843e-18
BLOCK 1045,2.566037327736491e-18
BLOCK 1047,3.5691594037087724e-19
BLOCK 1041,5.194457041779716e-20
BLOCK 1042,6.874672105242992e-19
BLOCK 1043,1.6111047600988698e-18
BLOCK 1044,3.3726595698947417e-18
BLOCK 1046,3.735914986887564e-18
BLOCK 2033,3.9713627317747674e-18
BLOCK 2045,5.0397990362301554e-18
BLOCK 2046,4.788728631629757e-18
BLOCK 2047,5.279106129745037e-18
BLOCK 2048,5.7397917365911124e-18
BLOCK 2049,5.593395779277489e-18
BLOCK 2050,5.452194496546119e-18
BLOCK 2052,6.443704194847709e-18
BLOCK 2062,3.0235395128646774e-19
BLOCK 2031,6.568805502761641e-23
BLOCK 2032,1.9963170942602197e-22
BLOCK 2034,7.97087897216174e-19
BLOCK 2036,1.143948521626127e-18
BLOCK 2039,1.4523659937049533e-18
BLOCK 2053,6.130042323809132e-18
BLOCK 2057,2.81852250396911e-23
BLOCK 2058,2.9339835894665463e-23
BLOCK 2065,4.8377070835354754e-18
BLOCK 2066,4.674693155942433e-18
BLOCK 2067,3.060191418040598e-19
BLOCK 4063,3.425542535261783e-27
BLOCK 4064,1.3084550602366777e-27
BLOCK 4065,8.891067508857845e-23
