,Total Dioxin 80% Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.755146961705271e-159
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,3.1968829754854255e-221
BLOCK 1006,0.0
BLOCK 1007,6.0061001140752396e-207
BLOCK 1008,4.7474892025074594e-130
BLOCK 1011,2.0187541294986662e-15
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,2.4721455201448338e-18
BLOCK 3011,5.407857422298709e-18
BLOCK 3012,1.3299183354367092e-16
BLOCK 3013,8.112689581999451e-19
BLOCK 3014,1.2775472434940526e-15
BLOCK 3015,1.0613884984013014e-25
BLOCK 3017,2.384039901970283e-23
BLOCK 3025,5.237570205351797e-99
BLOCK 3026,8.787385667208001e-64
BLOCK 3027,9.816661577610743e-28
BLOCK 3028,1.4856220449931182e-22
BLOCK 3030,2.522450398721418e-65
BLOCK 3031,2.348421902335519e-27
BLOCK 4047,3.959806788078527e-124
BLOCK 4057,1.2246404947757019e-154
BLOCK 4000,4.4808949244454554e-220
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,4.8098743e-317
BLOCK 1002,8.538490700939342e-290
BLOCK 1003,2.7755169490019163e-297
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.803285995590514e-161
BLOCK 1014,1.422007834776694e-72
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.8298956192299072e-75
BLOCK 1056,1.4578691393894284e-83
BLOCK 1057,1.1231658687513083e-89
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,3.6379026020730434e-156
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,4.343960511705739e-19
BLOCK 2024,3.2056252231734046e-16
BLOCK 3001,1.838413621654275e-15
BLOCK 3002,1.467041281945832e-14
BLOCK 3003,1.3871630838792025e-15
BLOCK 3004,1.5523723322743884e-14
BLOCK 3005,5.947329942680223e-14
BLOCK 3006,1.2725893156658593e-14
BLOCK 3007,1.5893368527593326e-15
BLOCK 3008,1.1014103474506371e-18
BLOCK 3009,3.799048547205435e-18
BLOCK 3018,1.4045131266536795e-23
BLOCK 3019,5.154046049814346e-33
BLOCK 3020,9.610717713763179e-51
BLOCK 3021,1.2671325497171957e-43
BLOCK 3022,3.566259700746054e-48
BLOCK 3023,1.0286026128011022e-61
BLOCK 3024,1.5389964387932267e-82
BLOCK 3029,1.9850297474253595e-70
BLOCK 2030,2.9365002702602225e-17
BLOCK 3000,6.209077693190463e-21
BLOCK 3016,7.977268296869654e-30
BLOCK 3032,1.8116902098662063e-46
BLOCK 3033,1.257620356788047e-33
BLOCK 3034,3.4125058425140243e-82
BLOCK 3035,9.054780027258901e-92
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.665999686877006e-27
BLOCK 4004,2.9309450697034597e-34
BLOCK 4005,8.57022152386126e-237
BLOCK 4006,1.1738803660905935e-177
BLOCK 4007,1.0219506624308887e-208
BLOCK 4008,1.7099506131658036e-52
BLOCK 4009,7.97781269586744e-50
BLOCK 4010,4.654995342517136e-44
BLOCK 4011,3.972928538630772e-39
BLOCK 4012,5.709880776932807e-49
BLOCK 4013,1.0738911229117276e-80
BLOCK 4014,1.1450694765910123e-62
BLOCK 4015,1.7296883007777986e-60
BLOCK 4016,0.0
BLOCK 4017,4.611999448745431e-60
BLOCK 4018,0.0
BLOCK 4019,9.689754816150262e-90
BLOCK 4020,7.320441104140253e-47
BLOCK 4021,8.072608454144999e-81
BLOCK 4022,0.0
BLOCK 4023,8.205553133374232e-154
BLOCK 4024,1.4532832247911918e-158
BLOCK 4025,2.148257078543909e-174
BLOCK 4026,1.7871077486032495e-160
BLOCK 4027,1.712706924060125e-157
BLOCK 4028,1.527189003920504e-150
BLOCK 4029,1.6342716365245253e-127
BLOCK 4030,2.0001252249407332e-146
BLOCK 4031,3.364663147312481e-125
BLOCK 4032,1.2212234265150376e-176
BLOCK 4033,2.716966438037291e-135
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,8.391591050167113e-170
BLOCK 4035,1.980360782197607e-175
BLOCK 4036,2.7088925091490944e-171
BLOCK 4037,3.2140570586806783e-178
BLOCK 4038,2.928464301983983e-217
BLOCK 4039,2.5116956401924796e-227
BLOCK 4040,2.6003140327202658e-269
BLOCK 4041,1.1891793055647468e-180
BLOCK 4042,9.615040685204152e-210
BLOCK 4043,7.342459967763737e-183
BLOCK 4044,9.689479166629397e-159
BLOCK 4045,1.6257412898107803e-143
BLOCK 4046,5.571470452292765e-140
BLOCK 4048,3.918289142416474e-104
BLOCK 4049,2.649359696722641e-107
BLOCK 4050,8.434716386700643e-100
BLOCK 4051,2.152538616301218e-129
BLOCK 4052,1.0381234398474496e-135
BLOCK 4053,9.950718676842327e-138
BLOCK 4054,3.5204671114117057e-143
BLOCK 4055,1.9739052930736458e-145
BLOCK 4056,8.506976315217046e-160
BLOCK 4058,4.707727852762946e-145
BLOCK 4059,1.7527728585723696e-144
BLOCK 4061,3.076692887782388e-183
BLOCK 4062,4.364335706321238e-177
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,3.36720807448455e-14
BLOCK 2032,2.7190386035706164e-13
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,1.106615810287961e-24
BLOCK 2058,3.3715252067918067e-15
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.979090441576046e-172
BLOCK 4064,4.664275068876298e-163
BLOCK 4065,1.2464650787629993e-268
