,Community Level Hazard Index PAC1,Community Level Hazard Index PAC2,Community Level Hazard Index PAC3
Total Vinyl Chloride,1.636651624773494e-20,3.3788936769517292e-21,8.728808665458633e-22
Total HCl 100%,2.412121771073175e-08,1.9735541763325976e-09,4.341819187931715e-10
Total HCl 52%,1.2543048779601457e-08,1.0262494456037556e-09,2.2577487803282622e-10
Total HCl 20%,4.824226590913868e-09,3.9470944834749833e-10,8.683607863644962e-11
Total Phosgene 7,0.0003741243622766851,3.429473320869614e-05,1.3717893283478457e-05
Total Phosgene 0.7,3.7412714445998985e-05,3.429498824216573e-06,1.3717995296866297e-06
Total Phosgene 0.07,3.7413409991825147e-06,3.429562582583972e-07,1.3718250330335888e-07
ethyl_acryl_100,0.12139165197642038,0.015348369790122114,0.012139165197642037
ethyl_acryl_80,0.09711067803470821,0.012278361590595293,0.009711067803470821
ethyl_acryl_50,0.060695825988210154,0.0076741848950610545,0.006069582598821015
ethyl_acryl_20,0.024280973941712095,0.003070008199526817,0.0024280973941712093
butyl_acryl,0.3232181854381611,0.0204387970203543,0.00555935278953637
PM2.5,1.1982492936444896e-14,1.1982492936444896e-14,1.1982492936444896e-14
PM10,6.739966329006329e-15,5.391973063205062e-15,5.391973063205062e-15
Total Dioxin 20%,5.92955763307717e-11,5.506017802143085e-12,9.068735203529787e-13
Total Dioxin 50%,1.4714087459860036e-10,1.3663081212727175e-11,2.250389846802123e-12
Total Dioxin 80%,2.3718230532311053e-10,2.2024071208574548e-11,3.6274940814122777e-12
Total Dioxin 100%,2.9647788165389005e-10,2.753008901071836e-11,4.534367601765377e-12
