,PM2.5 Cumulative Hazard Index PAC3
BLOCK 1030,2.690786758950598e-22
BLOCK 1033,3.357859667693519e-20
BLOCK 1035,7.053153930274224e-19
BLOCK 1037,1.1955552554406156e-18
BLOCK 1038,2.6214376255570777e-20
BLOCK 2009,3.5950287590707275e-22
BLOCK 2013,7.654498622853289e-18
BLOCK 2008,4.315173349641437e-22
BLOCK 1009,6.457343614098777e-30
BLOCK 1016,1.6106127960339386e-17
BLOCK 1020,1.8400167787579858e-22
BLOCK 1026,3.1646596427204426e-22
BLOCK 1027,2.0134822860291276e-19
BLOCK 1028,2.6516285350123973e-21
BLOCK 1029,3.574017423939011e-23
BLOCK 1039,4.098685086024107e-21
BLOCK 1040,6.768142047192186e-20
BLOCK 1052,9.86281521145887e-18
BLOCK 1054,1.4044666593780532e-17
BLOCK 2025,2.3438599399176476e-20
BLOCK 2028,5.347432671462006e-20
BLOCK 2029,1.2758141039297094e-19
BLOCK 1005,2.0472605024448456e-31
BLOCK 1006,5.1903675587004505e-31
BLOCK 1007,6.632093630851953e-38
BLOCK 1008,1.7207498572035687e-33
BLOCK 1011,2.746355939222227e-22
BLOCK 1024,2.0959024336493968e-22
BLOCK 1025,1.9044479173067683e-22
BLOCK 3010,6.51085477217809e-29
BLOCK 3011,1.5897052714540798e-28
BLOCK 3012,5.740725848102428e-27
BLOCK 3013,2.5871595818078216e-27
BLOCK 3014,4.0230015376320575e-25
BLOCK 3015,2.949761996194578e-26
BLOCK 3017,2.2791879722681013e-24
BLOCK 3025,2.091356098286826e-26
BLOCK 3026,8.935563677787052e-28
BLOCK 3027,7.88115292966952e-33
BLOCK 3028,9.600975186891672e-34
BLOCK 3030,1.8675179482850607e-30
BLOCK 3031,3.20836470747324e-35
BLOCK 4047,3.334914452416167e-26
BLOCK 4057,5.3090150790923934e-27
BLOCK 4000,4.279693935837751e-40
BLOCK 4001,7.890219348490377e-32
BLOCK 1000,1.2116249093202709e-22
BLOCK 1001,1.2300890492479364e-23
BLOCK 1002,7.521504402893205e-26
BLOCK 1003,1.0661216749587813e-27
BLOCK 1004,1.524967277119228e-17
BLOCK 1010,1.353347866008253e-17
BLOCK 1017,2.020740548002771e-23
BLOCK 1018,1.1244703226754613e-23
BLOCK 1019,1.3324241903524238e-22
BLOCK 2000,8.602028915148373e-18
BLOCK 2001,1.0486100318455262e-17
BLOCK 2002,1.081593171791526e-17
BLOCK 2003,1.0005463435109121e-17
BLOCK 2004,5.284494643551532e-22
BLOCK 2005,3.5029804137945016e-22
BLOCK 2006,2.890537043502813e-22
BLOCK 2007,2.819639702465419e-22
BLOCK 2010,3.683300294165102e-22
BLOCK 2011,9.451171471523975e-18
BLOCK 2012,6.021954916176369e-18
BLOCK 2026,9.870063021397647e-22
BLOCK 2027,5.363053250512379e-22
BLOCK 2051,1.2704352831317313e-17
BLOCK 2054,1.2412760315367416e-17
BLOCK 2055,6.105580425321177e-18
BLOCK 2056,1.0688960023284405e-17
BLOCK 5030,9.263452893363562e-41
BLOCK 5031,3.21494818356389e-34
BLOCK 1012,1.550508418335449e-17
BLOCK 1013,7.910445944583705e-63
BLOCK 1014,8.230862226970926e-69
BLOCK 1015,1.487047515613774e-17
BLOCK 1021,2.0560226546049432e-22
BLOCK 1022,2.6202175571521575e-22
BLOCK 1023,2.9966687165411037e-21
BLOCK 1031,1.0188424791418722e-21
BLOCK 1032,2.017118609270289e-21
BLOCK 1034,2.4142537919349791e-23
BLOCK 1036,1.969593582869897e-18
BLOCK 1048,8.013071127644153e-18
BLOCK 1049,1.175211114588962e-22
BLOCK 1050,1.5587759332786954e-21
BLOCK 1051,1.3559451947413097e-17
BLOCK 1053,1.4535614732223774e-17
BLOCK 1055,7.158642645348807e-38
BLOCK 1056,2.591403945212528e-38
BLOCK 1057,1.3708156428279264e-42
BLOCK 1058,1.6495084241395825e-17
BLOCK 1059,1.0773092284713482e-18
BLOCK 1060,1.494746793934124e-25
BLOCK 1061,1.469774720518389e-21
BLOCK 1062,3.300848642336537e-22
BLOCK 1063,1.0370224598410362e-19
BLOCK 1064,3.471439547365487e-19
BLOCK 1065,1.7378853335898463e-24
BLOCK 1066,2.2421506444514397e-25
BLOCK 1067,1.955676533561655e-27
BLOCK 3039,2.7502693810895174e-24
BLOCK 3040,9.94118461116631e-25
BLOCK 3041,5.149602880766577e-25
BLOCK 3042,1.7705295199771214e-24
BLOCK 3043,4.0759444823284964e-24
BLOCK 3044,1.9250607518953172e-25
BLOCK 3045,1.5340083898047332e-27
BLOCK 3046,3.8188348862177134e-28
BLOCK 3047,2.4722599796724157e-28
BLOCK 3048,6.301891455705383e-25
BLOCK 3049,3.5676131283091156e-23
BLOCK 3050,1.3668571335506948e-26
BLOCK 2059,1.1587458616698271e-17
BLOCK 2060,1.5715294289678634e-17
BLOCK 2061,4.796109078105207e-18
BLOCK 2064,5.03893506865102e-18
BLOCK 2014,8.486892877014684e-19
BLOCK 2015,3.926181803824818e-18
BLOCK 2016,1.461509532122228e-20
BLOCK 2017,1.5616598762516078e-22
BLOCK 2018,1.0838708951164741e-20
BLOCK 2019,6.940884197265882e-56
BLOCK 2020,6.770636005768052e-205
BLOCK 2021,3.165122120738758e-20
BLOCK 2022,5.797659744693484e-23
BLOCK 2023,2.2637194319239116e-22
BLOCK 2024,2.023364027691076e-22
BLOCK 3001,9.699795704739641e-24
BLOCK 3002,1.1477257565633946e-23
BLOCK 3003,2.6898248168477727e-24
BLOCK 3004,9.214217121762276e-25
BLOCK 3005,6.877916126712902e-24
BLOCK 3006,4.3001991283751726e-24
BLOCK 3007,2.7341467748397816e-25
BLOCK 3008,2.4203869873321603e-29
BLOCK 3009,9.873555049184779e-29
BLOCK 3018,2.6281425945128487e-24
BLOCK 3019,1.1752580964174878e-30
BLOCK 3020,3.8103682307419205e-28
BLOCK 3021,3.736485377709462e-27
BLOCK 3022,1.5197720103668843e-26
BLOCK 3023,1.1928610368150722e-25
BLOCK 3024,6.110319262751515e-27
BLOCK 3029,1.8762015394877592e-28
BLOCK 2030,2.4663121627612824e-23
BLOCK 3000,5.99332473646911e-24
BLOCK 3016,8.034133629512343e-25
BLOCK 3032,1.50892396827279e-37
BLOCK 3033,1.0221209375032868e-45
BLOCK 3034,3.20396934430561e-27
BLOCK 3035,2.2811872730525297e-30
BLOCK 3036,7.709230635971779e-144
BLOCK 3037,1.7864291329011937e-150
BLOCK 3038,3.546805241629181e-21
BLOCK 4002,2.1087368421555965e-30
BLOCK 4003,3.173737075035432e-23
BLOCK 4004,2.3016756076395005e-23
BLOCK 4005,9.684503192143359e-34
BLOCK 4006,4.747707410519146e-37
BLOCK 4007,4.223781652959714e-34
BLOCK 4008,1.2684948446287594e-22
BLOCK 4009,3.8514230147140126e-23
BLOCK 4010,2.678161337424521e-23
BLOCK 4011,9.03985141071486e-24
BLOCK 4012,1.406539805057925e-23
BLOCK 4013,2.2435220065809705e-22
