,PM10 Cumulative Hazard Index PAC3
BLOCK 1030,7.603353441754553e-23
BLOCK 1033,1.5152433114247284e-20
BLOCK 1035,3.1865278398119874e-19
BLOCK 1037,5.402841784682739e-19
BLOCK 1038,1.1821788051336279e-20
BLOCK 2009,9.803687991598154e-23
BLOCK 2013,3.4358749882343563e-18
BLOCK 2008,1.1193329859627387e-22
BLOCK 1009,1.763055242659146e-30
BLOCK 1016,7.280602096018456e-18
BLOCK 1020,5.0619675753947966e-23
BLOCK 1026,8.642667676289015e-23
BLOCK 1027,9.061417809855508e-20
BLOCK 1028,1.1894485807697196e-21
BLOCK 1029,1.5996077137150943e-23
BLOCK 1039,1.8227595027592442e-21
BLOCK 1040,3.030110517238429e-20
BLOCK 1052,4.45389603700515e-18
BLOCK 1054,6.344969583033757e-18
BLOCK 2025,1.0557174504667445e-20
BLOCK 2028,2.3909840413719916e-20
BLOCK 2029,5.725807211224699e-20
BLOCK 1005,5.845430375322781e-32
BLOCK 1006,2.26337811768566e-31
BLOCK 1007,2.6981113067277246e-38
BLOCK 1008,4.348636455469307e-34
BLOCK 1011,5.807374667099347e-23
BLOCK 1024,5.763739170349145e-23
BLOCK 1025,4.9987770834549584e-23
BLOCK 3010,1.0053580103085206e-29
BLOCK 3011,2.437637399404407e-29
BLOCK 3012,1.0547426217186022e-27
BLOCK 3013,6.065641670112658e-28
BLOCK 3014,8.699948099525676e-26
BLOCK 3015,8.347050524086428e-27
BLOCK 3017,6.418623023279036e-25
BLOCK 3025,5.134022639697448e-27
BLOCK 3026,2.280827732491331e-28
BLOCK 3027,2.0629000432961793e-33
BLOCK 3028,1.6476691025570644e-34
BLOCK 3030,4.705083116155873e-31
BLOCK 3031,7.718790829605401e-36
BLOCK 4047,8.692332669111183e-27
BLOCK 4057,1.4613264252569429e-27
BLOCK 4000,3.176868585917141e-41
BLOCK 4001,5.908787317533627e-33
BLOCK 1000,3.512558653850788e-23
BLOCK 1001,3.606526994050404e-24
BLOCK 1002,2.1966387884495766e-26
BLOCK 1003,3.089969523240108e-28
BLOCK 1004,6.887509183141496e-18
BLOCK 1010,6.1051654926059316e-18
BLOCK 1017,9.005579862732548e-24
BLOCK 1018,3.14044336449116e-24
BLOCK 1019,3.703375394180182e-23
BLOCK 2000,3.884473760884732e-18
BLOCK 2001,4.734721258747246e-18
BLOCK 2002,4.883054917361086e-18
BLOCK 2003,4.516916602422435e-18
BLOCK 2004,1.4353728063011805e-22
BLOCK 2005,1.0173839906872704e-22
BLOCK 2006,8.4425343774211e-23
BLOCK 2007,8.201932859457761e-23
BLOCK 2010,1.0419730707374267e-22
BLOCK 2011,4.264784924889465e-18
BLOCK 2012,2.7045000458772245e-18
BLOCK 2026,3.8298530751437445e-22
BLOCK 2027,1.6474692882312782e-22
BLOCK 2051,5.7357672781400815e-18
BLOCK 2054,5.603031469491026e-18
BLOCK 2055,2.737373892202529e-18
BLOCK 2056,4.809871304455915e-18
BLOCK 5030,6.995019089849286e-42
BLOCK 5031,2.530588185552253e-35
BLOCK 1012,7.013515010981516e-18
BLOCK 1013,1.719343247738209e-63
BLOCK 1014,2.155577847845293e-69
BLOCK 1015,6.7221807288184985e-18
BLOCK 1021,5.778356654728078e-23
BLOCK 1022,7.348052898332271e-23
BLOCK 1023,1.3488550689358002e-21
BLOCK 1031,4.24935838152994e-22
BLOCK 1032,8.93420805419794e-22
BLOCK 1034,6.816061698641588e-24
BLOCK 1036,8.901703080033633e-19
BLOCK 1048,3.620703114310146e-18
BLOCK 1049,3.109429451418637e-23
BLOCK 1050,6.929842529004093e-22
BLOCK 1051,6.123753142078351e-18
BLOCK 1053,6.570870671137844e-18
BLOCK 1055,2.3494233926300732e-38
BLOCK 1056,8.554425790640296e-39
BLOCK 1057,4.476600224741384e-43
BLOCK 1058,7.456372136939586e-18
BLOCK 1059,4.868621828486876e-19
BLOCK 1060,3.0394758895146063e-26
BLOCK 1061,6.590306737834733e-22
BLOCK 1062,1.4760883314407613e-22
BLOCK 1063,4.6281508733053626e-20
BLOCK 1064,1.5533795755611475e-19
BLOCK 1065,2.5891567236844385e-25
BLOCK 1066,4.4359492017468274e-26
BLOCK 1067,2.8260482556467248e-28
BLOCK 3039,1.223262649942853e-24
BLOCK 3040,4.431938882611596e-25
BLOCK 3041,2.2958084971800787e-25
BLOCK 3042,7.892333062381593e-25
BLOCK 3043,1.817137754137022e-24
BLOCK 3044,8.582011673073839e-26
BLOCK 3045,6.6201218025980125e-28
BLOCK 3046,1.2571260004570303e-28
BLOCK 3047,4.8546282521448035e-29
BLOCK 3048,2.811583725684469e-25
BLOCK 3049,1.5914142630386595e-23
BLOCK 3050,6.073762225177559e-27
BLOCK 2059,5.141254433689923e-18
BLOCK 2060,6.945183863965189e-18
BLOCK 2061,2.122597849411522e-18
BLOCK 2064,2.2254277833431945e-18
BLOCK 2014,3.781665104546933e-19
BLOCK 2015,1.757434258118626e-18
BLOCK 2016,6.458446001466394e-21
BLOCK 2017,6.848042488302722e-23
BLOCK 2018,4.7684737717799475e-21
BLOCK 2019,2.825680997897903e-56
BLOCK 2020,1.4097877072991507e-205
BLOCK 2021,1.405077181799933e-20
BLOCK 2022,2.519051263471129e-23
BLOCK 2023,6.145077137244941e-23
BLOCK 2024,5.111367745052929e-23
BLOCK 3001,2.2977024076432904e-24
BLOCK 3002,2.5746165878900313e-24
BLOCK 3003,6.228720321734324e-25
BLOCK 3004,1.525444266804775e-25
BLOCK 3005,9.184491424307915e-25
BLOCK 3006,4.732371359240874e-25
BLOCK 3007,3.148258875782981e-26
BLOCK 3008,4.1255128513927724e-30
BLOCK 3009,1.594442532363478e-29
BLOCK 3018,7.426073091132129e-25
BLOCK 3019,3.3854259792394637e-31
BLOCK 3020,1.0499268725578033e-28
BLOCK 3021,1.0705865480741013e-27
BLOCK 3022,4.2583142540308285e-27
BLOCK 3023,3.111141314995222e-26
BLOCK 3024,1.469018260697397e-27
BLOCK 3029,4.600905551852303e-29
BLOCK 2030,6.27166765413617e-24
BLOCK 3000,1.641991518462186e-24
BLOCK 3016,2.379364114892265e-25
BLOCK 3032,4.272159862077824e-38
BLOCK 3033,2.1043637006643018e-46
BLOCK 3034,7.692088208087902e-28
BLOCK 3035,5.410436810388509e-31
BLOCK 3036,6.260285852488193e-146
BLOCK 3037,4.702560275931504e-159
BLOCK 3038,1.5632661604032635e-21
BLOCK 4002,1.613261310918679e-31
BLOCK 4003,9.360817134598629e-24
BLOCK 4004,6.924779010710212e-24
BLOCK 4005,7.797723335328593e-35
BLOCK 4006,3.8695655906473165e-38
BLOCK 4007,3.4971471412216994e-35
BLOCK 4008,3.564893823670581e-23
BLOCK 4009,1.0898271293918946e-23
BLOCK 4010,7.774180875587123e-24
BLOCK 4011,2.674818809019585e-24
BLOCK 4012,3.981501375654335e-24
BLOCK 4013,5.548307765657925e-23
BLOCK 4014,1.3553672771039274e-23
BLOCK 4015,1.7471874484409958e-23
BLOCK 4016,1.287320442660583e-82
BLOCK 4017,9.5809772270398e-24
BLOCK 4018,3.892477455341405e-30
BLOCK 4019,1.981090357784281e-23
BLOCK 4020,1.1478301088024648e-24
BLOCK 4021,9.612915732775986e-25
BLOCK 4022,6.464486003296536e-169
BLOCK 4023,2.0066138584629414e-22
BLOCK 4024,1.409238345256059e-22
BLOCK 4025,4.9405445614789545e-23
BLOCK 4026,1.4233502290353936e-23
BLOCK 4027,3.519410080786077e-24
BLOCK 4028,6.486424581712755e-24
BLOCK 4029,6.317875746324202e-24
BLOCK 4030,4.4053900554709557e-23
BLOCK 4031,2.062163305186949e-25
BLOCK 4032,4.820074287673533e-25
BLOCK 4033,5.547004563024473e-26
BLOCK 5000,1.1779408275921995e-65
BLOCK 5001,7.354656220708593e-62
BLOCK 5002,2.560644614968715e-58
BLOCK 5003,1.9715326609630812e-55
BLOCK 5004,3.305530670212797e-51
BLOCK 5005,4.664778650681924e-58
BLOCK 5006,2.8260180386332633e-57
BLOCK 5007,1.7910540114726195e-70
BLOCK 5008,5.657384333863971e-71
BLOCK 5009,9.881498585182001e-67
BLOCK 5010,4.568476117437575e-64
BLOCK 5011,2.3936488657877176e-60
BLOCK 5012,1.251098021685849e-56
BLOCK 5013,6.2086927680241724e-58
BLOCK 5014,1.1426828222970387e-76
BLOCK 5015,3.067382385012393e-73
BLOCK 5016,1.448186087572992e-57
BLOCK 5017,4.2064980461716443e-69
BLOCK 5018,4.6673422808961976e-73
BLOCK 5019,6.58391826973646e-68
BLOCK 5020,3.5708042939150325e-50
BLOCK 5021,1.0531112585841533e-42
BLOCK 5022,2.6629886343393484e-57
BLOCK 5023,3.0893953051636404e-57
BLOCK 5024,3.267291131160139e-69
BLOCK 5025,5.506196563860866e-103
BLOCK 5026,1.896408526760355e-54
BLOCK 5027,1.8122219577451438e-36
BLOCK 5028,3.75996678549884e-36
BLOCK 5029,2.9182038244297227e-50
BLOCK 5032,1.3386291502460939e-62
BLOCK 5033,7.372791501272846e-43
BLOCK 5034,5.448423864555956e-33
BLOCK 5035,4.05821131162064e-73
BLOCK 2063,3.07730726468056e-20
BLOCK 4034,1.178129412442051e-25
BLOCK 4035,8.61414263772605e-25
BLOCK 4036,1.03567979944236e-24
BLOCK 4037,2.536473928021812e-24
BLOCK 4038,3.6399364097989346e-24
BLOCK 4039,3.210996593341803e-23
BLOCK 4040,5.217214635134338e-23
BLOCK 4041,7.173471323645255e-26
BLOCK 4042,2.7837939300381185e-25
BLOCK 4043,1.2081723701978866e-26
BLOCK 4044,1.4981672438661868e-26
BLOCK 4045,4.234869949450038e-27
BLOCK 4046,3.407437840354315e-26
BLOCK 4048,6.747629022861316e-27
BLOCK 4049,2.8470252350094296e-27
BLOCK 4050,1.0003389850712145e-27
BLOCK 4051,3.5999784874592076e-28
BLOCK 4052,2.0365255211239495e-27
BLOCK 4053,3.921583086901273e-27
BLOCK 4054,9.783888657529706e-27
BLOCK 4055,7.936537159543657e-27
BLOCK 4056,6.500927699090124e-28
BLOCK 4058,1.6307220543097995e-27
BLOCK 4059,2.4112122442046137e-27
BLOCK 4061,1.4748021870843848e-27
BLOCK 4062,1.5515044125510667e-27
BLOCK 2035,1.2442772184461739e-18
BLOCK 2037,5.596732993924218e-19
BLOCK 2038,3.3626254308224883e-19
BLOCK 2040,2.100728867594811e-20
BLOCK 2041,6.134607584585321e-18
BLOCK 2042,6.186722965757447e-18
BLOCK 2043,5.596794172978682e-18
BLOCK 2044,5.695510485289014e-18
BLOCK 1045,2.3988479666816446e-18
BLOCK 1047,3.0892623967203027e-19
BLOCK 1041,3.44085689237097e-20
BLOCK 1042,5.822058298990092e-19
BLOCK 1043,1.4175326045573002e-18
BLOCK 1044,3.1747922002992186e-18
BLOCK 1046,3.53344265706614e-18
BLOCK 2033,3.4217252771165205e-18
BLOCK 2045,4.789947126114567e-18
BLOCK 2046,4.551937751218551e-18
BLOCK 2047,5.03297531988593e-18
BLOCK 2048,5.48483146182488e-18
BLOCK 2049,5.350113105198927e-18
BLOCK 2050,5.2195817846405945e-18
BLOCK 2052,6.1425420667983284e-18
BLOCK 2062,2.0950446197484316e-19
BLOCK 2031,4.276057252730909e-23
BLOCK 2032,1.3769068899526647e-22
BLOCK 2034,5.504813031702674e-19
BLOCK 2036,7.892361582943984e-19
BLOCK 2039,1.1997257808510065e-18
BLOCK 2053,5.860846568351108e-18
BLOCK 2057,1.8740494790204475e-23
BLOCK 2058,1.8374732507400348e-23
BLOCK 2065,4.3698439404439296e-18
BLOCK 2066,4.305082717931741e-18
BLOCK 2067,1.7994936157854565e-19
BLOCK 4063,9.100522610463522e-28
BLOCK 4064,3.109225746040695e-28
BLOCK 4065,5.842958883973059e-23
