,ethyl_acryl_100 Cumulative Hazard Index PAC1
BLOCK 1030,5.626905015754094e-06
BLOCK 1033,2.8172244496670846e-06
BLOCK 1035,2.079407617243982e-06
BLOCK 1037,2.075116184427882e-06
BLOCK 1038,2.6644735432075645e-06
BLOCK 2009,5.661161715386409e-06
BLOCK 2013,2.7241473131318533e-05
BLOCK 2008,5.677641284981473e-06
BLOCK 1009,1.8826751602148194e-05
BLOCK 1016,1.8601344922676538e-05
BLOCK 1020,5.836516007835589e-06
BLOCK 1026,5.703161256413823e-06
BLOCK 1027,3.42780834362348e-06
BLOCK 1028,7.417219132738655e-06
BLOCK 1029,1.2550452198484045e-05
BLOCK 1039,3.4394737881580416e-06
BLOCK 1040,5.428466411388422e-06
BLOCK 1052,1.0448572851612489e-05
BLOCK 1054,1.3412788046726429e-05
BLOCK 2025,2.547163492148796e-06
BLOCK 2028,1.1826325175140807e-05
BLOCK 2029,1.2401390814504636e-05
BLOCK 1005,1.1281012982475737e-05
BLOCK 1006,2.6060242850463193e-05
BLOCK 1007,2.2551833326928284e-05
BLOCK 1008,2.702780546971009e-05
BLOCK 1011,9.13296874850855e-06
BLOCK 1024,5.780462490942683e-06
BLOCK 1025,6.265389343188722e-06
BLOCK 3010,5.871434327761126e-05
BLOCK 3011,5.601676832591354e-05
BLOCK 3012,3.3071361737502415e-05
BLOCK 3013,1.381381357189684e-05
BLOCK 3014,1.392988541572433e-05
BLOCK 3015,3.837092220056143e-06
BLOCK 3017,5.301048359454511e-06
BLOCK 3025,1.136644338156852e-05
BLOCK 3026,2.87821277958742e-06
BLOCK 3027,1.1349205283706435e-05
BLOCK 3028,6.484434414219948e-05
BLOCK 3030,3.797812907799967e-06
BLOCK 3031,6.952258063532883e-06
BLOCK 4047,1.4339687110840331e-05
BLOCK 4057,1.4639165946676219e-05
BLOCK 4000,1.4432781390833326e-13
BLOCK 4001,1.466276119773381e-05
BLOCK 1000,4.131597988211816e-06
BLOCK 1001,4.070680065747113e-06
BLOCK 1002,5.422908548172299e-06
BLOCK 1003,7.0679927269361976e-06
BLOCK 1004,1.4479331791945028e-05
BLOCK 1010,2.3207578235110414e-05
BLOCK 1017,9.738259040248664e-06
BLOCK 1018,6.6723635477022325e-06
BLOCK 1019,5.739086789315159e-06
BLOCK 2000,9.030884445614091e-06
BLOCK 2001,1.1425334511547537e-05
BLOCK 2002,1.2054012268394994e-05
BLOCK 2003,1.1242326941088443e-05
BLOCK 2004,5.51767903086887e-06
BLOCK 2005,3.747785465044931e-06
BLOCK 2006,3.5313209934913505e-06
BLOCK 2007,3.7346492996261255e-06
BLOCK 2010,4.773554074829636e-06
BLOCK 2011,1.1528991075600592e-05
BLOCK 2012,2.010072513074458e-05
BLOCK 2026,4.094773860672975e-06
BLOCK 2027,4.76988216863117e-06
BLOCK 2051,1.3851034703673832e-05
BLOCK 2054,1.4051406220476739e-05
BLOCK 2055,2.7910876614056052e-05
BLOCK 2056,2.6724592607438792e-05
BLOCK 5030,1.3238873808058784e-15
BLOCK 5031,2.170823289613627e-12
BLOCK 1012,1.806890981821775e-05
BLOCK 1013,6.529106985642067e-05
BLOCK 1014,1.05730249749002e-05
BLOCK 1015,1.937870509712773e-05
BLOCK 1021,5.221675676948955e-06
BLOCK 1022,5.185303545504852e-06
BLOCK 1023,4.823818661389385e-06
BLOCK 1031,4.267329739732233e-06
BLOCK 1032,4.102024026518528e-06
BLOCK 1034,7.600530829245159e-06
BLOCK 1036,2.329745779613626e-06
BLOCK 1048,7.449195475168682e-06
BLOCK 1049,6.587561964617723e-06
BLOCK 1050,4.504301547785681e-06
BLOCK 1051,1.379579058921428e-05
BLOCK 1053,1.2455037802230713e-05
BLOCK 1055,1.0607969536774285e-15
BLOCK 1056,3.4002299735827807e-18
BLOCK 1057,1.3510389467496606e-18
BLOCK 1058,1.3186988604619123e-05
BLOCK 1059,2.0372402466246926e-06
BLOCK 1060,2.2164122332528178e-05
BLOCK 1061,2.761166820406175e-05
BLOCK 1062,4.7037058338826415e-05
BLOCK 1063,1.822497717593607e-05
BLOCK 1064,1.661063521011202e-05
BLOCK 1065,8.332620562408522e-06
BLOCK 1066,2.5900976041256138e-05
BLOCK 1067,6.1357591982779574e-06
BLOCK 3039,3.58502907478685e-05
BLOCK 3040,2.5240922733190846e-05
BLOCK 3041,2.2768616498748088e-05
BLOCK 3042,2.8371568769107597e-05
BLOCK 3043,3.372450148636364e-05
BLOCK 3044,2.0706554612151924e-05
BLOCK 3045,2.9009489333738588e-05
BLOCK 3046,3.0191211599525244e-05
BLOCK 3047,1.835932574197161e-05
BLOCK 3048,2.2511423210737693e-05
BLOCK 3049,5.107099072201143e-05
BLOCK 3050,2.266755493516383e-05
BLOCK 2059,3.0754467087572725e-05
BLOCK 2060,4.509267666133627e-05
BLOCK 2061,1.543482494174729e-05
BLOCK 2064,3.8677694916611304e-05
BLOCK 2014,2.4125865935731988e-05
BLOCK 2015,2.8954579640214188e-05
BLOCK 2016,1.1224425040966698e-05
BLOCK 2017,1.3266565829532686e-05
