,Total HCl 100% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,6.143053537112046e-188
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,8.489255382571068e-278
BLOCK 1006,0.0
BLOCK 1007,2.3769505784279093e-279
BLOCK 1008,1.2620541642314694e-154
BLOCK 1011,1.2855282130121685e-11
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,2.0336382062940044e-15
BLOCK 3011,5.012702746964772e-15
BLOCK 3012,1.0521970615789382e-13
BLOCK 3013,3.755931210107633e-16
BLOCK 3014,1.1470040722628036e-12
BLOCK 3015,1.6872806360896893e-23
BLOCK 3017,8.170605477990472e-21
BLOCK 3025,8.545604601059393e-107
BLOCK 3026,2.660786122160541e-66
BLOCK 3027,2.940656001939317e-26
BLOCK 3028,2.1121493615361898e-20
BLOCK 3030,2.559154854767898e-69
BLOCK 3031,5.700490399315881e-26
BLOCK 4047,1.1533306447692284e-136
BLOCK 4057,1.0856760102051245e-175
BLOCK 4000,4.425442760177771e-127
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,2.4102512506558276e-239
BLOCK 1014,1.1490604718990031e-88
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,5.041121069430118e-71
BLOCK 1056,2.717746518253729e-79
BLOCK 1057,4.4311973472742595e-75
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,1.9121635254692352e-279
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,3.456051755515229e-16
BLOCK 2024,3.273262372078646e-13
BLOCK 3001,1.816312903754024e-12
BLOCK 3002,1.618394447958361e-11
BLOCK 3003,1.3038780248081286e-12
BLOCK 3004,2.5687224072821127e-11
BLOCK 3005,2.11488244484541e-10
BLOCK 3006,6.734292221804472e-11
BLOCK 3007,6.176587356169003e-12
BLOCK 3008,5.983176305266035e-16
BLOCK 3009,2.8534395673370874e-15
BLOCK 3018,4.7202728797220554e-21
BLOCK 3019,5.108849260645452e-32
BLOCK 3020,1.521209815099196e-51
BLOCK 3021,2.8284579569376945e-43
BLOCK 3022,3.6390971815025244e-48
BLOCK 3023,6.365549168189501e-63
BLOCK 3024,9.624692866063505e-88
BLOCK 3029,2.1281014653806132e-74
BLOCK 2030,2.4802648304666275e-14
BLOCK 3000,3.167365854268055e-18
BLOCK 3016,9.103223008426042e-28
BLOCK 3032,1.1262073820099614e-48
BLOCK 3033,6.956954526980514e-34
BLOCK 3034,1.5291381215199173e-87
BLOCK 3035,1.4732039321385815e-101
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,4.388456139309617e-25
BLOCK 4004,2.9982265588473325e-32
BLOCK 4005,1.9690908517769127e-135
BLOCK 4006,3.4477670864994346e-118
BLOCK 4007,4.202849296155805e-133
BLOCK 4008,1.9653718703739016e-51
BLOCK 4009,8.64324571748054e-49
BLOCK 4010,1.1342373089684152e-42
BLOCK 4011,1.5794238273032438e-37
BLOCK 4012,4.8989393210028267e-48
BLOCK 4013,7.335445536931329e-82
BLOCK 4014,1.43464645971753e-62
BLOCK 4015,3.742252661614241e-60
BLOCK 4016,0.0
BLOCK 4017,7.830976032041548e-60
BLOCK 4018,7.525071149573703e-170
BLOCK 4019,2.196094738735078e-92
BLOCK 4020,5.9613185623783904e-46
BLOCK 4021,1.5415856100084949e-83
BLOCK 4022,0.0
BLOCK 4023,8.168355950239381e-163
BLOCK 4024,1.4542787783740394e-168
BLOCK 4025,8.205576368277149e-188
BLOCK 4026,2.673901157009463e-173
BLOCK 4027,2.3839976277102205e-171
BLOCK 4028,1.2914774989126356e-162
BLOCK 4029,5.638585862349267e-136
BLOCK 4030,5.466411080821419e-156
BLOCK 4031,8.790187359489695e-136
BLOCK 4032,2.537275308897136e-196
BLOCK 4033,8.429474640691892e-149
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,8.752636242110116e-190
BLOCK 4035,3.785944404669825e-194
BLOCK 4036,5.287009548888218e-189
BLOCK 4037,4.445506715129801e-196
BLOCK 4038,1.0554568944088381e-241
BLOCK 4039,2.1911373268555647e-249
BLOCK 4040,1.1589909785118098e-297
BLOCK 4041,1.3370852259242832e-203
BLOCK 4042,3.81428142238441e-237
BLOCK 4043,1.2783070461699488e-208
BLOCK 4044,1.6487195442365238e-178
BLOCK 4045,6.539695236835838e-161
BLOCK 4046,7.492337127679054e-155
BLOCK 4048,8.960747206928438e-113
BLOCK 4049,5.280083927973137e-117
BLOCK 4050,1.7892310117470832e-108
BLOCK 4051,2.875061283503841e-145
BLOCK 4052,7.3926270515480685e-152
BLOCK 4053,7.665383506735717e-154
BLOCK 4054,8.586474415660357e-160
BLOCK 4055,9.809365709011959e-163
BLOCK 4056,5.742331872311105e-183
BLOCK 4058,1.2732388170252566e-163
BLOCK 4059,1.395085874573511e-162
BLOCK 4061,8.762296175780846e-212
BLOCK 4062,6.515710792887642e-204
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,4.0938980726829014e-11
BLOCK 2032,3.676903369007085e-10
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,4.44087995212509e-22
BLOCK 2058,3.642172834364506e-12
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.2597401470699128e-198
BLOCK 4064,7.537852447667783e-188
BLOCK 4065,1.5300765508601968e-296
