,ethyl_acryl_20 Cumulative Hazard Index PAC1
BLOCK 1030,1.1255035402809513e-06
BLOCK 1033,5.635062406400726e-07
BLOCK 1035,4.159268067157222e-07
BLOCK 1037,4.150684266979546e-07
BLOCK 1038,5.329527328911458e-07
BLOCK 2009,1.1323556262156822e-06
BLOCK 2013,5.448887863918997e-06
BLOCK 2008,1.135651899010338e-06
BLOCK 1009,3.7657603106648732e-06
BLOCK 1016,3.720674066088496e-06
BLOCK 1020,1.167430303396556e-06
BLOCK 1026,1.1407564490453146e-06
BLOCK 1027,6.856363161189375e-07
BLOCK 1028,1.4836053513546261e-06
BLOCK 1029,2.510363750938062e-06
BLOCK 1039,6.879696590642765e-07
BLOCK 1040,1.0858114980096389e-06
BLOCK 1052,2.0899421089298926e-06
BLOCK 1054,2.6828496996773082e-06
BLOCK 2025,5.094881680180019e-07
BLOCK 2028,2.3655225769527e-06
BLOCK 2029,2.4805482280319033e-06
BLOCK 1005,2.256448263154169e-06
BLOCK 1006,5.212616084091991e-06
BLOCK 1007,4.5108577767385895e-06
BLOCK 1008,5.406149678555894e-06
BLOCK 1011,1.8267926383939652e-06
BLOCK 1024,1.1562183793403416e-06
BLOCK 1025,1.2532143100432992e-06
BLOCK 3010,1.1744147277980369e-05
BLOCK 3011,1.1204573542541701e-05
BLOCK 3012,6.614992542660258e-06
BLOCK 3013,2.76306353784565e-06
BLOCK 3014,2.7862804343080975e-06
BLOCK 3015,7.675020043818733e-07
BLOCK 3017,1.0603251128394953e-06
BLOCK 3025,2.2735362033908253e-06
BLOCK 3026,5.757052347672128e-07
BLOCK 3027,2.2700882084242903e-06
BLOCK 3028,1.2970280943948198e-05
BLOCK 3030,7.596452865449178e-07
BLOCK 3031,1.3906030120546484e-06
BLOCK 4047,2.868249697584239e-06
BLOCK 4057,2.9281519865030676e-06
BLOCK 4000,2.886870580897297e-14
BLOCK 4001,2.9328715505484503e-06
BLOCK 1000,8.264095714661474e-07
BLOCK 1001,8.142246603633967e-07
BLOCK 1002,1.0846998043328063e-06
BLOCK 1003,1.413752465089479e-06
