,Community Level Hazard Index PAC1,Community Level Hazard Index PAC2,Community Level Hazard Index PAC3
Total Vinyl Chloride,5.582266694168975e-37,1.1524679626671432e-37,2.977208903556786e-38
Total HCl 100%,2.339363060217816e-22,1.9140243219963954e-23,4.2108535083920696e-24
Total HCl 52%,1.2164703013502896e-22,9.952938829229646e-24,2.189646542430522e-24
Total HCl 20%,4.678709680516399e-23,3.82803519314978e-24,8.421677424929519e-25
Total Phosgene 7,1.552339810688848e-17,1.4229781597981109e-18,5.691912639192444e-19
Total Phosgene 0.7,1.5523513546949067e-18,1.4229887418036647e-19,5.691954967214659e-20
Total Phosgene 0.07,1.552380214710051e-19,1.4230151968175464e-20,5.692060787270187e-21
ethyl_acryl_100,0.08102015278016109,0.010243927363008873,0.008102015278016107
ethyl_acryl_80,0.06481435784797945,0.00819491880836522,0.006481435784797947
ethyl_acryl_50,0.04051007639008052,0.005121963681504434,0.004051007639008052
ethyl_acryl_20,0.016205794932181584,0.0020490085546436484,0.0016205794932181586
butyl_acryl,0.21243820708727715,0.013433592506989583,0.003653937161901167
PM2.5,2.4176117139925006e-16,2.4176117139925006e-16,2.4176117139925006e-16
PM10,1.331892570208618e-16,1.0655140561668944e-16,1.0655140561668944e-16
Total Dioxin 20%,4.33664203728994e-25,4.02688189176923e-26,6.632511351149321e-27
Total Dioxin 50%,1.076129690735048e-24,9.99263284253973e-26,1.6458454093594847e-26
Total Dioxin 80%,1.7346568149161495e-24,1.6107527567078533e-25,2.6530045404599935e-26
Total Dioxin 100%,2.1683210186452004e-24,2.0134409458848288e-25,3.316255675575012e-26
