,Community Level Hazard Index PAC1,Community Level Hazard Index PAC2,Community Level Hazard Index PAC3
Total Vinyl Chloride,2.173956954793396e-20,4.4881691969928174e-21,1.1594437092231448e-21
Total HCl 100%,4.954685456457671e-08,4.053833555283549e-09,8.918433821623807e-10
Total HCl 52%,2.5764396355612164e-08,2.107996065459177e-09,4.637591344010189e-10
Total HCl 20%,9.909336093767296e-09,8.107638622173244e-10,1.7836804968781133e-10
Total Phosgene 7,0.000562548295893284,5.1566927123551034e-05,2.0626770849420413e-05
Total Phosgene 0.7,5.6255247929494076e-05,5.156731060203624e-06,2.06269242408145e-06
Total Phosgene 0.07,5.625629377990821e-06,5.156826929824921e-07,2.0627307719299677e-07
ethyl_acryl_100,0.11758989980587098,0.014867688481202079,0.0117589899805871
ethyl_acryl_80,0.09406935908903899,0.011893827011257803,0.0094069359089039
ethyl_acryl_50,0.05879494990293547,0.007433844240601038,0.0058794949902935476
ethyl_acryl_20,0.023520540716831958,0.0029738614699442705,0.0023520540716831955
butyl_acryl,0.3112246262020429,0.019680380774540946,0.005353063570675137
PM2.5,1.3203772748787616e-14,1.3203772748787616e-14,1.3203772748787616e-14
PM10,7.428266483656979e-15,5.942613186925582e-15,5.942613186925582e-15
Total Dioxin 20%,1.2040140408819348e-10,1.1180130379617966e-11,1.8414332389959004e-12
Total Dioxin 50%,2.987738545892589e-10,2.7743286497574034e-11,4.56948248195337e-12
Total Dioxin 80%,4.81605616352822e-10,4.472052151847633e-11,7.365732955984335e-12
Total Dioxin 100%,6.020070204410315e-10,5.590065189809578e-11,9.207166194980481e-12
