,PM2.5 Cumulative Hazard Index PAC3
BLOCK 1030,3.270218373805325e-24
BLOCK 1033,1.5785987501479588e-21
BLOCK 1035,3.292927287296009e-20
BLOCK 1037,5.931678422424691e-20
BLOCK 1038,1.5010074814716906e-21
BLOCK 2009,6.647385600462317e-27
BLOCK 2013,2.739621170075988e-20
BLOCK 2008,8.012806930831776e-25
BLOCK 1009,3.0613814912783267e-40
BLOCK 1016,7.586830373342268e-19
BLOCK 1020,3.1663347795560817e-27
BLOCK 1026,5.9056047790270036e-27
BLOCK 1027,2.62774029640028e-21
BLOCK 1028,1.6120180297600555e-23
BLOCK 1029,1.6619722298024485e-25
BLOCK 1039,2.436361444082832e-22
BLOCK 1040,1.3351639531414858e-22
BLOCK 1052,3.451139005810092e-19
BLOCK 1054,5.573646473612804e-19
BLOCK 2025,1.5151232073439502e-21
BLOCK 2028,2.7984212427796174e-22
BLOCK 2029,7.693133013123056e-22
BLOCK 1005,7.603007135388513e-36
BLOCK 1006,3.1237579055139416e-36
BLOCK 1007,1.2079384242079364e-40
BLOCK 1008,2.215106189460515e-46
BLOCK 1011,1.6817142698248486e-35
BLOCK 1024,3.2838996674504444e-27
BLOCK 1025,3.9424267693317623e-25
BLOCK 3010,1.06784144688588e-53
BLOCK 3011,9.978329987100598e-53
BLOCK 3012,1.448120894053788e-48
BLOCK 3013,1.6842205660901197e-48
BLOCK 3014,3.847057039420815e-43
BLOCK 3015,7.255936065707441e-45
BLOCK 3017,1.0785951315608899e-39
BLOCK 3025,1.4788030422955021e-46
BLOCK 3026,4.258201235595806e-49
BLOCK 3027,1.3692428645618658e-61
BLOCK 3028,3.15067188032114e-65
BLOCK 3030,6.444142596358024e-56
BLOCK 3031,2.0624158086045374e-67
BLOCK 4047,6.762069381270318e-45
BLOCK 4057,4.623852355878947e-40
BLOCK 4000,2.495736082336117e-67
BLOCK 4001,1.7526478149184554e-59
BLOCK 1000,7.695192520490448e-30
BLOCK 1001,6.236364903804292e-31
BLOCK 1002,1.571978524407486e-31
BLOCK 1003,1.4076769506800111e-31
BLOCK 1004,5.465115790661686e-19
BLOCK 1010,3.115252843550874e-19
BLOCK 1017,3.6858375473538385e-25
BLOCK 1018,5.783637301248557e-28
BLOCK 1019,1.2441646711690603e-27
BLOCK 2000,3.0095094087697183e-19
BLOCK 2001,3.4879213499067426e-19
