,Total Vinyl Chloride Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.1155068407785736e-194
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,5.376812270225344e-254
BLOCK 1006,0.0
BLOCK 1007,3.68612543123117e-256
BLOCK 1008,7.020518018053224e-174
BLOCK 1011,1.9094842196637103e-42
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.7271052646034416e-49
BLOCK 3011,1.0947581622105598e-48
BLOCK 3012,2.9439519234628333e-45
BLOCK 3013,2.5486547974058706e-47
BLOCK 3014,5.5302573484287445e-42
BLOCK 3015,9.243781086803278e-53
BLOCK 3017,1.985231349071702e-48
BLOCK 3025,7.754031411353419e-129
BLOCK 3026,1.3752078581911703e-94
BLOCK 3027,3.697414592683111e-63
BLOCK 3028,1.4714892065778034e-59
BLOCK 3030,9.011019260254959e-101
BLOCK 3031,9.772634162774851e-66
BLOCK 4047,2.8347274918170664e-153
BLOCK 4057,4.062914269164186e-184
BLOCK 4000,5.130888828435535e-254
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,3.644020488762812e-303
BLOCK 1003,1.356633149237e-312
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.1937147079514046e-248
BLOCK 1014,2.600340417463701e-152
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.1759541497547357e-110
BLOCK 1056,4.572908465747142e-116
BLOCK 1057,1.4156967730066608e-126
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,9.302094377690201e-299
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,2.7607002838460364e-43
BLOCK 2024,1.5867295649846814e-40
BLOCK 3001,1.800347872191211e-40
BLOCK 3002,1.2272630163745437e-39
BLOCK 3003,4.5423920349713044e-41
BLOCK 3004,5.57872892628045e-41
BLOCK 3005,7.904338887270283e-40
BLOCK 3006,3.741047424428713e-41
BLOCK 3007,5.294927400277467e-43
BLOCK 3008,2.8960458638467734e-50
BLOCK 3009,4.830101780473674e-49
BLOCK 3018,1.3266806902413831e-48
BLOCK 3019,3.692068122552823e-66
BLOCK 3020,1.6958867691475594e-81
BLOCK 3021,1.5800047336044742e-72
BLOCK 3022,2.365367560611202e-76
BLOCK 3023,6.812772902688064e-89
BLOCK 3024,5.967215781974401e-113
BLOCK 3029,7.945662393363042e-103
BLOCK 2030,8.458103093003623e-42
BLOCK 3000,1.0450510988646723e-45
BLOCK 3016,2.4411974239906317e-55
BLOCK 3032,1.8311487674198669e-90
BLOCK 3033,1.3014096654472371e-84
BLOCK 3034,4.1654182696154094e-113
BLOCK 3035,5.1686876877734085e-129
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.1011501996079851e-51
BLOCK 4004,2.098174477589147e-58
BLOCK 4005,9.083569103426365e-259
BLOCK 4006,1.3240810278804976e-203
BLOCK 4007,5.892461199705961e-231
BLOCK 4008,9.303155842956814e-76
BLOCK 4009,1.4409890544843786e-73
BLOCK 4010,5.0517921569244065e-68
BLOCK 4011,1.415926279887374e-63
BLOCK 4012,3.672536993530889e-73
BLOCK 4013,2.3129121237814165e-103
BLOCK 4014,4.07438055136498e-86
BLOCK 4015,7.4662294652677785e-84
BLOCK 4016,0.0
BLOCK 4017,1.0412049784131609e-83
BLOCK 4018,0.0
BLOCK 4019,4.8757170027744076e-113
BLOCK 4020,1.1229904594018869e-71
BLOCK 4021,4.0305421886286827e-106
BLOCK 4022,0.0
BLOCK 4023,1.3016678551846258e-173
BLOCK 4024,2.5363688699477266e-178
BLOCK 4025,7.477236549999061e-194
BLOCK 4026,1.0571770949724841e-181
BLOCK 4027,5.539825780332397e-180
BLOCK 4028,6.120807537713771e-173
BLOCK 4029,6.094041497893503e-151
BLOCK 4030,1.3462104307977128e-167
BLOCK 4031,1.53598127102599e-151
BLOCK 4032,1.863610208105616e-199
BLOCK 4033,1.9557932383796157e-162
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,2.4963852684893537e-194
BLOCK 4035,7.402656829872667e-198
BLOCK 4036,7.152361194106971e-194
BLOCK 4037,1.432724638166713e-199
BLOCK 4038,4.588560819529918e-235
BLOCK 4039,6.760720659754929e-243
BLOCK 4040,6.887848189119355e-281
BLOCK 4041,8.973483094450885e-205
BLOCK 4042,3.717101140643789e-230
BLOCK 4043,2.293216822304471e-208
BLOCK 4044,7.510843411386996e-186
BLOCK 4045,1.298055631844439e-172
BLOCK 4046,2.314267670173876e-167
BLOCK 4048,9.351188870891689e-134
BLOCK 4049,1.1511726991050368e-137
BLOCK 4050,5.021515488756362e-131
BLOCK 4051,2.9748600064538603e-161
BLOCK 4052,8.460570513643642e-166
BLOCK 4053,3.7973751168150565e-167
BLOCK 4054,1.551523647308187e-171
BLOCK 4055,7.219543150566705e-174
BLOCK 4056,1.061637225035646e-189
BLOCK 4058,6.024032319798951e-175
BLOCK 4059,4.784287261726138e-174
BLOCK 4061,1.318846375733471e-210
BLOCK 4062,6.344332718566721e-205
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.2573942356725308e-38
BLOCK 2032,1.0540583402358916e-37
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,8.724411318641671e-49
BLOCK 2058,1.1185578446545244e-39
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,3.989722235533572e-201
BLOCK 4064,2.0024575690611126e-193
BLOCK 4065,3.107172998102389e-280
