,PM10 Cumulative Hazard Index PAC2
BLOCK 1030,1.4422717112247877e-24
BLOCK 1033,6.961416924914974e-22
BLOCK 1035,1.4534025895182044e-20
BLOCK 1037,2.6191713458984255e-20
BLOCK 1038,6.625320217029235e-22
BLOCK 2009,2.9314615638031923e-27
BLOCK 2013,1.197226353121047e-20
BLOCK 2008,3.5359263284548783e-25
BLOCK 1009,1.314517079858906e-40
BLOCK 1016,3.3514758107063576e-19
BLOCK 1020,1.3950605495905644e-27
BLOCK 1026,2.603887826349091e-27
BLOCK 1027,1.1527950237540877e-21
BLOCK 1028,7.03762836266295e-24
BLOCK 1029,7.232302651470523e-26
BLOCK 1039,1.0750614627104249e-22
BLOCK 1040,5.812267350812895e-23
BLOCK 1052,1.5221032818118497e-19
BLOCK 1054,2.459831146822287e-19
BLOCK 2025,6.691672186253106e-22
BLOCK 2028,1.214957069556555e-22
BLOCK 2029,3.3604363757604697e-22
BLOCK 1005,3.264063355186717e-36
BLOCK 1006,1.3143572455652578e-36
BLOCK 1007,5.099133692845469e-41
BLOCK 1008,9.398725770392748e-47
BLOCK 1011,2.2385796870766225e-36
BLOCK 1024,1.447105649497919e-27
BLOCK 1025,1.7377555724194113e-25
BLOCK 3010,9.319435669104489e-55
BLOCK 3011,8.644326342910743e-54
BLOCK 3012,1.5455701705127772e-49
BLOCK 3013,2.4961365854822794e-49
BLOCK 3014,5.136727790460499e-44
BLOCK 3015,1.4237672362310956e-45
BLOCK 3017,2.095875251703494e-40
BLOCK 3025,2.269233104167653e-47
BLOCK 3026,7.022440490876435e-50
BLOCK 3027,2.373878891166887e-62
BLOCK 3028,3.092375950083003e-66
BLOCK 3030,1.0432720584230913e-56
BLOCK 3031,3.1476037524643436e-68
BLOCK 4047,2.837094676175733e-45
BLOCK 4057,2.000645444622839e-40
BLOCK 4000,4.98174725981703e-69
BLOCK 4001,3.542434084589641e-61
BLOCK 1000,3.38790853493853e-30
BLOCK 1001,2.7371948222704305e-31
BLOCK 1002,6.855344121252927e-32
BLOCK 1003,6.109451908032016e-32
BLOCK 1004,2.410910625403602e-19
BLOCK 1010,1.3717384805969363e-19
BLOCK 1017,1.612956843008819e-25
BLOCK 1018,2.5390037850999035e-28
BLOCK 1019,5.479128972947026e-28
BLOCK 2000,1.3272853718152065e-19
BLOCK 2001,1.5379991404051085e-19
BLOCK 2002,1.5169427044924113e-19
BLOCK 2003,1.3826621048912245e-19
BLOCK 2004,3.998235865513282e-27
BLOCK 2005,2.5928796255440114e-30
BLOCK 2006,9.615335065479216e-31
BLOCK 2007,1.996445999281212e-30
BLOCK 2010,9.224434692613126e-29
BLOCK 2011,1.1168531906679737e-19
BLOCK 2012,1.2085354199604243e-20
BLOCK 2026,2.2649041927107255e-23
BLOCK 2027,5.582530736587839e-24
BLOCK 2051,1.782192750485793e-19
BLOCK 2054,1.6266406759976175e-19
BLOCK 2055,6.049876541545626e-21
BLOCK 2056,4.3009796374953665e-20
BLOCK 5030,1.5094790712583032e-67
BLOCK 5031,6.679849447137705e-57
BLOCK 1012,4.054098892655109e-19
BLOCK 1013,4.0208196072422277e-66
BLOCK 1014,5.07962635651114e-131
BLOCK 1015,3.1254993864952948e-19
BLOCK 1021,1.8712409799271824e-28
BLOCK 1022,2.3483028315281156e-28
BLOCK 1023,4.082578059778116e-23
BLOCK 1031,2.464338795162064e-23
BLOCK 1032,4.675889926216989e-23
BLOCK 1034,6.903086801358025e-26
BLOCK 1036,4.3479524199267765e-20
BLOCK 1048,1.5330146282380243e-19
BLOCK 1049,1.202582156209307e-25
BLOCK 1050,3.24408457754841e-23
BLOCK 1051,2.1189246579036746e-19
BLOCK 1053,3.163954623135735e-19
BLOCK 1055,1.4145623601906664e-59
BLOCK 1056,9.719559046987121e-57
BLOCK 1057,2.3457810588623623e-66
BLOCK 1058,3.501935133177644e-19
BLOCK 1059,2.3995465504053675e-20
BLOCK 1060,6.094428614069102e-29
BLOCK 1061,6.9953292794663e-24
BLOCK 1062,6.996910433702989e-25
BLOCK 1063,9.466712862887306e-23
BLOCK 1064,8.308683654143555e-22
BLOCK 1065,7.921693699760188e-39
BLOCK 1066,9.701847292258714e-30
BLOCK 1067,1.500535590985153e-41
BLOCK 3039,1.4266741823014611e-27
BLOCK 3040,1.3804164801439315e-27
BLOCK 3041,7.909683148084263e-28
BLOCK 3042,2.1722434801524238e-27
BLOCK 3043,4.6935769578745575e-27
BLOCK 3044,3.413530696672401e-28
