,PM10 Cumulative Hazard Index PAC1
BLOCK 1030,1.802839639030985e-24
BLOCK 1033,8.70177115614372e-22
BLOCK 1035,1.8167532368977552e-20
BLOCK 1037,3.2739641823730316e-20
BLOCK 1038,8.281650271286547e-22
BLOCK 2009,3.6643269547539886e-27
BLOCK 2013,1.4965329414013086e-20
BLOCK 2008,4.419907910568599e-25
BLOCK 1009,1.6431463498236321e-40
BLOCK 1016,4.189344763382947e-19
BLOCK 1020,1.7438256869882053e-27
BLOCK 1026,3.254859782936364e-27
BLOCK 1027,1.4409937796926096e-21
BLOCK 1028,8.797035453328688e-24
BLOCK 1029,9.040378314338154e-26
BLOCK 1039,1.3438268283880312e-22
BLOCK 1040,7.265334188516119e-23
BLOCK 1052,1.902629102264812e-19
BLOCK 1054,3.0747889335278585e-19
BLOCK 2025,8.364590232816385e-22
BLOCK 2028,1.5186963369456935e-22
BLOCK 2029,4.200545469700587e-22
BLOCK 1005,4.0800791939833956e-36
BLOCK 1006,1.642946556956572e-36
BLOCK 1007,6.373917116056836e-41
BLOCK 1008,1.1748407212990936e-46
BLOCK 1011,2.7982246088457804e-36
BLOCK 1024,1.808882061872398e-27
BLOCK 1025,2.172194465524263e-25
BLOCK 3010,1.164929458638062e-54
BLOCK 3011,1.0805407928638423e-53
BLOCK 3012,1.931962713140972e-49
BLOCK 3013,3.120170731852849e-49
BLOCK 3014,6.420909738075625e-44
BLOCK 3015,1.7797090452888703e-45
BLOCK 3017,2.6198440646293675e-40
BLOCK 3025,2.836541380209565e-47
BLOCK 3026,8.778050613595541e-50
BLOCK 3027,2.9673486139586096e-62
BLOCK 3028,3.8654699376037545e-66
BLOCK 3030,1.3040900730288638e-56
BLOCK 3031,3.93450469058043e-68
BLOCK 4047,3.546368345219665e-45
BLOCK 4057,2.500806805778549e-40
BLOCK 4000,6.227184074771286e-69
BLOCK 4001,4.4280426057370515e-61
BLOCK 1000,4.234885668673163e-30
BLOCK 1001,3.4214935278380382e-31
BLOCK 1002,8.56918015156616e-32
BLOCK 1003,7.636814885040021e-32
BLOCK 1004,3.013638281754502e-19
BLOCK 1010,1.7146731007461704e-19
BLOCK 1017,2.016196053761024e-25
BLOCK 1018,3.173754731374879e-28
BLOCK 1019,6.848911216183784e-28
BLOCK 2000,1.659106714769008e-19
BLOCK 2001,1.9224989255063856e-19
BLOCK 2002,1.896178380615514e-19
BLOCK 2003,1.7283276311140308e-19
BLOCK 2004,4.9977948318916035e-27
BLOCK 2005,3.241099531930014e-30
BLOCK 2006,1.2019168831849018e-30
BLOCK 2007,2.4955574991015158e-30
BLOCK 2010,1.1530543365766406e-28
BLOCK 2011,1.3960664883349672e-19
BLOCK 2012,1.51066927495053e-20
BLOCK 2026,2.831130240888409e-23
BLOCK 2027,6.978163420734802e-24
BLOCK 2051,2.227740938107241e-19
BLOCK 2054,2.033300844997022e-19
BLOCK 2055,7.562345676932034e-21
BLOCK 2056,5.3762245468692086e-20
BLOCK 5030,1.886848839072879e-67
BLOCK 5031,8.349811808922133e-57
BLOCK 1012,5.067623615818888e-19
BLOCK 1013,5.026024509052785e-66
BLOCK 1014,6.349532945638927e-131
BLOCK 1015,3.9068742331191184e-19
BLOCK 1021,2.3390512249089783e-28
BLOCK 1022,2.9353785394101452e-28
BLOCK 1023,5.1032225747226444e-23
BLOCK 1031,3.0804234939525815e-23
BLOCK 1032,5.844862407771237e-23
BLOCK 1034,8.628858501697528e-26
BLOCK 1036,5.434940524908471e-20
BLOCK 1048,1.9162682852975303e-19
BLOCK 1049,1.503227695261633e-25
BLOCK 1050,4.055105721935514e-23
BLOCK 1051,2.6486558223795933e-19
BLOCK 1053,3.9549432789196684e-19
BLOCK 1055,1.768202950238333e-59
BLOCK 1056,1.2149448808733906e-56
BLOCK 1057,2.9322263235779544e-66
BLOCK 1058,4.377418916472055e-19
BLOCK 1059,2.99943318800671e-20
BLOCK 1060,7.618035767586378e-29
BLOCK 1061,8.744161599332877e-24
BLOCK 1062,8.746138042128736e-25
BLOCK 1063,1.1833391078609133e-22
BLOCK 1064,1.0385854567679441e-21
BLOCK 1065,9.902117124700233e-39
BLOCK 1066,1.212730911532339e-29
BLOCK 1067,1.8756694887314417e-41
BLOCK 3039,1.7833427278768264e-27
BLOCK 3040,1.7255206001799143e-27
BLOCK 3041,9.887103935105331e-28
BLOCK 3042,2.7153043501905293e-27
BLOCK 3043,5.8669711973431966e-27
BLOCK 3044,4.266913370840498e-28
BLOCK 3045,7.748769635429751e-30
BLOCK 3046,1.644194959465641e-30
BLOCK 3047,9.531068014468673e-32
BLOCK 3048,1.5335234314051494e-27
BLOCK 3049,4.8555852859615203e-26
BLOCK 3050,5.74819635142883e-29
BLOCK 2059,1.3982301827440916e-20
BLOCK 2060,2.0363573273122136e-20
BLOCK 2061,3.2106436083332272e-21
BLOCK 2064,1.2941181436909158e-21
BLOCK 2014,9.230586612789037e-23
BLOCK 2015,2.610432741791615e-21
BLOCK 2016,6.035720174674576e-26
BLOCK 2017,3.6038948407866284e-29
BLOCK 2018,5.729857413662017e-27
BLOCK 2019,1.3592707112436248e-63
BLOCK 2020,5.457872419636109e-266
BLOCK 2021,1.0741380125010305e-24
BLOCK 2022,1.7632410894737252e-31
BLOCK 2023,1.1486726145413212e-34
BLOCK 2024,3.0571177857080754e-35
BLOCK 3001,1.2341431240262156e-39
BLOCK 3002,9.05124626587457e-40
BLOCK 3003,2.4838377570444083e-41
BLOCK 3004,8.274321508176074e-44
BLOCK 3005,1.3261063657226345e-41
BLOCK 3006,2.2399038610722393e-42
BLOCK 3007,1.464257078673017e-45
BLOCK 3008,1.279429658958095e-55
BLOCK 3009,3.6365241237137885e-54
BLOCK 3018,3.97525018309904e-40
BLOCK 3019,8.8137747639796e-57
BLOCK 3020,1.644427168150709e-50
BLOCK 3021,7.688864983757573e-48
BLOCK 3022,2.873570007119913e-46
BLOCK 3023,4.604291059437951e-44
BLOCK 3024,2.5418006252683214e-48
BLOCK 3029,9.096984340784102e-52
BLOCK 2030,8.284069408033537e-38
BLOCK 3000,3.400491313248705e-39
BLOCK 3016,1.838946677343082e-41
BLOCK 3032,5.5076946499695855e-73
BLOCK 3033,3.9527500192827797e-91
BLOCK 3034,4.816987889836293e-49
BLOCK 3035,1.0367565433753997e-55
BLOCK 3036,2.029404408527744e-208
BLOCK 3037,1.258407987519294e-219
BLOCK 3038,3.9083842146513464e-26
BLOCK 4002,3.372403368668281e-57
BLOCK 4003,5.954525188632735e-37
BLOCK 4004,2.6189233325653607e-37
BLOCK 4005,2.0596158462562428e-53
BLOCK 4006,1.0741613147305614e-54
BLOCK 4007,9.00460193024239e-50
BLOCK 4008,2.6190482501710644e-35
BLOCK 4009,8.418020515968567e-37
BLOCK 4010,3.3599972302749044e-37
BLOCK 4011,1.6499221812236397e-38
BLOCK 4012,4.649921508929926e-38
BLOCK 4013,1.9654436020768196e-35
BLOCK 4014,1.2479038566700802e-36
BLOCK 4015,2.8160041943766817e-36
BLOCK 4016,1.0945578712170044e-144
BLOCK 4017,4.9154837160088805e-37
BLOCK 4018,3.438864684512998e-45
BLOCK 4019,3.820642856602279e-37
BLOCK 4020,1.3797881636046969e-39
BLOCK 4021,1.3052299022224924e-40
BLOCK 4022,3.948929590963405e-229
BLOCK 4023,8.824202930055752e-35
BLOCK 4024,3.265768458143837e-35
BLOCK 4025,2.0214923063907426e-36
BLOCK 4026,4.798572721045701e-38
BLOCK 4027,1.0011749052523285e-39
BLOCK 4028,4.794358237862243e-39
BLOCK 4029,4.555333928841767e-39
BLOCK 4030,1.0746657850281036e-36
BLOCK 4031,3.5574868008848738e-43
BLOCK 4032,2.9501147489421327e-38
BLOCK 4033,3.178853494172062e-43
BLOCK 5000,3.7293207412998195e-124
BLOCK 5001,7.310036517040725e-118
BLOCK 5002,8.383525482022749e-112
BLOCK 5003,1.0798501773225912e-106
BLOCK 5004,7.324293099175737e-99
BLOCK 5005,1.124602002898474e-110
BLOCK 5006,2.913662966423221e-108
BLOCK 5007,1.2863825992132265e-129
BLOCK 5008,2.25793524051207e-129
BLOCK 5009,1.0004926718973474e-122
BLOCK 5010,1.0471308215994986e-117
BLOCK 5011,6.535901080650572e-112
BLOCK 5012,1.0444087515169498e-105
BLOCK 5013,6.311043908530225e-107
BLOCK 5014,1.8301478111334569e-127
BLOCK 5015,1.0127440480332914e-129
BLOCK 5016,2.038305804628147e-103
BLOCK 5017,1.4782378825721424e-124
BLOCK 5018,5.608024276664426e-131
BLOCK 5019,1.2560377461336515e-123
BLOCK 5020,1.7625705370156902e-87
BLOCK 5021,1.1290802349233618e-73
BLOCK 5022,3.1568478283540215e-89
BLOCK 5023,7.762000125459363e-94
BLOCK 5024,1.1639451030892613e-113
BLOCK 5025,2.0743199157133136e-158
BLOCK 5026,2.3453558226587458e-96
BLOCK 5027,3.445449933900292e-50
BLOCK 5028,3.149186307156655e-43
BLOCK 5029,7.054963415465771e-68
BLOCK 5032,3.4421196320661085e-90
BLOCK 5033,2.261156900032251e-70
BLOCK 5034,9.392443463642655e-52
BLOCK 5035,7.713887065291959e-120
BLOCK 2063,7.862366436485675e-24
BLOCK 4034,9.544225839000317e-39
BLOCK 4035,1.7776760482964554e-38
BLOCK 4036,6.309606391573435e-39
BLOCK 4037,1.9220404876700179e-38
BLOCK 4038,1.5368122234973282e-35
BLOCK 4039,1.4478981419361365e-35
BLOCK 4040,1.2027189152630448e-33
BLOCK 4041,1.1428677940003781e-37
BLOCK 4042,1.4040444743520076e-35
BLOCK 4043,2.0962212191935352e-37
