,ethyl_acryl_50 Cumulative Hazard Index PAC3
BLOCK 1030,2.7097352388767175e-07
BLOCK 1033,1.3854629000373552e-07
BLOCK 1035,1.0360599523224351e-07
BLOCK 1037,1.0460334163833214e-07
BLOCK 1038,1.3118495255196042e-07
BLOCK 2009,2.73021270517681e-07
BLOCK 2013,1.3467422499093816e-06
BLOCK 2008,2.734713004172903e-07
BLOCK 1009,8.72330023991108e-07
BLOCK 1016,9.065638444059416e-07
BLOCK 1020,2.8129011253624267e-07
BLOCK 1026,2.750001631328127e-07
BLOCK 1027,1.680350400647345e-07
BLOCK 1028,3.6014325451774105e-07
BLOCK 1029,5.894286121505918e-07
BLOCK 1039,1.690803422910468e-07
BLOCK 1040,2.662325354306189e-07
BLOCK 1052,5.050041996000685e-07
BLOCK 1054,6.47713471979966e-07
BLOCK 2025,1.2547112332815978e-07
BLOCK 2028,5.826904550855482e-07
BLOCK 2029,6.093192471393616e-07
BLOCK 1005,5.712168871430101e-07
BLOCK 1006,1.2309461067601755e-06
BLOCK 1007,1.0912438345023039e-06
BLOCK 1008,1.238740576181078e-06
BLOCK 1011,4.543505432082398e-07
BLOCK 1024,2.7865138988860647e-07
BLOCK 1025,3.011290325449809e-07
BLOCK 3010,2.815201763104319e-06
BLOCK 3011,2.6946133937703754e-06
BLOCK 3012,1.6179002005383848e-06
BLOCK 3013,6.906743538652646e-07
BLOCK 3014,6.981222712262952e-07
BLOCK 3015,2.0491992523939298e-07
BLOCK 3017,2.6489268558437585e-07
BLOCK 3025,5.393755338145316e-07
BLOCK 3026,1.4475829080869586e-07
BLOCK 3027,5.686106209994338e-07
BLOCK 3028,3.1248339832789426e-06
BLOCK 3030,1.924181295189613e-07
BLOCK 3031,3.789557688219115e-07
BLOCK 4047,6.77675725286698e-07
BLOCK 4057,6.851624143580263e-07
BLOCK 4000,1.516963746591675e-13
BLOCK 4001,7.12027281232561e-07
BLOCK 1000,2.0157189096070943e-07
BLOCK 1001,2.0135245471815473e-07
BLOCK 1002,2.719184526683244e-07
BLOCK 1003,3.537670348344764e-07
BLOCK 1004,7.05171312091052e-07
BLOCK 1010,1.12257590792818e-06
BLOCK 1017,4.6160511251989704e-07
BLOCK 1018,3.207602962059273e-07
BLOCK 1019,2.7675026362115143e-07
BLOCK 2000,4.3921919307104126e-07
BLOCK 2001,5.50591814430025e-07
BLOCK 2002,5.800370294164936e-07
BLOCK 2003,5.421179201649764e-07
BLOCK 2004,2.662594722416964e-07
BLOCK 2005,1.829711792010083e-07
BLOCK 2006,1.7297588180323948e-07
BLOCK 2007,1.8248863731350134e-07
BLOCK 2010,2.3121054528275565e-07
BLOCK 2011,5.556931022080647e-07
BLOCK 2012,9.517214212468574e-07
BLOCK 2026,1.9941066774780735e-07
BLOCK 2027,2.3075466409592588e-07
BLOCK 2051,6.662610554827867e-07
BLOCK 2054,6.75381580058448e-07
BLOCK 2055,1.3676985141910586e-06
BLOCK 2056,1.3000494143263035e-06
BLOCK 5030,2.4638913920380163e-15
BLOCK 5031,7.01275171981841e-13
BLOCK 1012,8.771542560586197e-07
BLOCK 1013,2.898613351089896e-06
BLOCK 1014,6.640494974234972e-07
BLOCK 1015,9.388481550385507e-07
BLOCK 1021,2.524021514230688e-07
BLOCK 1022,2.506557442027836e-07
BLOCK 1023,2.3566870648915447e-07
BLOCK 1031,2.0779942476743318e-07
BLOCK 1032,2.0054935027219296e-07
BLOCK 1034,3.634294573478353e-07
BLOCK 1036,1.1832583512554943e-07
BLOCK 1048,3.648152478038095e-07
BLOCK 1049,3.162370487269022e-07
BLOCK 1050,2.1960689170784224e-07
BLOCK 1051,6.651733551593776e-07
BLOCK 1053,6.024909084802428e-07
BLOCK 1055,8.634963434522006e-16
BLOCK 1056,3.511099803947225e-18
BLOCK 1057,4.6357962587264305e-18
BLOCK 1058,6.458707249989304e-07
BLOCK 1059,1.0245626831840237e-07
BLOCK 1060,1.119055481550427e-06
BLOCK 1061,1.4221494313544161e-06
BLOCK 1062,2.313174541214736e-06
BLOCK 1063,8.903729405353154e-07
BLOCK 1064,8.037964717310921e-07
BLOCK 1065,3.9724695519882246e-07
BLOCK 1066,1.2697731072573613e-06
BLOCK 1067,3.075539456725414e-07
BLOCK 3039,1.8737543785533296e-06
BLOCK 3040,1.3255935583199644e-06
BLOCK 3041,1.2012684053138042e-06
BLOCK 3042,1.4841298878860073e-06
BLOCK 3043,1.7485439549040015e-06
BLOCK 3044,1.1003786029669114e-06
BLOCK 3045,1.4652728799321313e-06
BLOCK 3046,1.4868381184865113e-06
BLOCK 3047,9.462876751807743e-07
BLOCK 3048,1.1831032735323124e-06
BLOCK 3049,2.534167599610942e-06
BLOCK 3050,1.1929810505489486e-06
BLOCK 2059,1.5348041680275544e-06
BLOCK 2060,2.179539854414006e-06
BLOCK 2061,7.35139297981298e-07
BLOCK 2064,1.9296529142458835e-06
BLOCK 2014,1.1443172848463966e-06
BLOCK 2015,1.3698380987103645e-06
BLOCK 2016,6.023026947313735e-07
BLOCK 2017,6.784092705689966e-07
BLOCK 2018,1.6297047296956277e-06
BLOCK 2019,3.4523163618577957e-06
BLOCK 2020,9.4577752768999e-07
BLOCK 2021,1.1673735612937326e-06
BLOCK 2022,4.724400287184895e-06
BLOCK 2023,1.8748166371194652e-07
BLOCK 2024,8.805470363878021e-08
BLOCK 3001,5.941442603658561e-07
BLOCK 3002,6.461682851841863e-07
BLOCK 3003,7.548631333289765e-07
BLOCK 3004,2.022731954663562e-06
BLOCK 3005,1.2331020976742738e-06
BLOCK 3006,1.3377788290555703e-06
BLOCK 3007,1.561458904768443e-06
BLOCK 3008,2.8034231361373695e-06
BLOCK 3009,2.896780563124064e-06
BLOCK 3018,2.3451183937826022e-07
BLOCK 3019,4.710294278818805e-07
BLOCK 3020,1.0823893016233141e-07
BLOCK 3021,9.542387245554339e-08
BLOCK 3022,8.767293206306961e-08
BLOCK 3023,1.0118598812123224e-07
BLOCK 3024,3.4381667884632206e-07
BLOCK 3029,2.1453094759364907e-07
BLOCK 2030,9.562760787100953e-08
BLOCK 3000,3.5222846216862484e-07
BLOCK 3016,3.7110411690595757e-07
BLOCK 3032,4.0254209896096104e-07
BLOCK 3033,2.0471618990819174e-06
BLOCK 3034,3.4898790387951594e-07
BLOCK 3035,6.327874507873198e-07
BLOCK 3036,5.530708648028962e-17
BLOCK 3037,8.264474104255981e-17
BLOCK 3038,1.451232188023253e-06
BLOCK 4002,2.1199290433975554e-07
BLOCK 4003,1.9207591291077562e-07
BLOCK 4004,2.999307334652491e-07
BLOCK 4005,3.2772309397501093e-14
BLOCK 4006,3.660465207676575e-18
BLOCK 4007,6.223647847268928e-17
BLOCK 4008,4.5342410309921416e-08
BLOCK 4009,5.010453951760296e-08
BLOCK 4010,5.008730133569408e-08
BLOCK 4011,8.88575599176917e-08
BLOCK 4012,5.467848089407546e-08
BLOCK 4013,1.1741099364887039e-07
BLOCK 4014,5.949753862045178e-08
BLOCK 4015,5.477209173560485e-08
BLOCK 4016,7.400901812454208e-11
BLOCK 4017,5.813831433011545e-08
BLOCK 4018,2.378445552007414e-12
BLOCK 4019,2.1815808193123815e-07
BLOCK 4020,5.969740306346344e-08
BLOCK 4021,2.0277771068021703e-07
BLOCK 4022,4.797141799011095e-16
BLOCK 4023,3.3648537631151736e-07
BLOCK 4024,3.387777894829257e-07
BLOCK 4025,3.2040974288223734e-07
BLOCK 4026,3.9563332356149606e-07
BLOCK 4027,4.430140612449535e-07
BLOCK 4028,4.440091682097854e-07
BLOCK 4029,4.5385109563008743e-07
BLOCK 4030,3.913973402365587e-07
BLOCK 4031,5.703766515286906e-07
BLOCK 4032,4.154748212791357e-07
BLOCK 4033,6.218406772747031e-07
BLOCK 5000,1.3250926348232882e-07
BLOCK 5001,1.2380171670457253e-07
BLOCK 5002,1.218612254842143e-07
BLOCK 5003,1.198275137194369e-07
BLOCK 5004,1.0782080363693643e-07
BLOCK 5005,4.7396389908488024e-08
BLOCK 5006,1.1091045687598378e-08
BLOCK 5007,5.683334290627356e-09
BLOCK 5008,1.2449612527390167e-09
BLOCK 5009,1.339517745004832e-09
BLOCK 5010,5.019593080506213e-10
BLOCK 5011,9.980933071167456e-10
BLOCK 5012,1.5326192341683431e-09
BLOCK 5013,3.2363793677776317e-10
BLOCK 5014,6.346698630051786e-17
BLOCK 5015,1.0518374486221656e-11
BLOCK 5016,5.172483784706961e-12
BLOCK 5017,7.28867500231641e-11
BLOCK 5018,1.1160311277859807e-10
BLOCK 5019,3.116452129671373e-10
BLOCK 5020,2.1123070300830056e-13
