,ethyl_acryl_100 Cumulative Hazard Index PAC3
BLOCK 1030,5.419470477753437e-07
BLOCK 1033,2.7709258000747114e-07
BLOCK 1035,2.072119904644871e-07
BLOCK 1037,2.0920668327666443e-07
BLOCK 1038,2.6236990510392106e-07
BLOCK 2009,5.460425410353623e-07
BLOCK 2013,2.693484499818764e-06
BLOCK 2008,5.469426008345808e-07
BLOCK 1009,1.7446600479822169e-06
BLOCK 1016,1.8131276888118842e-06
BLOCK 1020,5.625802250724859e-07
BLOCK 1026,5.500003262656259e-07
BLOCK 1027,3.3607008012946913e-07
BLOCK 1028,7.202865090354823e-07
BLOCK 1029,1.1788572243011838e-06
BLOCK 1039,3.381606845820937e-07
BLOCK 1040,5.32465070861238e-07
BLOCK 1052,1.0100083992001377e-06
BLOCK 1054,1.295426943959933e-06
BLOCK 2025,2.5094224665631955e-07
BLOCK 2028,1.1653809101710974e-06
BLOCK 2029,1.2186384942787233e-06
BLOCK 1005,1.142433774286021e-06
BLOCK 1006,2.4618922135203528e-06
BLOCK 1007,2.1824876690046086e-06
BLOCK 1008,2.477481152362157e-06
BLOCK 1011,9.087010864164799e-07
BLOCK 1024,5.573027797772134e-07
BLOCK 1025,6.022580650899621e-07
BLOCK 3010,5.630403526208641e-06
BLOCK 3011,5.389226787540754e-06
BLOCK 3012,3.2358004010767726e-06
BLOCK 3013,1.38134870773053e-06
BLOCK 3014,1.3962445424525907e-06
BLOCK 3015,4.098398504787862e-07
BLOCK 3017,5.297853711687519e-07
BLOCK 3025,1.0787510676290638e-06
BLOCK 3026,2.8951658161739183e-07
BLOCK 3027,1.1372212419988682e-06
BLOCK 3028,6.249667966557886e-06
BLOCK 3030,3.8483625903792276e-07
BLOCK 3031,7.579115376438231e-07
BLOCK 4047,1.3553514505733973e-06
BLOCK 4057,1.3703248287160532e-06
BLOCK 4000,3.0339274931833517e-13
BLOCK 4001,1.4240545624651225e-06
BLOCK 1000,4.03143781921419e-07
BLOCK 1001,4.027049094363098e-07
BLOCK 1002,5.43836905336649e-07
BLOCK 1003,7.075340696689531e-07
BLOCK 1004,1.4103426241821044e-06
BLOCK 1010,2.245151815856361e-06
BLOCK 1017,9.232102250397947e-07
BLOCK 1018,6.41520592411855e-07
BLOCK 1019,5.53500527242303e-07
BLOCK 2000,8.784383861420829e-07
BLOCK 2001,1.1011836288600506e-06
BLOCK 2002,1.1600740588329881e-06
BLOCK 2003,1.0842358403299536e-06
BLOCK 2004,5.32518944483393e-07
BLOCK 2005,3.659423584020167e-07
BLOCK 2006,3.459517636064792e-07
BLOCK 2007,3.649772746270027e-07
BLOCK 2010,4.624210905655115e-07
BLOCK 2011,1.1113862044161297e-06
BLOCK 2012,1.9034428424937156e-06
BLOCK 2026,3.9882133549561485e-07
BLOCK 2027,4.6150932819185196e-07
BLOCK 2051,1.3325221109655747e-06
BLOCK 2054,1.3507631601168967e-06
BLOCK 2055,2.7353970283821185e-06
BLOCK 2056,2.6000988286526074e-06
BLOCK 5030,4.927782784076035e-15
BLOCK 5031,1.4025503439636823e-12
BLOCK 1012,1.7543085121172398e-06
BLOCK 1013,5.7972267021797944e-06
BLOCK 1014,1.3280989948469948e-06
BLOCK 1015,1.8776963100771022e-06
BLOCK 1021,5.048043028461378e-07
BLOCK 1022,5.013114884055673e-07
BLOCK 1023,4.7133741297830915e-07
BLOCK 1031,4.1559884953486647e-07
BLOCK 1032,4.01098700544386e-07
BLOCK 1034,7.268589146956708e-07
BLOCK 1036,2.3665167025109893e-07
BLOCK 1048,7.296304956076195e-07
BLOCK 1049,6.324740974538047e-07
BLOCK 1050,4.3921378341568463e-07
BLOCK 1051,1.3303467103187557e-06
BLOCK 1053,1.204981816960486e-06
BLOCK 1055,1.7269926869044015e-15
BLOCK 1056,7.022199607894451e-18
BLOCK 1057,9.271592517452866e-18
BLOCK 1058,1.2917414499978615e-06
BLOCK 1059,2.0491253663680478e-07
