,butyl_acryl Cumulative Hazard Index PAC3
BLOCK 1030,2.4549216007051905e-07
BLOCK 1033,1.2421356325639884e-07
BLOCK 1035,9.213269162046581e-08
BLOCK 1037,9.29581091793622e-08
BLOCK 1038,1.1784882577545616e-07
BLOCK 2009,2.4640552378759607e-07
BLOCK 2013,1.1886552131133845e-06
BLOCK 2008,2.47907988836525e-07
BLOCK 1009,7.725598365607183e-07
BLOCK 1016,8.077181840829532e-07
BLOCK 1020,2.533563439333299e-07
BLOCK 1026,2.4809536304302797e-07
BLOCK 1027,1.4906742787888433e-07
BLOCK 1028,3.2136601031712104e-07
BLOCK 1029,5.253790000065133e-07
BLOCK 1039,1.5274402669561657e-07
BLOCK 1040,2.3544325513135554e-07
BLOCK 1052,4.477493562238939e-07
BLOCK 1054,5.749748943504442e-07
BLOCK 2025,1.128500102534814e-07
BLOCK 2028,5.157342660893875e-07
BLOCK 2029,5.395173124635602e-07
BLOCK 1005,5.046579344605716e-07
BLOCK 1006,1.0828154924725717e-06
BLOCK 1007,9.609304431754914e-07
BLOCK 1008,1.095557001100938e-06
BLOCK 1011,4.257138918684617e-07
BLOCK 1024,2.5105553184423643e-07
BLOCK 1025,2.7225440862538335e-07
BLOCK 3010,2.6592563644318473e-06
BLOCK 3011,2.5483534925684035e-06
BLOCK 3012,1.5150948485138573e-06
BLOCK 3013,6.394459073305046e-07
BLOCK 3014,6.449141952836258e-07
BLOCK 3015,1.8718403888588407e-07
BLOCK 3017,2.4714361681268827e-07
BLOCK 3025,4.819156815697332e-07
BLOCK 3026,1.290094485940293e-07
BLOCK 3027,5.130766878008292e-07
BLOCK 3028,2.8742260208314817e-06
BLOCK 3030,1.7086376455142727e-07
BLOCK 3031,3.368296229564044e-07
BLOCK 4047,6.043066383562912e-07
BLOCK 4057,6.089534835475077e-07
BLOCK 4000,1.3894262028898845e-13
BLOCK 4001,6.611223078383532e-07
BLOCK 1000,1.8091910543878317e-07
BLOCK 1001,1.799665041624102e-07
BLOCK 1002,2.4173827116091293e-07
BLOCK 1003,3.136634541572631e-07
BLOCK 1004,6.259166383558473e-07
BLOCK 1010,9.967386118887117e-07
BLOCK 1017,4.1335052790797335e-07
BLOCK 1018,2.87264433110123e-07
BLOCK 1019,2.4896077777368163e-07
BLOCK 2000,3.8935100900782477e-07
BLOCK 2001,4.881197311190013e-07
BLOCK 2002,5.141650867119353e-07
BLOCK 2003,4.804666844836089e-07
BLOCK 2004,2.405891177922115e-07
BLOCK 2005,1.6456582195722005e-07
BLOCK 2006,1.5547258786489556e-07
BLOCK 2007,1.6404346011211144e-07
BLOCK 2010,2.082493496387117e-07
BLOCK 2011,4.921911392654832e-07
BLOCK 2012,8.393510471478129e-07
BLOCK 2026,1.8086574281047023e-07
BLOCK 2027,2.094646231476885e-07
BLOCK 2051,5.907827173881135e-07
BLOCK 2054,5.986953955939236e-07
BLOCK 2055,1.2057793052535707e-06
BLOCK 2056,1.1505382344620178e-06
BLOCK 5030,2.2646082757365396e-15
BLOCK 5031,6.52008512269873e-13
BLOCK 1012,7.828688201495481e-07
BLOCK 1013,2.5450127392059225e-06
BLOCK 1014,5.837039953925974e-07
BLOCK 1015,8.367652108820444e-07
BLOCK 1021,2.2712601043729347e-07
BLOCK 1022,2.2569810573592432e-07
BLOCK 1023,2.119133956556984e-07
BLOCK 1031,1.8817259756574844e-07
BLOCK 1032,1.8118051783590546e-07
BLOCK 1034,3.269546217916067e-07
BLOCK 1036,1.0507742600771302e-07
BLOCK 1048,3.236575605980834e-07
BLOCK 1049,2.855162819460296e-07
BLOCK 1050,1.9824512983221999e-07
BLOCK 1051,5.901489710322253e-07
BLOCK 1053,5.354070505298973e-07
BLOCK 1055,7.6150382484353225e-16
BLOCK 1056,3.1027010959543338e-18
BLOCK 1057,4.08562428585409e-18
BLOCK 1058,5.7419568802666e-07
BLOCK 1059,9.107418399624115e-08
BLOCK 1060,1.0085567912021281e-06
BLOCK 1061,1.2721036054681576e-06
BLOCK 1062,2.062215816911346e-06
BLOCK 1063,7.913739884852152e-07
BLOCK 1064,7.162589510560859e-07
BLOCK 1065,3.73084553766639e-07
BLOCK 1066,1.1461861191972467e-06
BLOCK 1067,2.833975383263198e-07
BLOCK 3039,1.6688441838049067e-06
BLOCK 3040,1.184009324457394e-06
BLOCK 3041,1.0730513999285081e-06
BLOCK 3042,1.3251360479880085e-06
BLOCK 3043,1.5604372250223417e-06
BLOCK 3044,9.827959115645132e-07
BLOCK 3045,1.3109226958056159e-06
BLOCK 3046,1.3317219347365566e-06
BLOCK 3047,8.484463813519998e-07
BLOCK 3048,1.0576333479890082e-06
BLOCK 3049,2.25733710093299e-06
BLOCK 3050,1.0665577010332542e-06
BLOCK 2059,1.3689676440315205e-06
BLOCK 2060,1.9365349054907e-06
BLOCK 2061,6.495813383610016e-07
BLOCK 2064,1.715215097481503e-06
BLOCK 2014,1.0052920965840255e-06
BLOCK 2015,1.2060712532647827e-06
BLOCK 2016,5.283624032212907e-07
BLOCK 2017,5.955180891218309e-07
BLOCK 2018,1.4278097881803564e-06
BLOCK 2019,3.0308178103777346e-06
BLOCK 2020,1.1094889734630653e-06
BLOCK 2021,1.0272188870403724e-06
BLOCK 2022,4.137206251975032e-06
BLOCK 2023,1.786841366918256e-07
BLOCK 2024,8.087759010364983e-08
BLOCK 3001,5.682987072450177e-07
BLOCK 3002,6.113023860483739e-07
BLOCK 3003,7.171890362777811e-07
BLOCK 3004,1.99245674910057e-06
BLOCK 3005,1.1801059861613895e-06
BLOCK 3006,1.2898439524927982e-06
BLOCK 3007,1.4847596689679617e-06
BLOCK 3008,2.644476044249403e-06
BLOCK 3009,2.74974852300528e-06
BLOCK 3018,2.1855569650082594e-07
BLOCK 3019,4.221333160225856e-07
BLOCK 3020,9.61292318265737e-08
BLOCK 3021,8.488710193930081e-08
BLOCK 3022,7.803480771188573e-08
BLOCK 3023,9.05374809601718e-08
BLOCK 3024,3.072348511855043e-07
BLOCK 3029,1.9116000900644667e-07
BLOCK 2030,8.694507268279254e-08
BLOCK 3000,3.3098711179218066e-07
BLOCK 3016,3.3900872978699653e-07
BLOCK 3032,3.5744923786216445e-07
BLOCK 3033,1.8243779846749927e-06
BLOCK 3034,3.1168988938014095e-07
BLOCK 3035,5.623219826510265e-07
BLOCK 3036,5.2091895287073384e-09
BLOCK 3037,7.180054972664043e-09
BLOCK 3038,1.2818091664054026e-06
BLOCK 4002,1.968914164206771e-07
BLOCK 4003,1.7658605932946325e-07
BLOCK 4004,2.7797312931945976e-07
BLOCK 4005,3.0761410444811614e-14
BLOCK 4006,3.4594688851109877e-18
BLOCK 4007,5.953228217620108e-17
BLOCK 4008,4.089621707384484e-08
BLOCK 4009,4.5048578275921604e-08
BLOCK 4010,4.496249243274478e-08
BLOCK 4011,8.079573851980052e-08
BLOCK 4012,4.906383659744667e-08
BLOCK 4013,1.0670660969232036e-07
BLOCK 4014,5.3728326906982155e-08
BLOCK 4015,4.945110950204442e-08
BLOCK 4016,3.813303807911266e-10
BLOCK 4017,5.2421051379879364e-08
BLOCK 4018,2.2750987190346104e-12
BLOCK 4019,1.9751708867930998e-07
BLOCK 4020,5.343876979964657e-08
BLOCK 4021,1.8263894416754447e-07
BLOCK 4022,1.4043906008295379e-08
BLOCK 4023,3.035713627866197e-07
BLOCK 4024,3.05247071446941e-07
BLOCK 4025,2.877901356200921e-07
BLOCK 4026,3.548363837077136e-07
BLOCK 4027,3.965685956654313e-07
BLOCK 4028,3.980002433238022e-07
BLOCK 4029,4.0776024017760853e-07
BLOCK 4030,3.521578360644998e-07
BLOCK 4031,5.101444854759152e-07
BLOCK 4032,3.7071011971052906e-07
BLOCK 4033,5.548969087413623e-07
BLOCK 5000,1.1832339127056574e-07
BLOCK 5001,1.1065184458675711e-07
BLOCK 5002,1.0904885606786703e-07
BLOCK 5003,1.0736132565079745e-07
BLOCK 5004,9.68220060103225e-08
BLOCK 5005,4.2429597122776404e-08
BLOCK 5006,9.939103657809572e-09
BLOCK 5007,5.148055136165989e-09
BLOCK 5008,1.1822601682276282e-09
BLOCK 5009,1.2281223227837627e-09
BLOCK 5010,4.6405032628496683e-10
BLOCK 5011,9.000129605300332e-10
BLOCK 5012,1.3764121162611167e-09
BLOCK 5013,2.927047416084338e-10
BLOCK 5014,1.1265117039623686e-11
BLOCK 5015,6.490621923046511e-11
BLOCK 5016,5.4708780847040325e-12
