,Total HCl 20% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.9205682627145883e-156
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,2.5050717520569703e-218
BLOCK 1006,0.0
BLOCK 1007,5.549184033276559e-204
BLOCK 1008,3.444582115187337e-127
BLOCK 1011,5.295198953950938e-12
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,2.5321817720262466e-15
BLOCK 3011,5.647088143451575e-15
BLOCK 3012,8.153670442783972e-14
BLOCK 3013,4.204023734753626e-16
BLOCK 3014,6.425585132196041e-13
BLOCK 3015,5.394238185162685e-23
BLOCK 3017,1.1546849403122281e-20
BLOCK 3025,3.0509020550018637e-96
BLOCK 3026,4.9438161026209075e-61
BLOCK 3027,5.598212017213747e-25
BLOCK 3028,1.1107468513962796e-19
BLOCK 3030,1.504979115276333e-62
BLOCK 3031,1.382147426425158e-24
BLOCK 4047,2.3764068765297267e-121
BLOCK 4057,7.806459426776976e-152
BLOCK 4000,5.4190908277780005e-114
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,3.044575377e-314
BLOCK 1002,5.871668549527033e-287
BLOCK 1003,2.0760666872442325e-294
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,2.129191343240235e-158
BLOCK 1014,1.280443448608882e-69
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.4098498663470919e-70
BLOCK 1056,5.2809256650161894e-79
BLOCK 1057,1.9038669175202166e-73
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,6.680375282490769e-153
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.9694708901259018e-16
BLOCK 2024,1.459903517004246e-13
BLOCK 3001,8.786689515167355e-13
BLOCK 3002,7.057691677131422e-12
BLOCK 3003,6.747013889591054e-13
BLOCK 3004,1.2557697964346886e-11
BLOCK 3005,8.766090598517097e-11
BLOCK 3006,2.9767442326563e-11
BLOCK 3007,3.370287546980472e-12
BLOCK 3008,8.363554725413863e-16
BLOCK 3009,3.397530382306649e-15
BLOCK 3018,6.793633099577298e-21
BLOCK 3019,2.8798077984171235e-30
BLOCK 3020,5.317864800266804e-48
BLOCK 3021,6.775855152927182e-41
BLOCK 3022,1.8963587864603167e-45
BLOCK 3023,5.473855640012131e-59
BLOCK 3024,8.827406417464901e-80
BLOCK 3029,1.1496174241258316e-67
BLOCK 2030,1.376563249471216e-14
BLOCK 3000,2.964395956468248e-18
BLOCK 3016,3.9460003724601426e-27
BLOCK 3032,1.1529524963001232e-43
BLOCK 3033,8.465508264639435e-31
BLOCK 3034,1.9696246954544367e-79
BLOCK 3035,5.721994474196307e-89
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,1.307606297637e-310
BLOCK 4003,7.849936694132501e-25
BLOCK 4004,1.3998365822408072e-31
BLOCK 4005,2.018817166130567e-127
BLOCK 4006,3.484787672518325e-114
BLOCK 4007,8.613566438633204e-129
BLOCK 4008,8.163850429021068e-50
BLOCK 4009,3.8671765519840293e-47
BLOCK 4010,2.2502682543989424e-41
BLOCK 4011,1.9355392808855053e-36
BLOCK 4012,2.8052160712863777e-46
BLOCK 4013,5.318858078365057e-78
BLOCK 4014,5.627369639517398e-60
BLOCK 4015,8.440544200428688e-58
BLOCK 4016,0.0
BLOCK 4017,2.270525582162548e-57
BLOCK 4018,2.877608974910593e-160
BLOCK 4019,4.968769945665223e-87
BLOCK 4020,3.6462302764613903e-44
BLOCK 4021,4.264340313818475e-78
BLOCK 4022,0.0
BLOCK 4023,4.3336978156515595e-151
BLOCK 4024,7.755291678178331e-156
BLOCK 4025,1.1816096404589018e-171
BLOCK 4026,9.962415924110011e-158
BLOCK 4027,9.755710387493058e-155
BLOCK 4028,8.560628920748003e-148
BLOCK 4029,8.962881120062826e-125
BLOCK 4030,1.080632835926918e-143
BLOCK 4031,1.9377026796761088e-122
BLOCK 4032,7.2946851010717755e-174
BLOCK 4033,1.6127547567880468e-132
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,5.0980030541981656e-167
BLOCK 4035,1.1706603519042919e-172
BLOCK 4036,1.5915798705866009e-168
BLOCK 4037,1.8693549964703885e-175
BLOCK 4038,1.7320414926881738e-214
BLOCK 4039,1.429906286496747e-224
BLOCK 4040,1.4975820630968058e-266
BLOCK 4041,7.34516330625772e-178
BLOCK 4042,5.930929731582791e-207
BLOCK 4043,4.669299619591543e-180
BLOCK 4044,6.007783729082223e-156
BLOCK 4045,1.0088781336857033e-140
BLOCK 4046,3.347473214480032e-137
BLOCK 4048,2.29332664688247e-101
BLOCK 4049,1.574255035317913e-104
BLOCK 4050,5.013119243002497e-97
BLOCK 4051,1.3533740080421001e-126
BLOCK 4052,6.442255491215474e-133
BLOCK 4053,6.13858982725781e-135
BLOCK 4054,2.159479782809376e-140
BLOCK 4055,1.2173577792062632e-142
BLOCK 4056,5.512881132894802e-157
BLOCK 4058,2.9636687042363185e-142
BLOCK 4059,1.0970634780480874e-141
BLOCK 4061,2.018669371814821e-180
BLOCK 4062,2.84487887826401e-174
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.5508008942641485e-11
BLOCK 2032,1.2345317324488518e-10
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,5.143366655541775e-22
BLOCK 2058,1.5657208508427918e-12
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.29379734445944e-169
BLOCK 4064,3.0632509425082516e-160
BLOCK 4065,7.156718782843485e-266
