,butyl_acryl Cumulative Hazard Index PAC3
BLOCK 1030,2.6513200403081327e-07
BLOCK 1033,1.3303051057855523e-07
BLOCK 1035,9.779219509588528e-08
BLOCK 1037,9.801674446972529e-08
BLOCK 1038,1.2576335586201037e-07
BLOCK 2009,2.6549503559629794e-07
BLOCK 2013,1.4739787846643996e-06
BLOCK 2008,2.6712564578400593e-07
BLOCK 1009,9.078057862106645e-07
BLOCK 1016,9.728617731216222e-07
BLOCK 1020,2.7377290656450373e-07
BLOCK 1026,2.674699201380978e-07
BLOCK 1027,1.6270959222032792e-07
BLOCK 1028,3.58365494708244e-07
BLOCK 1029,6.00946276073323e-07
BLOCK 1039,1.6324737987208006e-07
BLOCK 1040,2.640759639040974e-07
BLOCK 1052,5.072917417661455e-07
BLOCK 1054,6.644917961951231e-07
BLOCK 2025,1.2016211614783958e-07
BLOCK 2028,6.64093646535963e-07
BLOCK 2029,6.958349150676317e-07
BLOCK 1005,5.744089215075685e-07
BLOCK 1006,1.3993599481680468e-06
BLOCK 1007,1.1838602931405862e-06
BLOCK 1008,1.3339005137163634e-06
BLOCK 1011,4.676477589912411e-07
BLOCK 1024,2.7111822038034475e-07
BLOCK 1025,2.9466489537613254e-07
BLOCK 3010,4.962253298535782e-06
BLOCK 3011,4.613774018955465e-06
BLOCK 3012,2.3491709737214514e-06
BLOCK 3013,1.3455531820179373e-06
BLOCK 3014,1.0055774943921877e-06
BLOCK 3015,3.680530401361645e-07
BLOCK 3017,5.170770847654502e-07
BLOCK 3025,5.433344521767609e-07
BLOCK 3026,1.4218309638771025e-07
BLOCK 3027,1.6040741215495137e-06
BLOCK 3028,5.875719848845778e-06
BLOCK 3030,1.9188084303184466e-07
BLOCK 3031,4.854730784963619e-07
BLOCK 4047,6.824397895876569e-07
BLOCK 4057,6.951344928181422e-07
BLOCK 4000,3.97298086866138e-14
BLOCK 4001,1.979771235803036e-06
BLOCK 1000,1.9436038661081902e-07
BLOCK 1001,1.9361468027955434e-07
BLOCK 1002,2.633949386177487e-07
BLOCK 1003,3.475656897799566e-07
BLOCK 1004,7.29152994672783e-07
BLOCK 1010,1.2260040428384756e-06
BLOCK 1017,4.613717116904097e-07
BLOCK 1018,3.1411525844722256e-07
BLOCK 1019,2.692472927828471e-07
BLOCK 2000,4.3664684729565424e-07
BLOCK 2001,5.566069073836293e-07
BLOCK 2002,5.886366712416399e-07
BLOCK 2003,5.472057923459168e-07
BLOCK 2004,2.5876303693838743e-07
BLOCK 2005,1.7598897128992683e-07
BLOCK 2006,1.6607132587972735e-07
BLOCK 2007,1.754908595287842e-07
BLOCK 2010,2.2374350498660867e-07
BLOCK 2011,5.615672004149868e-07
BLOCK 2012,1.0061090235882582e-06
BLOCK 2026,1.9379928111435796e-07
BLOCK 2027,2.2513774670562378e-07
BLOCK 2051,6.838992445428523e-07
BLOCK 2054,6.937766461213595e-07
BLOCK 2055,1.4964462610074365e-06
BLOCK 2056,1.4326800178783678e-06
BLOCK 5030,4.881944933544741e-16
BLOCK 5031,3.01726314880439e-13
BLOCK 1012,9.432172107777511e-07
BLOCK 1013,3.899506202092487e-06
BLOCK 1014,4.893825199103385e-06
BLOCK 1015,1.0144848885886445e-06
BLOCK 1021,2.4487069000779303e-07
BLOCK 1022,2.431048130226235e-07
