,ethyl_acryl_50 Cumulative Hazard Index PAC2
BLOCK 1030,3.703662829832594e-07
BLOCK 1033,1.8778232855244122e-07
BLOCK 1035,1.391247454454011e-07
BLOCK 1037,1.3952866931294066e-07
BLOCK 1038,1.771710211032131e-07
BLOCK 2009,3.722956677675456e-07
BLOCK 2013,2.112318099225871e-06
BLOCK 2008,3.729253351198924e-07
BLOCK 1009,1.2972187878151779e-06
BLOCK 1016,1.3811076702040963e-06
BLOCK 1020,3.846768822983387e-07
BLOCK 1026,3.7520998917433944e-07
BLOCK 1027,2.320796134487476e-07
BLOCK 1028,5.082402211023977e-07
BLOCK 1029,8.532291331022003e-07
BLOCK 1039,2.2869361764229511e-07
BLOCK 1040,3.778729646912086e-07
BLOCK 1052,7.236692813978509e-07
BLOCK 1054,9.467469563282455e-07
BLOCK 2025,1.6907910100840026e-07
BLOCK 2028,9.492181005545428e-07
BLOCK 2029,9.941948646051372e-07
BLOCK 1005,8.227629580069381e-07
BLOCK 1006,2.0132015650946696e-06
BLOCK 1007,1.7013366208880162e-06
BLOCK 1008,1.908741628137148e-06
BLOCK 1011,6.2902524976205e-07
BLOCK 1024,3.808318041554266e-07
BLOCK 1025,4.1246985304524705e-07
BLOCK 3010,6.49721720887621e-06
BLOCK 3011,6.035485670684878e-06
BLOCK 3012,3.1012035532381625e-06
BLOCK 3013,1.8187572782150804e-06
BLOCK 3014,1.3615663163973008e-06
BLOCK 3015,5.066116275203935e-07
BLOCK 3017,6.98013970333463e-07
BLOCK 3025,7.696207508203042e-07
BLOCK 3026,2.01927742204058e-07
BLOCK 3027,2.240098926206004e-06
BLOCK 3028,7.9006035284208e-06
BLOCK 3030,2.734979513655393e-07
BLOCK 3031,6.883928853426567e-07
BLOCK 4047,9.68517601613981e-07
BLOCK 4057,9.89805541940663e-07
BLOCK 4000,5.496637117898865e-14
BLOCK 4001,2.6969357912833608e-06
BLOCK 1000,2.7403445133052943e-07
BLOCK 1001,2.741215866645725e-07
BLOCK 1002,3.749223935341015e-07
BLOCK 1003,4.960619355794218e-07
BLOCK 1004,1.0389852525477095e-06
BLOCK 1010,1.746516265502936e-06
BLOCK 1017,6.520510299365408e-07
BLOCK 1018,4.438784793790068e-07
BLOCK 1019,3.78780496084136e-07
BLOCK 2000,6.230162486073646e-07
BLOCK 2001,7.940939165198092e-07
BLOCK 2002,8.398840960964237e-07
BLOCK 2003,7.809140788219863e-07
BLOCK 2004,3.6242476797146084e-07
BLOCK 2005,2.4761650683888223e-07
BLOCK 2006,2.3381479787894416e-07
BLOCK 2007,2.4704774107394057e-07
BLOCK 2010,3.1437293109416234e-07
BLOCK 2011,8.019140143710986e-07
BLOCK 2012,1.4429285876326178e-06
