,butyl_acryl Cumulative Hazard Index PAC1
BLOCK 1030,1.5414651397140314e-05
BLOCK 1033,7.734332010381115e-06
BLOCK 1035,5.685592738132866e-06
BLOCK 1037,5.6986479342863534e-06
BLOCK 1038,7.311823015233161e-06
BLOCK 2009,1.5435757883505696e-05
BLOCK 2013,8.56964409688605e-05
BLOCK 2008,1.5530560801395687e-05
BLOCK 1009,5.277940617503864e-05
BLOCK 1016,5.656173099544312e-05
BLOCK 1020,1.5917029451424633e-05
BLOCK 1026,1.5550576752214992e-05
BLOCK 1027,9.459860012809758e-06
BLOCK 1028,2.0835203180711875e-05
BLOCK 1029,3.493873698100714e-05
BLOCK 1039,9.491126736748843e-06
BLOCK 1040,1.5353253715354502e-05
BLOCK 1052,2.9493705916636384e-05
BLOCK 1054,3.863324396483272e-05
BLOCK 2025,6.986169543479046e-06
BLOCK 2028,3.861009572883505e-05
BLOCK 2029,4.0455518317885605e-05
BLOCK 1005,3.339586752950979e-05
BLOCK 1006,8.135813652139803e-05
BLOCK 1007,6.882908681049918e-05
BLOCK 1008,7.755235544862577e-05
BLOCK 1011,2.718882319716518e-05
BLOCK 1024,1.576268723141539e-05
BLOCK 1025,1.713167996372863e-05
BLOCK 3010,0.00028850309875208053
BLOCK 3011,0.00026824267552066666
BLOCK 3012,0.00013657970777450305
BLOCK 3013,7.822983616383366e-05
BLOCK 3014,5.846380781349927e-05
BLOCK 3015,2.139843256605607e-05
BLOCK 3017,3.0062621207293604e-05
BLOCK 3025,3.15892123358582e-05
BLOCK 3026,8.266459092308737e-06
BLOCK 3027,9.326012334590192e-05
BLOCK 3028,0.00034161161911894054
BLOCK 3030,1.1155862966967712e-05
BLOCK 3031,2.8225178982346635e-05
BLOCK 4047,3.967673195277075e-05
BLOCK 4057,4.041479609407804e-05
BLOCK 4000,2.3098725980589415e-12
BLOCK 4001,0.00011510297882575791
BLOCK 1000,1.1300022477373194e-05
BLOCK 1001,1.1256667458113617e-05
BLOCK 1002,1.5313659221962124e-05
BLOCK 1003,2.0207307545346315e-05
BLOCK 1004,4.239261596934788e-05
BLOCK 1010,7.127930481619039e-05
BLOCK 1017,2.682393672618661e-05
BLOCK 1018,1.8262515026001324e-05
BLOCK 1019,1.565391237109576e-05
BLOCK 2000,2.5386444610212457e-05
BLOCK 2001,3.2360866708350524e-05
BLOCK 2002,3.422306228149071e-05
BLOCK 2003,3.1814290252669566e-05
BLOCK 2004,1.5044362612696951e-05
BLOCK 2005,1.0231916935460864e-05
BLOCK 2006,9.6553096441702e-06
BLOCK 2007,1.0202956949347917e-05
BLOCK 2010,1.3008343313174926e-05
BLOCK 2011,3.264925583808064e-05
BLOCK 2012,5.849471067373593e-05
BLOCK 2026,1.1267400064788254e-05
BLOCK 2027,1.3089403878233943e-05
BLOCK 2051,3.976158398504957e-05
BLOCK 2054,4.033585151868373e-05
BLOCK 2055,8.700268959345561e-05
BLOCK 2056,8.329534987664938e-05
BLOCK 5030,2.838340077642291e-14
BLOCK 5031,1.7542227609327852e-11
BLOCK 1012,5.483820992893903e-05
BLOCK 1013,0.00022671547686584225
BLOCK 1014,0.0002845247208781038
BLOCK 1015,5.8981679569107235e-05
BLOCK 1021,1.42366680237089e-05
BLOCK 1022,1.4134000757129269e-05
BLOCK 1023,1.3361223472306638e-05
BLOCK 1031,1.1749667279919644e-05
BLOCK 1032,1.1318202679914904e-05
BLOCK 1034,2.08034520735674e-05
BLOCK 1036,6.425350716660996e-06
BLOCK 1048,2.0843715563131037e-05
BLOCK 1049,1.801206524439787e-05
BLOCK 1050,1.2428421729316784e-05
BLOCK 1051,3.97257010648834e-05
BLOCK 1053,3.5789818157792965e-05
BLOCK 1055,1.3371532202554983e-14
BLOCK 1056,4.722511047980747e-17
BLOCK 1057,4.0202895360790276e-17
BLOCK 1058,3.8690475467590976e-05
BLOCK 1059,5.587659243242635e-06
BLOCK 1060,0.00013960376880347336
BLOCK 1061,0.00015838090219960198
BLOCK 1062,0.0003032723927981301
BLOCK 1063,6.520666242951425e-05
BLOCK 1064,5.869320986318221e-05
BLOCK 1065,4.789670563905695e-05
BLOCK 1066,0.00016385913831874917
BLOCK 1067,3.79980418098745e-05
BLOCK 3039,0.00025531919381953524
BLOCK 3040,0.00016106466933263038
BLOCK 3041,0.00014412642662016455
BLOCK 3042,0.00018465977418939323
BLOCK 3043,0.00022540844867729618
BLOCK 3044,0.00013318064382446897
BLOCK 3045,0.0002185741375701339
BLOCK 3046,0.00022591672695908676
BLOCK 3047,0.00013727020761110663
BLOCK 3048,0.00013978149448907686
BLOCK 3049,0.00035491955317270245
BLOCK 3050,0.00016187289368486247
BLOCK 2059,0.00010356250983508174
BLOCK 2060,0.00019578384306959666
BLOCK 2061,4.4991198533474596e-05
BLOCK 2064,0.00013657554572704306
BLOCK 2014,7.234153596394388e-05
BLOCK 2015,8.759366585036679e-05
BLOCK 2016,3.572377140081573e-05
BLOCK 2017,4.2691304169991056e-05
BLOCK 2018,0.00011043335619249112
BLOCK 2019,0.0003982949380582719
BLOCK 2020,0.002144883529428045
BLOCK 2021,8.614968004303487e-05
BLOCK 2022,0.0004386396453950663
BLOCK 2023,1.9397697912028988e-05
BLOCK 2024,5.37265375465562e-06
BLOCK 3001,6.456491235700028e-05
BLOCK 3002,6.261275346610052e-05
BLOCK 3003,8.393979016383926e-05
BLOCK 3004,0.00020939784925582547
BLOCK 3005,7.916671518215245e-05
BLOCK 3006,8.338841650299496e-05
BLOCK 3007,9.685653584913826e-05
BLOCK 3008,0.00031242217234040765
BLOCK 3009,0.0003205608045353254
BLOCK 3018,2.587900846340395e-05
BLOCK 3019,7.013196352553758e-05
BLOCK 3020,6.3021164423019456e-06
BLOCK 3021,5.827539163641301e-06
BLOCK 3022,5.046148726720358e-06
BLOCK 3023,5.723221946611155e-06
BLOCK 3024,1.9931558652511667e-05
BLOCK 3029,1.2296446972507928e-05
BLOCK 2030,5.735978715731679e-06
BLOCK 3000,4.157487651588357e-05
BLOCK 3016,4.43325780009747e-05
BLOCK 3032,6.456836455285246e-05
BLOCK 3033,0.0003463910175812042
BLOCK 3034,2.025818059152373e-05
BLOCK 3035,3.805863027355468e-05
BLOCK 3036,2.3455207795990096e-05
BLOCK 3037,3.063693141165429e-05
BLOCK 3038,0.00012870450677539188
BLOCK 4002,2.133002130319424e-05
BLOCK 4003,1.997088920847427e-05
BLOCK 4004,3.3766695995993804e-05
BLOCK 4005,7.756253738138809e-13
BLOCK 4006,5.676736365755106e-17
BLOCK 4007,1.3741084520130265e-15
BLOCK 4008,2.5402475369951823e-06
BLOCK 4009,2.8139621317619104e-06
BLOCK 4010,2.846598162994077e-06
BLOCK 4011,7.22524374465661e-06
BLOCK 4012,3.0790653167690223e-06
BLOCK 4013,6.578750978951862e-06
BLOCK 4014,3.3282730623090013e-06
BLOCK 4015,3.067277321520092e-06
BLOCK 4016,8.051085935281214e-07
BLOCK 4017,3.259292577748232e-06
BLOCK 4018,8.7635493438727e-11
BLOCK 4019,1.2377718015829712e-05
BLOCK 4020,3.3746006572367474e-06
BLOCK 4021,1.1497270487144381e-05
BLOCK 4022,7.370820210854466e-05
BLOCK 4023,1.9018840535973885e-05
BLOCK 4024,1.916380829864631e-05
BLOCK 4025,1.811793187530444e-05
BLOCK 4026,2.253292559972449e-05
BLOCK 4027,2.5362884548150796e-05
BLOCK 4028,2.5383522552835964e-05
BLOCK 4029,2.5921852974003232e-05
BLOCK 4030,2.222803370561054e-05
BLOCK 4031,3.298800213278606e-05
BLOCK 4032,2.3786668178995307e-05
BLOCK 4033,3.618589280109766e-05
BLOCK 5000,7.910695541409918e-06
BLOCK 5001,7.272661624888997e-06
BLOCK 5002,7.1939726314857315e-06
BLOCK 5003,7.1179098366011695e-06
BLOCK 5004,6.348258419464138e-06
BLOCK 5005,2.2567793023480994e-06
BLOCK 5006,4.005172416018522e-07
BLOCK 5007,3.293430659029579e-07
BLOCK 5008,1.8485203301326555e-07
BLOCK 5009,9.308763336387494e-08
BLOCK 5010,3.847427230900131e-08
BLOCK 5011,3.2778176673471986e-08
BLOCK 5012,4.1311696829284466e-08
BLOCK 5013,1.0176618413177096e-08
BLOCK 5014,2.467368854736e-08
BLOCK 5015,1.1352787157259249e-07
BLOCK 5016,1.317846904548521e-09
BLOCK 5017,7.354402646441166e-08
BLOCK 5018,1.7796734319829295e-07
BLOCK 5019,7.505230995163087e-08
BLOCK 5020,9.498168316162492e-12
BLOCK 5021,2.2323219904665132e-11
BLOCK 5022,9.608346640805658e-14
BLOCK 5023,4.701515315931658e-12
BLOCK 5024,1.1767818119726363e-09
BLOCK 5025,1.772773253393165e-07
BLOCK 5026,1.4344204559611322e-10
BLOCK 5027,3.1591082429138588e-06
BLOCK 5028,8.708169335712848e-05
BLOCK 5029,2.0564244701590465e-07
BLOCK 5032,1.0573709647297395e-15
BLOCK 5033,6.972092696390204e-14
BLOCK 5034,8.092021147600474e-07
BLOCK 5035,4.691761235252598e-08
BLOCK 2063,5.3122938206353885e-05
BLOCK 4034,2.7877244654358568e-05
BLOCK 4035,2.329269938818004e-05
BLOCK 4036,2.4123548537947784e-05
BLOCK 4037,2.1089561751015775e-05
BLOCK 4038,1.2717083836801983e-05
BLOCK 4039,9.67006681718965e-06
BLOCK 4040,7.384936094508674e-06
BLOCK 4041,2.5353791770283658e-05
BLOCK 4042,1.6472124423419597e-05
BLOCK 4043,2.7278795151017708e-05
BLOCK 4044,3.472175928156189e-05
BLOCK 4045,4.081134849044024e-05
BLOCK 4046,3.690865029790173e-05
BLOCK 4048,3.4032948805208834e-05
BLOCK 4049,3.720638397295868e-05
BLOCK 4050,3.488579290341861e-05
BLOCK 4051,4.7091832559477685e-05
BLOCK 4052,4.325173841576328e-05
BLOCK 4053,4.1693293465323754e-05
BLOCK 4054,3.9113380562917716e-05
BLOCK 4055,3.917619518858746e-05
BLOCK 4056,4.03738669213386e-05
BLOCK 4058,4.254691303817997e-05
BLOCK 4059,4.18291646683965e-05
BLOCK 4061,3.037385773377184e-05
BLOCK 4062,3.2504153508327936e-05
BLOCK 2035,9.288605830285036e-05
BLOCK 2037,0.00011052441374359626
BLOCK 2038,0.00014250835724104416
BLOCK 2040,4.1462560009283e-05
BLOCK 2041,6.313032876664032e-05
BLOCK 2042,5.383524062644689e-05
BLOCK 2043,4.245177384029957e-05
BLOCK 2044,4.161654957691408e-05
BLOCK 1045,1.5698424703854643e-05
BLOCK 1047,6.287180706291877e-06
BLOCK 1041,1.3461417706985016e-05
BLOCK 1042,9.952681488231144e-06
BLOCK 1043,1.751913239718496e-05
BLOCK 1044,2.197853268826474e-05
BLOCK 1046,2.410601884452365e-05
BLOCK 2033,9.045282523859809e-05
BLOCK 2045,3.5640234955410844e-05
BLOCK 2046,3.301456069774925e-05
BLOCK 2047,3.616443323692096e-05
BLOCK 2048,3.877119891824437e-05
BLOCK 2049,3.701970833412163e-05
BLOCK 2050,3.5326608639616246e-05
BLOCK 2052,4.470999817486138e-05
BLOCK 2062,3.450104819781918e-05
BLOCK 2031,5.9980474584536185e-05
BLOCK 2032,5.4458594017300876e-05
BLOCK 2034,7.805722743176967e-05
BLOCK 2036,0.00015499805718483263
BLOCK 2039,6.855632847374268e-05
BLOCK 2053,4.126219473090514e-05
BLOCK 2057,7.958868839811568e-06
BLOCK 2058,3.209819525147593e-05
BLOCK 2065,9.110668858353494e-05
BLOCK 2066,8.190895936923874e-05
BLOCK 2067,6.452267004807816e-05
BLOCK 4063,3.514241025476204e-05
BLOCK 4064,4.065015257267308e-05
BLOCK 4065,7.2914205206506815e-06
