,PM2.5 Cumulative Hazard Index PAC2
BLOCK 2019,2.478594007580546e-41
BLOCK 2020,6.096285514470041e-131
BLOCK 2021,7.186795433395594e-20
BLOCK 2022,9.345533968117096e-22
BLOCK 2023,3.208717600602638e-22
BLOCK 2024,2.9774399791845614e-22
BLOCK 3001,1.7972645395543528e-23
BLOCK 3002,2.162994669776256e-23
BLOCK 3003,5.537224899122252e-24
BLOCK 3004,2.2728847392653327e-24
BLOCK 3005,1.4671505240620296e-23
BLOCK 3006,9.50137058442325e-24
BLOCK 3007,7.6139364784949515e-25
BLOCK 3008,1.6918108657487682e-28
BLOCK 3009,5.942333878073935e-28
BLOCK 3018,4.871025604519713e-24
BLOCK 3019,8.574260298210458e-30
BLOCK 3020,1.5020163939335984e-27
BLOCK 3021,1.175096718965251e-26
BLOCK 3022,4.232310256924755e-26
BLOCK 3023,2.8786184612977175e-25
BLOCK 3024,2.084488810556076e-26
BLOCK 3029,8.63512060044327e-28
BLOCK 2030,4.105779758940729e-23
BLOCK 3000,1.0570345693522595e-23
BLOCK 3016,1.6118709804429208e-24
BLOCK 3032,1.0080109750733943e-35
BLOCK 3033,3.118118597798219e-42
BLOCK 3034,1.1615591972558195e-26
BLOCK 3035,1.8540078943465628e-29
BLOCK 3036,3.3294522007184516e-106
BLOCK 3037,5.823775840457562e-113
BLOCK 3038,1.1775966163423568e-20
BLOCK 4002,1.4661771611565672e-29
BLOCK 4003,4.967597696040133e-23
BLOCK 4004,3.669580966191868e-23
BLOCK 4005,7.628100907444334e-33
BLOCK 4006,4.8862816744288044e-36
BLOCK 4007,2.3165957020051595e-33
BLOCK 4008,1.8405390187290098e-22
BLOCK 4009,5.987263760842073e-23
BLOCK 4010,4.243280948169346e-23
BLOCK 4011,1.5317749035829772e-23
BLOCK 4012,2.3283502680120153e-23
BLOCK 4013,3.350787469004512e-22
BLOCK 4014,7.923887990236768e-23
BLOCK 4015,9.879657446263732e-23
BLOCK 4016,2.587066030992134e-68
BLOCK 4017,5.626232950451412e-23
BLOCK 4018,1.4770856375491782e-28
BLOCK 4019,1.3072799749296209e-22
BLOCK 4020,7.24032992080092e-24
BLOCK 4021,7.737913169625076e-24
BLOCK 4022,2.19099409919128e-117
BLOCK 4023,1.0546535767267482e-21
BLOCK 4024,7.490809516825398e-22
BLOCK 4025,2.7281715063987376e-22
BLOCK 4026,8.680437081312819e-23
BLOCK 4027,2.3739985752270504e-23
BLOCK 4028,4.2436479369145235e-23
BLOCK 4029,4.344264868984751e-23
BLOCK 4030,2.5643675758246375e-22
BLOCK 4031,1.845330344301385e-24
BLOCK 4032,3.669479711595759e-24
BLOCK 4033,5.423104337808756e-25
BLOCK 5000,2.233599850088208e-56
BLOCK 5001,1.1373157274540256e-53
BLOCK 5002,4.3393536363201946e-51
BLOCK 5003,6.0410834848873226e-49
BLOCK 5004,9.636415423034024e-46
BLOCK 5005,6.18400838590578e-51
BLOCK 5006,2.0459006480836859e-50
BLOCK 5007,6.695985594714105e-60
BLOCK 5008,2.5021350365719834e-60
BLOCK 5009,2.312213613797891e-57
BLOCK 5010,1.6275717576591565e-55
BLOCK 5011,8.702560009000323e-53
BLOCK 5012,5.121902691484397e-50
BLOCK 5013,4.670131109783186e-51
BLOCK 5014,2.767588578511476e-65
BLOCK 5015,3.6835376115642215e-62
BLOCK 5016,5.668357216219874e-51
BLOCK 5017,3.4938444145817755e-59
BLOCK 5018,6.760563167387332e-62
BLOCK 5019,2.8801044683838436e-58
BLOCK 5020,1.8752176669886054e-45
BLOCK 5021,2.2238216402143295e-39
BLOCK 5022,3.6003800242826274e-52
BLOCK 5023,1.1157500879712953e-51
BLOCK 5024,2.540385811800426e-60
BLOCK 5025,2.9992310018736076e-83
BLOCK 5026,5.769374885319782e-49
BLOCK 5027,4.15898706794547e-34
BLOCK 5028,8.242316370831176e-34
BLOCK 5029,2.2949677470503018e-45
BLOCK 5032,4.645736824674095e-57
BLOCK 5033,6.0038123357203454e-40
BLOCK 5034,3.9009330836843825e-31
BLOCK 5035,1.5785016556596165e-62
BLOCK 2063,1.3785105487296788e-19
BLOCK 4034,1.0145709526218215e-24
BLOCK 4035,6.279245992157814e-24
BLOCK 4036,7.485538272488625e-24
BLOCK 4037,1.7000737402137406e-23
BLOCK 4038,2.286342409611878e-23
BLOCK 4039,1.7289431259843242e-22
BLOCK 4040,2.6781196706756034e-22
BLOCK 4041,6.350327260603814e-25
BLOCK 4042,2.138276971179243e-24
BLOCK 4043,1.247999989136882e-25
BLOCK 4044,1.570621401798535e-25
BLOCK 4045,5.1386357054043385e-26
BLOCK 4046,3.4409806101589177e-25
BLOCK 4048,8.41892464400948e-26
BLOCK 4049,3.845515937073721e-26
BLOCK 4050,1.5023640340209704e-26
BLOCK 4051,5.755712232213568e-27
BLOCK 4052,2.697035029422435e-26
BLOCK 4053,4.853311911762795e-26
BLOCK 4054,1.0983261347595741e-25
BLOCK 4055,9.041878634768099e-26
BLOCK 4056,9.191020028673958e-27
BLOCK 4058,2.1631537500310436e-26
BLOCK 4059,3.082265572910055e-26
BLOCK 4061,1.8579431353580752e-26
BLOCK 4062,1.960038528927863e-26
BLOCK 2035,3.658807405281308e-18
BLOCK 2037,1.8807698759920973e-18
BLOCK 2038,1.2712450385177012e-18
BLOCK 2040,8.078449704228882e-20
BLOCK 2041,1.4565006841409336e-17
BLOCK 2042,1.462595454542591e-17
BLOCK 2043,1.3031333276776913e-17
BLOCK 2044,1.3225679126585785e-17
BLOCK 1045,5.681776196373043e-18
BLOCK 1047,7.903142852541931e-19
BLOCK 1041,1.157125938930497e-19
BLOCK 1042,1.5262175670605049e-18
BLOCK 1043,3.5773508270242106e-18
BLOCK 1044,7.469102210291747e-18
BLOCK 1046,8.27249044388963e-18
BLOCK 2033,8.840714972272454e-18
BLOCK 2045,1.11625548801704e-17
BLOCK 2046,1.0605316656361994e-17
BLOCK 2047,1.1690525886916209e-17
BLOCK 2048,1.2709841327503916e-17
BLOCK 2049,1.238421722875614e-17
BLOCK 2050,1.2070201574533337e-17
BLOCK 2052,1.427261148110376e-17
BLOCK 2062,6.799918034396051e-19
BLOCK 2031,2.7761395729372213e-22
BLOCK 2032,8.635737280279329e-22
BLOCK 2034,1.784681282345105e-18
BLOCK 2036,2.5618722135227458e-18
BLOCK 2039,3.234605109639739e-18
BLOCK 2053,1.357435493935223e-17
BLOCK 2057,9.743848464009248e-23
BLOCK 2058,1.2101713377164428e-22
BLOCK 2065,1.0747949926844483e-17
BLOCK 2066,1.0374988572984718e-17
BLOCK 2067,6.869700541546716e-19
BLOCK 4063,1.2196594904429932e-26
BLOCK 4064,4.7141089236239034e-27
BLOCK 4065,2.978323809511083e-22
