,PM2.5 Cumulative Hazard Index PAC2
BLOCK 1030,4.2232896519414116e-22
BLOCK 1033,4.37262349947778e-20
BLOCK 1035,8.030308884998921e-19
BLOCK 1037,1.329422942413383e-18
BLOCK 1038,3.392443331010542e-20
BLOCK 2009,5.40617259378314e-22
BLOCK 2013,8.878866949530972e-18
BLOCK 2008,6.456573284087868e-22
BLOCK 1009,4.791083490240781e-29
BLOCK 1016,1.6611591264939297e-17
BLOCK 1020,2.875618809906184e-22
BLOCK 1026,4.793727349306135e-22
BLOCK 1027,2.63085790117808e-19
BLOCK 1028,5.003909010969063e-21
BLOCK 1029,1.0312184401190662e-22
BLOCK 1039,5.779477507677755e-21
BLOCK 1040,1.088792569624484e-19
BLOCK 1052,1.0327340476989715e-17
BLOCK 1054,1.4554437669955413e-17
BLOCK 2025,3.014454185676611e-20
BLOCK 2028,8.787067938058929e-20
BLOCK 2029,1.8547128782071048e-19
BLOCK 1005,2.2833828442108847e-30
BLOCK 1006,1.508569270678276e-28
BLOCK 1007,1.7164736699806602e-34
BLOCK 1008,3.7774213091847063e-32
BLOCK 1011,4.378511695706725e-22
BLOCK 1024,3.2500870803695273e-22
BLOCK 1025,3.0008842362059797e-22
BLOCK 3010,4.133056133845183e-28
BLOCK 3011,9.142588313530726e-28
BLOCK 3012,2.2025868730842078e-26
BLOCK 3013,9.501672934584881e-27
BLOCK 3014,9.940856016912728e-25
BLOCK 3015,7.745041940693149e-26
BLOCK 3017,4.269047250423021e-24
BLOCK 3025,6.58382255736968e-26
BLOCK 3026,3.387420038958483e-27
BLOCK 3027,1.106672445548408e-31
BLOCK 3028,2.4985948729810675e-32
BLOCK 3030,1.3799930248633047e-29
BLOCK 3031,1.0510989488533974e-33
BLOCK 4047,1.0282300437797462e-25
BLOCK 4057,1.9231398122193632e-26
BLOCK 4000,3.0972464713938375e-38
BLOCK 4001,8.283549099337404e-31
BLOCK 1000,1.9108638927749172e-22
BLOCK 1001,2.2404580029243542e-23
BLOCK 1002,2.0435888832453445e-25
BLOCK 1003,4.36649012127425e-27
BLOCK 1004,1.584857728853241e-17
BLOCK 1010,1.4293392796011287e-17
BLOCK 1017,4.865669313169147e-23
BLOCK 1018,2.102513582527706e-23
BLOCK 1019,2.1194119280576185e-22
BLOCK 2000,9.040630370729506e-18
BLOCK 2001,1.0979912921200235e-17
BLOCK 2002,1.1332321265984254e-17
BLOCK 2003,1.0507456428286248e-17
BLOCK 2004,7.775835936086397e-22
BLOCK 2005,5.185646976562207e-22
BLOCK 2006,4.315678087383767e-22
BLOCK 2007,4.2234423090724392e-22
BLOCK 2010,5.490174022256944e-22
BLOCK 2011,9.988234339575793e-18
BLOCK 2012,6.913189459353864e-18
BLOCK 2026,1.4733562412866451e-21
BLOCK 2027,8.125434587567207e-22
BLOCK 2051,1.3270112937036355e-17
BLOCK 2054,1.2997766029288236e-17
BLOCK 2055,7.294909033481292e-18
BLOCK 2056,1.1757441536164982e-17
BLOCK 5030,6.11706307512975e-39
BLOCK 5031,3.57085818831714e-33
BLOCK 1012,1.5886637765113177e-17
BLOCK 1013,3.864258655838782e-52
BLOCK 1014,1.8313621166205085e-59
BLOCK 1015,1.5327842787103274e-17
BLOCK 1021,3.1768444158848216e-22
BLOCK 1022,3.9931214850555025e-22
BLOCK 1023,4.6488390007122724e-21
BLOCK 1031,1.5416760823770161e-21
BLOCK 1032,2.9954578981535486e-21
BLOCK 1034,4.478628532993444e-23
BLOCK 1036,2.1493131039266553e-18
BLOCK 1048,8.385600752710058e-18
BLOCK 1049,1.9124055096276065e-22
BLOCK 1050,2.381770276670699e-21
BLOCK 1051,1.4104651079511647e-17
BLOCK 1053,1.496634636600304e-17
BLOCK 1055,1.395171122613895e-36
BLOCK 1056,3.668489853879455e-37
BLOCK 1057,9.094200112339257e-41
BLOCK 1058,1.6994228953929902e-17
BLOCK 1059,1.2017422735497757e-18
BLOCK 1060,3.547543355837648e-25
BLOCK 1061,2.740541334261396e-21
BLOCK 1062,7.728221051889043e-22
BLOCK 1063,1.642522645342645e-19
BLOCK 1064,4.731875378223799e-19
BLOCK 1065,3.3155445945602386e-24
BLOCK 1066,5.0091342805391185e-25
BLOCK 1067,6.473709564687152e-27
BLOCK 3039,1.339070109249005e-23
BLOCK 3040,4.571269613664989e-24
BLOCK 3041,2.511121881106379e-24
BLOCK 3042,7.785999796706964e-24
BLOCK 3043,1.6455103772705398e-23
BLOCK 3044,1.0270511944671021e-24
BLOCK 3045,1.2018831661877467e-26
BLOCK 3046,2.655745656857572e-27
BLOCK 3047,1.0758908019060506e-27
BLOCK 3048,2.8571090619407082e-24
BLOCK 3049,1.1436003235785781e-22
BLOCK 3050,8.696970656716312e-26
BLOCK 2059,1.398323094792986e-17
BLOCK 2060,1.8800161015732606e-17
BLOCK 2061,6.1659984195566165e-18
BLOCK 2064,6.9101295353734884e-18
BLOCK 2014,1.2906745228554668e-18
BLOCK 2015,4.916872573372031e-18
BLOCK 2016,4.255552767646601e-20
BLOCK 2017,1.1721391383870883e-21
BLOCK 2018,3.9817225632126314e-20
