,butyl_acryl Cumulative Hazard Index PAC2
BLOCK 1030,9.747500148191667e-07
BLOCK 1033,4.890827594799823e-07
BLOCK 1035,3.5953012902899e-07
BLOCK 1037,3.6035567819751953e-07
BLOCK 1038,4.623652789044499e-07
BLOCK 2009,9.760846896922712e-07
BLOCK 2013,5.419039649501476e-06
BLOCK 2008,9.820795800882572e-07
BLOCK 1009,3.337521272833326e-06
BLOCK 1016,3.576697695300082e-06
BLOCK 1020,1.0065180388400875e-06
BLOCK 1026,9.833452946253595e-07
BLOCK 1027,5.981970302217934e-07
BLOCK 1028,1.3175202011332516e-06
BLOCK 1029,2.2093613090930988e-06
BLOCK 1039,6.001741907061764e-07
BLOCK 1040,9.708675143532991e-07
BLOCK 1052,1.8650431682578898e-06
BLOCK 1054,2.442984544835009e-06
BLOCK 2025,4.417724858376457e-07
BLOCK 2028,2.4415207593233936e-06
BLOCK 2029,2.5582165995133508e-06
BLOCK 1005,2.1117975055425314e-06
BLOCK 1006,5.1447056917942895e-06
BLOCK 1007,4.3524275483109776e-06
BLOCK 1008,4.904046006310156e-06
BLOCK 1011,1.7192932315854454e-06
BLOCK 1024,9.967581631630317e-07
BLOCK 1025,1.0833268212357808e-06
BLOCK 3010,1.8243578303440374e-05
BLOCK 3011,1.6962404481453933e-05
BLOCK 3012,8.636657991622988e-06
BLOCK 3013,4.946886698595361e-06
BLOCK 3014,3.6969760823242207e-06
BLOCK 3015,1.3531361769711933e-06
BLOCK 3017,1.901018693990625e-06
BLOCK 3025,1.997553133002798e-06
BLOCK 3026,5.227319720136408e-07
BLOCK 3027,5.897331329226149e-06
BLOCK 3028,2.1601911208991848e-05
BLOCK 3030,7.054442758523699e-07
BLOCK 3031,1.7848274944719192e-06
BLOCK 4047,2.508969814660504e-06
BLOCK 4057,2.5556415177137577e-06
BLOCK 4000,1.4606547311255071e-13
BLOCK 4001,7.278570719864103e-06
BLOCK 1000,7.145602448927166e-07
BLOCK 1001,7.118186774983615e-07
BLOCK 1002,9.683637449181938e-07
BLOCK 1003,1.2778150359557222e-06
BLOCK 1004,2.680709539238175e-06
BLOCK 1010,4.5073678045532175e-06
BLOCK 1017,1.6962195282735659e-06
BLOCK 1018,1.154835508997142e-06
BLOCK 1019,9.89879752878114e-07
BLOCK 2000,1.6053192915281404e-06
BLOCK 2001,2.0463489242045193e-06
BLOCK 2002,2.1641054089766183e-06
BLOCK 2003,2.011786001271752e-06
BLOCK 2004,9.513346946264247e-07
BLOCK 2005,6.470182768012013e-07
BLOCK 2006,6.105563451460568e-07
BLOCK 2007,6.451869835617067e-07
BLOCK 2010,8.225864153919437e-07
BLOCK 2011,2.0645852956433328e-06
BLOCK 2012,3.698930233780358e-06
BLOCK 2026,7.124973570380809e-07
BLOCK 2027,8.277123040647933e-07
BLOCK 2051,2.5143354578781326e-06
BLOCK 2054,2.5506494342697048e-06
BLOCK 2055,5.501640665468517e-06
BLOCK 2056,5.2672059480822386e-06
BLOCK 5030,1.794832696156155e-15
BLOCK 5031,1.1092879223545553e-12
BLOCK 1012,3.467710333741734e-06
BLOCK 1013,1.4336419860634142e-05
BLOCK 1014,1.7992004408468304e-05
BLOCK 1015,3.729723855105312e-06
BLOCK 1021,9.002598897345333e-07
BLOCK 1022,8.937676949361157e-07
BLOCK 1023,8.449008960429196e-07
BLOCK 1031,7.429936662302128e-07
