,ethyl_acryl_100 Cumulative Hazard Index PAC2
BLOCK 3037,2.420477185688788e-13
BLOCK 3038,6.335088538363974e-06
BLOCK 4002,9.97889174787307e-07
BLOCK 4003,9.429738482342018e-07
BLOCK 4004,1.5825056193753443e-06
BLOCK 4005,3.6042575134732546e-14
BLOCK 4006,2.619923323277274e-18
BLOCK 4007,6.265799487438254e-17
BLOCK 4008,1.2260547246631493e-07
BLOCK 4009,1.3624446736696915e-07
BLOCK 4010,1.3797687086903595e-07
BLOCK 4011,3.437748489602472e-07
BLOCK 4012,1.493746211014157e-07
BLOCK 4013,3.151679321578409e-07
BLOCK 4014,1.6046647149798535e-07
BLOCK 4015,1.4790866906255597e-07
BLOCK 4016,2.2699809681802362e-11
BLOCK 4017,1.573758097296462e-07
BLOCK 4018,3.996096864161331e-12
BLOCK 4019,5.952180781315307e-07
BLOCK 4020,1.6410108002592675e-07
BLOCK 4021,5.557693462768738e-07
BLOCK 4022,1.4847457085848173e-12
BLOCK 4023,9.177392778521767e-07
BLOCK 4024,9.259183128851321e-07
BLOCK 4025,8.781246779109637e-07
BLOCK 4026,1.0937248331450925e-06
BLOCK 4027,1.2334601974790535e-06
BLOCK 4028,1.232796061703686e-06
BLOCK 4029,1.256063384596331e-06
BLOCK 4030,1.0755091443201018e-06
BLOCK 4031,1.605689679667768e-06
BLOCK 4032,1.160540522743384e-06
BLOCK 4033,1.765395421899055e-06
BLOCK 5000,3.7925751735735337e-07
BLOCK 5001,3.518653220837389e-07
BLOCK 5002,3.4937891073387653e-07
BLOCK 5003,3.4592961171419816e-07
BLOCK 5004,3.0817756200903244e-07
BLOCK 5005,1.0912611607564698e-07
BLOCK 5006,1.90460633890938e-08
BLOCK 5007,7.0203744530646765e-09
BLOCK 5008,1.0476093718366588e-09
BLOCK 5009,1.2488206767079804e-09
BLOCK 5010,4.001261225789262e-10
BLOCK 5011,1.000785096949077e-09
BLOCK 5012,1.8111603489452716e-09
BLOCK 5013,2.7738134695485756e-10
BLOCK 5014,1.1455823290234624e-18
BLOCK 5015,2.690626850672152e-12
BLOCK 5016,2.1981027006486312e-12
BLOCK 5017,3.3200652390498565e-11
BLOCK 5018,4.9846835900451466e-11
BLOCK 5019,2.032122191596834e-10
BLOCK 5020,8.667680275580963e-14
BLOCK 5021,1.0663383933126001e-12
BLOCK 5022,9.768259819623853e-23
BLOCK 5023,3.7027156175348503e-19
BLOCK 5024,3.5024493452160955e-20
BLOCK 5025,1.0525810890501838e-18
BLOCK 5026,1.9725155479269308e-13
BLOCK 5027,1.5322059530790988e-07
BLOCK 5028,4.1946941776928876e-06
BLOCK 5029,1.0008588957537095e-08
BLOCK 5032,9.358894490123728e-30
BLOCK 5033,3.3320825240666094e-15
BLOCK 5034,3.90352702441883e-08
BLOCK 5035,4.5410273918143015e-14
BLOCK 2063,2.62349067893984e-06
BLOCK 4034,1.3617096934565528e-06
BLOCK 4035,1.1356726808038647e-06
BLOCK 4036,1.1757640184884875e-06
BLOCK 4037,1.027013525213746e-06
BLOCK 4038,6.195055299320158e-07
BLOCK 4039,4.6956822726106865e-07
BLOCK 4040,3.5833635123143546e-07
BLOCK 4041,1.2394133550951563e-06
BLOCK 4042,8.047019209881075e-07
BLOCK 4043,1.3355003391065597e-06
BLOCK 4044,1.698270105525277e-06
BLOCK 4045,1.9964399570023713e-06
BLOCK 4046,1.802102215471001e-06
BLOCK 4048,1.6587011091438702e-06
BLOCK 4049,1.8152547884214261e-06
