,Total Phosgene 0.07 Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,6.286991481808328e-159
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,8.138503705298703e-221
BLOCK 1006,0.0
BLOCK 1007,1.7906221826057134e-206
BLOCK 1008,1.1242543693948934e-129
BLOCK 1011,8.565161816027363e-09
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,9.120159074909508e-18
BLOCK 3011,2.0468522464080433e-17
BLOCK 3012,2.862570124469794e-16
BLOCK 3013,1.4506904534753068e-18
BLOCK 3014,2.2600582543349956e-15
BLOCK 3015,1.8725633891543056e-25
BLOCK 3017,4.0966163170746634e-23
BLOCK 3025,1.0206561370374227e-98
BLOCK 3026,1.6653808497819432e-63
BLOCK 3027,1.880486624507748e-27
BLOCK 3028,3.786494181201771e-22
BLOCK 3030,5.014314986242114e-65
BLOCK 3031,4.6160216703435135e-27
BLOCK 4047,7.910467128164357e-124
BLOCK 4057,2.577580262256736e-154
BLOCK 4000,3.2344691892310336e-96
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,1.0061647e-316
BLOCK 1002,1.9242358430029076e-289
BLOCK 1003,6.762569482694366e-297
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,6.829465905744372e-161
BLOCK 1014,4.135324431170096e-72
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,4.361909626383805e-38
BLOCK 1056,4.121174665911763e-41
BLOCK 1057,3.121260337385665e-45
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,2.13073361713298e-155
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,7.278653251448478e-19
BLOCK 2024,5.378711210244255e-16
BLOCK 3001,3.144328248312221e-15
BLOCK 3002,2.526535593039188e-14
BLOCK 3003,2.394889388400812e-15
BLOCK 3004,4.6514591423574025e-14
BLOCK 3005,3.938567745217202e-13
BLOCK 3006,1.3639462813739165e-12
BLOCK 3007,4.904980604822307e-14
BLOCK 3008,2.92581784208343e-18
BLOCK 3009,1.2092072323155003e-17
BLOCK 3018,2.4119123964158963e-23
BLOCK 3019,9.715806748254807e-33
BLOCK 3020,1.7982018024685023e-50
BLOCK 3021,2.311983890020785e-43
BLOCK 3022,6.481286308503847e-48
BLOCK 3023,1.8703918984364508e-61
BLOCK 3024,2.961743186347472e-82
BLOCK 3029,3.8500450779304066e-70
BLOCK 2030,4.9754255206862175e-17
BLOCK 3000,1.0598859192389111e-20
BLOCK 3016,1.3856548805701266e-29
BLOCK 3032,3.807617627053489e-46
BLOCK 3033,2.7830382997784757e-33
BLOCK 3034,6.600452359921008e-82
BLOCK 3035,1.8912699588619173e-91
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,2.7669504629791165e-300
BLOCK 4003,2.8281372169440235e-27
BLOCK 4004,5.0038867939184e-34
BLOCK 4005,3.7049861695242874e-100
BLOCK 4006,4.264562496109001e-80
BLOCK 4007,1.7491291831112737e-91
BLOCK 4008,2.9188622544203875e-52
BLOCK 4009,1.3714163428002483e-49
BLOCK 4010,7.991523046693919e-44
BLOCK 4011,6.846524886848252e-39
BLOCK 4012,9.882148630386634e-49
BLOCK 4013,1.8666481498858926e-80
BLOCK 4014,1.9821040892524164e-62
BLOCK 4015,2.9832129686307394e-60
BLOCK 4016,0.0
BLOCK 4017,7.990712106394412e-60
BLOCK 4018,2.3029978830378147e-129
BLOCK 4019,1.718987711929291e-89
BLOCK 4020,1.2764109596193557e-46
BLOCK 4021,1.4604005998230586e-80
BLOCK 4022,0.0
BLOCK 4023,1.4842464978310476e-153
BLOCK 4024,2.6477718337774156e-158
BLOCK 4025,4.001347887705811e-174
BLOCK 4026,3.362856399952454e-160
BLOCK 4027,3.277760355485429e-157
BLOCK 4028,2.886072033164942e-150
BLOCK 4029,3.037354030121839e-127
BLOCK 4030,3.676493978688879e-146
BLOCK 4031,6.496232528567395e-125
BLOCK 4032,2.4300065714267114e-176
BLOCK 4033,5.3778601088935087e-135
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.693878516676236e-169
BLOCK 4035,3.9063400275057476e-175
BLOCK 4036,5.316411411508212e-171
BLOCK 4037,6.255511716342958e-178
BLOCK 4038,5.779079251934607e-217
BLOCK 4039,4.804784336783949e-227
BLOCK 4040,5.020666197496989e-269
BLOCK 4041,2.4348593649318324e-180
BLOCK 4042,1.966409362646871e-209
BLOCK 4043,1.5421652196726592e-182
BLOCK 4044,1.990513488055797e-158
BLOCK 4045,3.3422600882037955e-143
BLOCK 4046,1.114091880009129e-139
BLOCK 4048,7.66561870946765e-104
BLOCK 4049,5.248589758108456e-107
BLOCK 4050,1.671316554515329e-99
BLOCK 4051,4.4760368346642823e-129
BLOCK 4052,2.1342203536184305e-135
BLOCK 4053,2.0352323932997517e-137
BLOCK 4054,7.1652819165832405e-143
BLOCK 4055,4.0362699638808055e-145
BLOCK 4056,1.8169139073300045e-159
BLOCK 4058,9.800254471831392e-145
BLOCK 4059,3.6303884343115483e-144
BLOCK 4061,6.644395888799633e-183
BLOCK 4062,9.370189810989669e-177
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,5.677725419015662e-14
BLOCK 2032,4.570810934684004e-13
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,1.8688492783589988e-24
BLOCK 2058,5.695928688762028e-15
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,4.2600978070697335e-172
BLOCK 4064,1.0081618562885881e-162
BLOCK 4065,2.4007250009933097e-268
